,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,NZD_SGD,2023-07-11T16:00:00.000000000Z,1701,0.82932,0.83013,0.82921,0.83002,0.82942,0.83022,0.82934,0.83014,0.82951,0.83033,0.82946,0.83026,,
1,NZD_SGD,2023-07-11T17:00:00.000000000Z,1434,0.83007,0.83043,0.82994,0.83006,0.83020,0.83055,0.83006,0.83018,0.83032,0.83067,0.83017,0.83031,,
2,NZD_SGD,2023-07-11T18:00:00.000000000Z,1373,0.83011,0.83085,0.82963,0.83082,0.83023,0.83096,0.82975,0.83093,0.83035,0.83107,0.82987,0.83104,,
3,NZD_SGD,2023-07-11T19:00:00.000000000Z,550,0.83075,0.83113,0.83053,0.83059,0.83090,0.83126,0.83069,0.83072,0.83104,0.83138,0.83085,0.83085,,
4,NZD_SGD,2023-07-11T20:00:00.000000000Z,427,0.83058,0.83097,0.83041,0.83073,0.83072,0.83111,0.83058,0.83096,0.83085,0.83125,0.83073,0.83118,,
5,NZD_SGD,2023-07-11T21:00:00.000000000Z,129,0.82989,0.83051,0.82945,0.83019,0.83089,0.83112,0.83042,0.83083,0.83189,0.83198,0.83118,0.83147,,
6,NZD_SGD,2023-07-11T22:00:00.000000000Z,684,0.83036,0.83089,0.83011,0.83026,0.83092,0.83116,0.83028,0.83044,0.83147,0.83168,0.83044,0.83063,,
7,NZD_SGD,2023-07-11T23:00:00.000000000Z,796,0.83029,0.83168,0.83029,0.83064,0.83045,0.83182,0.83045,0.83079,0.83061,0.83196,0.83061,0.83094,0.83062375,
8,NZD_SGD,2023-07-12T00:00:00.000000000Z,1732,0.83061,0.83257,0.83011,0.83240,0.83075,0.83271,0.83025,0.83254,0.83089,0.83285,0.83039,0.83268,0.83092375,
9,NZD_SGD,2023-07-12T01:00:00.000000000Z,1890,0.83236,0.83298,0.83192,0.83213,0.83250,0.83313,0.83210,0.83236,0.83264,0.83328,0.83228,0.83258,0.83119625,
10,NZD_SGD,2023-07-12T02:00:00.000000000Z,2849,0.83223,0.83411,0.82982,0.83345,0.83246,0.83424,0.83000,0.83362,0.83268,0.83439,0.83017,0.83378,0.8315325,
11,NZD_SGD,2023-07-12T03:00:00.000000000Z,1608,0.83347,0.83357,0.83214,0.83255,0.83362,0.83372,0.83226,0.83270,0.83378,0.83386,0.83238,0.83286,0.83178,
12,NZD_SGD,2023-07-12T04:00:00.000000000Z,1253,0.83253,0.83325,0.83246,0.83274,0.83268,0.83342,0.83262,0.83290,0.83283,0.83358,0.83277,0.83305,0.8320225,
13,NZD_SGD,2023-07-12T05:00:00.000000000Z,1761,0.83277,0.83282,0.83092,0.83103,0.83292,0.83295,0.83106,0.83114,0.83306,0.83308,0.83118,0.83126,0.83206125,
14,NZD_SGD,2023-07-12T06:00:00.000000000Z,1919,0.83102,0.83217,0.83085,0.83113,0.83116,0.83232,0.83096,0.83127,0.83129,0.83248,0.83107,0.83141,0.832165,
15,NZD_SGD,2023-07-12T07:00:00.000000000Z,2180,0.83113,0.83113,0.82961,0.82983,0.83126,0.83128,0.82974,0.82997,0.83139,0.83142,0.82987,0.83011,0.8320624999999999,
16,NZD_SGD,2023-07-12T08:00:00.000000000Z,1680,0.82983,0.82999,0.82882,0.82934,0.82996,0.83013,0.82896,0.82946,0.83010,0.83027,0.82909,0.82958,0.8316775,
17,NZD_SGD,2023-07-12T09:00:00.000000000Z,1440,0.82931,0.82953,0.82886,0.82910,0.82944,0.82966,0.82901,0.82923,0.82958,0.82979,0.82914,0.82936,0.83128625,
18,NZD_SGD,2023-07-12T10:00:00.000000000Z,1365,0.82909,0.82909,0.82751,0.82788,0.82921,0.82921,0.82764,0.82803,0.82933,0.82933,0.82778,0.82818,0.8305875,
