,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,NZD_USD,2022-11-15T21:00:00.000000000Z,3749,0.61599,0.61669,0.61544,0.61553,0.61608,0.61678,0.61558,0.61562,0.61618,0.61690,0.61569,0.61572
1,NZD_USD,2022-11-15T22:00:00.000000000Z,983,0.61514,0.61568,0.61344,0.61565,0.61556,0.61595,0.61444,0.61582,0.61599,0.61634,0.61536,0.61598
2,NZD_USD,2022-11-15T23:00:00.000000000Z,4361,0.61563,0.61663,0.61523,0.61637,0.61584,0.61676,0.61542,0.61648,0.61605,0.61690,0.61551,0.61659
3,NZD_USD,2022-11-16T00:00:00.000000000Z,6802,0.61636,0.61677,0.61308,0.61382,0.61648,0.61687,0.61318,0.61392,0.61660,0.61698,0.61328,0.61401
4,NZD_USD,2022-11-16T01:00:00.000000000Z,8563,0.61381,0.61492,0.61322,0.61446,0.61391,0.61502,0.61331,0.61456,0.61401,0.61511,0.61339,0.61467
5,NZD_USD,2022-11-16T02:00:00.000000000Z,7866,0.61444,0.61657,0.61435,0.61567,0.61454,0.61667,0.61445,0.61578,0.61463,0.61678,0.61455,0.61589
6,NZD_USD,2022-11-16T03:00:00.000000000Z,5689,0.61571,0.61584,0.61379,0.61391,0.61580,0.61595,0.61389,0.61400,0.61590,0.61608,0.61399,0.61410
7,NZD_USD,2022-11-16T04:00:00.000000000Z,6032,0.61392,0.61439,0.61294,0.61381,0.61401,0.61450,0.61306,0.61392,0.61410,0.61460,0.61317,0.61403
8,NZD_USD,2022-11-16T05:00:00.000000000Z,6921,0.61382,0.61638,0.61333,0.61615,0.61392,0.61647,0.61342,0.61625,0.61401,0.61658,0.61351,0.61635
9,NZD_USD,2022-11-16T06:00:00.000000000Z,6385,0.61613,0.61683,0.61547,0.61639,0.61622,0.61692,0.61557,0.61648,0.61631,0.61704,0.61567,0.61657
10,NZD_USD,2022-11-16T07:00:00.000000000Z,8395,0.61639,0.61774,0.61516,0.61710,0.61650,0.61783,0.61526,0.61720,0.61662,0.61794,0.61536,0.61730
11,NZD_USD,2022-11-16T08:00:00.000000000Z,8453,0.61711,0.61747,0.61547,0.61646,0.61720,0.61756,0.61558,0.61656,0.61730,0.61764,0.61568,0.61666
12,NZD_USD,2022-11-16T09:00:00.000000000Z,6211,0.61649,0.61880,0.61640,0.61858,0.61658,0.61890,0.61650,0.61868,0.61668,0.61900,0.61658,0.61877
13,NZD_USD,2022-11-16T10:00:00.000000000Z,5775,0.61859,0.61933,0.61782,0.61797,0.61868,0.61942,0.61791,0.61806,0.61876,0.61952,0.61799,0.61815
14,NZD_USD,2022-11-16T11:00:00.000000000Z,5174,0.61797,0.61817,0.61577,0.61643,0.61806,0.61826,0.61586,0.61652,0.61816,0.61836,0.61596,0.61662
15,NZD_USD,2022-11-16T12:00:00.000000000Z,5832,0.61640,0.61750,0.61598,0.61718,0.61650,0.61758,0.61608,0.61728,0.61661,0.61768,0.61615,0.61737
16,NZD_USD,2022-11-16T13:00:00.000000000Z,12445,0.61720,0.61787,0.61491,0.61592,0.61728,0.61796,0.61502,0.61600,0.61737,0.61806,0.61510,0.61607
17,NZD_USD,2022-11-16T14:00:00.000000000Z,13239,0.61593,0.61812,0.61576,0.61679,0.61601,0.61821,0.61586,0.61688,0.61609,0.61830,0.61595,0.61697
18,NZD_USD,2022-11-16T15:00:00.000000000Z,12109,0.61678,0.61752,0.61517,0.61585,0.61686,0.61758,0.61528,0.61592,0.61694,0.61767,0.61537,0.61599
19,NZD_USD,2022-11-16T16:00:00.000000000Z,7712,0.61585,0.61638,0.61373,0.61430,0.61591,0.61647,0.61382,0.61437,0.61597,0.61656,0.61391,0.61444
20,NZD_USD,2022-11-16T17:00:00.000000000Z,6535,0.61430,0.61556,0.61359,0.61515,0.61439,0.61566,0.61366,0.61524,0.61448,0.61576,0.61374,0.61533
21,NZD_USD,2022-11-16T18:00:00.000000000Z,6912,0.61483,0.61503,0.61280,0.61384,0.61493,0.61512,0.61289,0.61394,0.61503,0.61523,0.61298,0.61403
22,NZD_USD,2022-11-16T19:00:00.000000000Z,6426,0.61384,0.61531,0.61381,0.61514,0.61394,0.61540,0.61392,0.61523,0.61405,0.61549,0.61401,0.61532
23,NZD_USD,2022-11-16T20:00:00.000000000Z,6039,0.61516,0.61558,0.61424,0.61517,0.61525,0.61568,0.61435,0.61528,0.61534,0.61579,0.61445,0.61539
24,NZD_USD,2022-11-16T21:00:00.000000000Z,2259,0.61519,0.61523,0.61435,0.61492,0.61530,0.61531,0.61446,0.61501,0.61540,0.61541,0.61456,0.61510
25,NZD_USD,2022-11-16T22:00:00.000000000Z,900,0.61437,0.61483,0.61397,0.61418,0.61476,0.61507,0.61433,0.61436,0.61514,0.61541,0.61452,0.61454
26,NZD_USD,2022-11-16T23:00:00.000000000Z,2261,0.61420,0.61509,0.61413,0.61484,0.61436,0.61520,0.61431,0.61494,0.61453,0.61531,0.61449,0.61505
27,NZD_USD,2022-11-17T00:00:00.000000000Z,4504,0.61483,0.61513,0.61345,0.61372,0.61494,0.61522,0.61356,0.61381,0.61505,0.61531,0.61364,0.61390
28,NZD_USD,2022-11-17T01:00:00.000000000Z,4329,0.61372,0.61439,0.61304,0.61349,0.61382,0.61446,0.61313,0.61358,0.61392,0.61455,0.61322,0.61366
29,NZD_USD,2022-11-17T02:00:00.000000000Z,6034,0.61348,0.61381,0.61257,0.61294,0.61358,0.61390,0.61266,0.61304,0.61367,0.61400,0.61276,0.61315
30,NZD_USD,2022-11-17T03:00:00.000000000Z,5162,0.61294,0.61312,0.61151,0.61290,0.61304,0.61322,0.61160,0.61298,0.61313,0.61331,0.61169,0.61307
31,NZD_USD,2022-11-17T04:00:00.000000000Z,3920,0.61290,0.61350,0.61243,0.61252,0.61300,0.61358,0.61252,0.61262,0.61309,0.61369,0.61261,0.61271
32,NZD_USD,2022-11-17T05:00:00.000000000Z,4698,0.61254,0.61381,0.61217,0.61338,0.61264,0.61390,0.61226,0.61348,0.61273,0.61398,0.61236,0.61358
33,NZD_USD,2022-11-17T06:00:00.000000000Z,5246,0.61339,0.61467,0.61333,0.61462,0.61348,0.61476,0.61344,0.61472,0.61357,0.61485,0.61354,0.61482
