,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,NZD_USD,2023-07-11T18:00:00.000000000Z,1917,0.61890,0.61959,0.61842,0.61956,0.61898,0.61965,0.61850,0.61962,0.61906,0.61971,0.61858,0.61968,,
1,NZD_USD,2023-07-11T19:00:00.000000000Z,1639,0.61956,0.61976,0.61943,0.61956,0.61962,0.61982,0.61950,0.61964,0.61969,0.61990,0.61957,0.61971,,
2,NZD_USD,2023-07-11T20:00:00.000000000Z,1035,0.61958,0.61980,0.61933,0.61970,0.61966,0.61988,0.61942,0.61979,0.61973,0.61996,0.61950,0.61988,,
3,NZD_USD,2023-07-11T21:00:00.000000000Z,531,0.61918,0.61971,0.61904,0.61935,0.61972,0.62012,0.61938,0.61954,0.62026,0.62076,0.61949,0.61974,,
4,NZD_USD,2023-07-11T22:00:00.000000000Z,936,0.61943,0.61982,0.61918,0.61941,0.61958,0.61992,0.61928,0.61948,0.61972,0.62002,0.61938,0.61955,,
5,NZD_USD,2023-07-11T23:00:00.000000000Z,1253,0.61943,0.62048,0.61943,0.61978,0.61950,0.62056,0.61950,0.61986,0.61956,0.62065,0.61956,0.61995,,
6,NZD_USD,2023-07-12T00:00:00.000000000Z,3292,0.61977,0.62209,0.61943,0.62162,0.61985,0.62217,0.61950,0.62169,0.61993,0.62225,0.61956,0.62176,,
7,NZD_USD,2023-07-12T01:00:00.000000000Z,4072,0.62161,0.62263,0.62156,0.62189,0.62169,0.62271,0.62162,0.62200,0.62177,0.62279,0.62169,0.62211,0.6202025,
8,NZD_USD,2023-07-12T02:00:00.000000000Z,4591,0.62190,0.62387,0.62009,0.62343,0.62200,0.62394,0.62018,0.62350,0.62210,0.62401,0.62027,0.62357,0.6206875,
9,NZD_USD,2023-07-12T03:00:00.000000000Z,2897,0.62346,0.62350,0.62212,0.62241,0.62353,0.62357,0.62220,0.62249,0.62360,0.62364,0.62227,0.62257,0.62104375,
10,NZD_USD,2023-07-12T04:00:00.000000000Z,2249,0.62239,0.62309,0.62236,0.62280,0.62248,0.62318,0.62244,0.62287,0.62256,0.62326,0.62252,0.62294,0.62142875,
11,NZD_USD,2023-07-12T05:00:00.000000000Z,2653,0.62280,0.62281,0.62115,0.62127,0.62288,0.62288,0.62122,0.62133,0.62296,0.62296,0.62130,0.62139,0.6216525,
12,NZD_USD,2023-07-12T06:00:00.000000000Z,2780,0.62126,0.62253,0.62124,0.62139,0.62134,0.62260,0.62132,0.62146,0.62141,0.62267,0.62139,0.62154,0.6219,
13,NZD_USD,2023-07-12T07:00:00.000000000Z,3136,0.62138,0.62149,0.62007,0.62047,0.62147,0.62156,0.62014,0.62054,0.62156,0.62163,0.62021,0.62062,0.621985,
14,NZD_USD,2023-07-12T08:00:00.000000000Z,1901,0.62045,0.62050,0.61951,0.61979,0.62053,0.62058,0.61960,0.61987,0.62061,0.62065,0.61968,0.61995,0.6217575,
15,NZD_USD,2023-07-12T09:00:00.000000000Z,1806,0.61975,0.61991,0.61931,0.61979,0.61982,0.61999,0.61938,0.61986,0.61990,0.62008,0.61945,0.61993,0.62149,
16,NZD_USD,2023-07-12T10:00:00.000000000Z,2106,0.61976,0.61980,0.61840,0.61880,0.61984,0.61987,0.61848,0.61888,0.61991,0.61995,0.61856,0.61895,0.6209125,
17,NZD_USD,2023-07-12T11:00:00.000000000Z,2617,0.61878,0.61907,0.61848,0.61853,0.61886,0.61916,0.61856,0.61860,0.61893,0.61924,0.61863,0.61868,0.62042625,
18,NZD_USD,2023-07-12T12:00:00.000000000Z,8137,0.61851,0.62460,0.61819,0.62267,0.61858,0.62468,0.61826,0.62273,0.61866,0.62475,0.61834,0.62279,0.6204087500000001,
19,NZD_USD,2023-07-12T13:00:00.000000000Z,6807,0.62271,0.62761,0.62262,0.62730,0.62277,0.62768,0.62270,0.62736,0.62283,0.62775,0.62277,0.62742,0.6211625,
20,NZD_USD,2023-07-12T14:00:00.000000000Z,6057,0.62729,0.62987,0.62639,0.62934,0.62736,0.62994,0.62646,0.62942,0.62744,0.63002,0.62653,0.62949,0.6221575,
21,NZD_USD,2023-07-12T15:00:00.000000000Z,3623,0.62933,0.62939,0.62814,0.62907,0.62941,0.62946,0.62820,0.62915,0.62949,0.62954,0.62827,0.62923,0.62323375,
