,Unnamed: 0,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,RANGE,mid_h_prev,mid_l_prev,ask_h_prev,bid_l_prev,RANGE_prev,DIRECTION,DIRECTION_prev,SIGNAL,ENTRY,STOPLOSS,TAKEPROFIT
11,12,USD_JPY,2020-01-05T22:00:00.000000000Z,4564,107.854,108.115,107.764,107.941,107.879,108.122,107.772,107.948,107.904,108.13,107.78,107.954,0.3499999999999943,108.126,107.842,108.16,107.835,0.284000000000006,1,1,1,108.1884,108.0748,108.41560000000001
17,18,USD_JPY,2020-01-06T22:00:00.000000000Z,1722,108.303,108.455,108.28,108.429,108.353,108.461,108.33,108.434,108.403,108.467,108.357,108.439,0.13100000000000023,108.506,108.342,108.513,108.335,0.16400000000000148,1,1,1,108.52940000000001,108.4638,108.66060000000002
19,20,USD_JPY,2020-01-07T06:00:00.000000000Z,3475,108.432,108.494,108.255,108.462,108.438,108.5,108.262,108.468,108.445,108.506,108.268,108.475,0.23799999999999955,108.506,108.423,108.513,108.417,0.08299999999999841,1,1,1,108.52130000000001,108.48810000000002,108.58770000000001
34,35,USD_JPY,2020-01-09T18:00:00.000000000Z,1707,109.503,109.532,109.385,109.515,109.51,109.538,109.392,109.524,109.516,109.545,109.399,109.532,0.1460000000000008,109.58,109.429,109.588,109.422,0.15099999999999625,1,1,1,109.6031,109.5427,109.7239
62,63,USD_JPY,2020-01-16T10:00:00.000000000Z,6412,109.997,110.049,109.918,110.007,110.002,110.054,109.929,110.013,110.008,110.061,109.934,110.019,0.125,110.066,109.932,110.075,109.926,0.13400000000000034,1,1,1,110.08840000000001,110.0348,110.19560000000001
75,76,USD_JPY,2020-01-20T14:00:00.000000000Z,2213,110.178,110.187,110.129,110.176,110.184,110.192,110.136,110.182,110.189,110.199,110.143,110.189,0.055999999999997385,110.2,110.158,110.206,110.152,0.04200000000000159,-1,1,1,110.2102,110.1934,110.24380000000001
127,128,USD_JPY,2020-01-31T06:00:00.000000000Z,9813,109.069,109.08,108.919,108.963,109.074,109.086,108.925,108.97,109.08,109.092,108.931,108.977,0.16100000000000136,109.127,109.026,109.14,109.019,0.10099999999999909,-1,1,1,109.1501,109.10969999999999,109.23089999999999
137,138,USD_JPY,2020-02-03T22:00:00.000000000Z,9552,108.655,108.709,108.544,108.695,108.688,108.716,108.55,108.701,108.72,108.75,108.555,108.707,0.16599999999999682,108.745,108.59,108.751,108.582,0.15500000000000114,1,1,1,108.76650000000001,108.70450000000001,108.8905
143,144,USD_JPY,2020-02-04T22:00:00.000000000Z,8589,109.515,109.515,109.362,109.48,109.524,109.524,109.368,109.486,109.532,109.537,109.375,109.492,0.1560000000000059,109.546,109.43,109.552,109.424,0.11599999999999966,-1,1,1,109.56360000000001,109.5172,109.6564
151,152,USD_JPY,2020-02-06T06:00:00.000000000Z,10650,109.902,109.965,109.788,109.844,109.908,109.97,109.794,109.85,109.915,109.977,109.8,109.857,0.17600000000000193,109.982,109.833,109.988,109.827,0.1490000000000009,-1,1,1,110.0029,109.9433,110.1221
