,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,SG30_SGD,2023-06-28T00:00:00.000000000Z,238,287.13,287.52,286.87,287.52,287.46,287.62,286.97,287.62,287.78,287.78,287.07,287.72,,
1,SG30_SGD,2023-06-28T01:00:00.000000000Z,321,287.43,288.08,286.83,287.49,287.58,288.20,286.93,287.59,287.73,288.33,287.03,287.69,,
2,SG30_SGD,2023-06-28T02:00:00.000000000Z,157,287.44,287.97,287.39,287.84,287.54,288.07,287.49,287.94,287.64,288.17,287.59,288.04,,
3,SG30_SGD,2023-06-28T03:00:00.000000000Z,152,287.87,288.06,287.19,287.52,287.97,288.16,287.29,287.62,288.07,288.26,287.39,287.72,,
4,SG30_SGD,2023-06-28T04:00:00.000000000Z,65,287.42,287.42,287.17,287.32,287.52,287.52,287.27,287.42,287.62,287.62,287.37,287.52,,
5,SG30_SGD,2023-06-28T05:00:00.000000000Z,104,287.39,287.39,287.04,287.32,287.49,287.49,287.14,287.42,287.59,287.59,287.24,287.52,,
6,SG30_SGD,2023-06-28T06:00:00.000000000Z,78,287.36,287.77,287.11,287.71,287.46,287.87,287.21,287.81,287.56,287.97,287.31,287.91,,
7,SG30_SGD,2023-06-28T07:00:00.000000000Z,89,287.67,287.92,287.61,287.61,287.77,288.02,287.71,287.71,287.87,288.12,287.81,287.81,287.64125,
8,SG30_SGD,2023-06-28T08:00:00.000000000Z,109,287.67,287.77,287.17,287.52,287.77,287.87,287.27,287.62,287.87,287.97,287.37,287.72,287.64125,
9,SG30_SGD,2023-06-28T09:00:00.000000000Z,57,287.46,287.67,287.42,287.52,287.56,287.77,287.52,287.67,287.66,287.90,287.62,287.82,287.65125,
10,SG30_SGD,2023-06-28T10:00:00.000000000Z,118,287.57,287.67,287.42,287.47,287.72,287.82,287.57,287.62,287.87,287.97,287.72,287.77,287.61125,
11,SG30_SGD,2023-06-28T11:00:00.000000000Z,30,287.52,287.57,287.32,287.32,287.67,287.72,287.47,287.47,287.82,287.87,287.62,287.62,287.59250000000003,
12,SG30_SGD,2023-06-28T12:00:00.000000000Z,106,287.27,287.32,286.77,286.92,287.42,287.47,286.92,287.07,287.57,287.62,287.07,287.22,287.54875,
