,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,SGD_CHF,2023-04-20T17:00:00.000000000Z,4873,0.67121,0.67127,0.66966,0.66969,0.67126,0.67132,0.66978,0.66980,0.67130,0.67138,0.66985,0.66990,,
1,SGD_CHF,2023-04-20T21:00:00.000000000Z,4436,0.66945,0.67017,0.66908,0.67005,0.67048,0.67048,0.66960,0.67011,0.67151,0.67151,0.66967,0.67017,,
2,SGD_CHF,2023-04-21T01:00:00.000000000Z,3915,0.67007,0.67009,0.66962,0.66991,0.67012,0.67014,0.66967,0.66996,0.67018,0.67019,0.66972,0.67000,,
3,SGD_CHF,2023-04-21T05:00:00.000000000Z,9664,0.66989,0.67029,0.66911,0.66935,0.66994,0.67034,0.66918,0.66940,0.66998,0.67039,0.66925,0.66944,,
4,SGD_CHF,2023-04-21T09:00:00.000000000Z,9010,0.66937,0.66979,0.66813,0.66832,0.66941,0.66983,0.66818,0.66836,0.66945,0.66989,0.66823,0.66841,,
5,SGD_CHF,2023-04-21T13:00:00.000000000Z,14075,0.66834,0.66999,0.66810,0.66866,0.66838,0.67004,0.66814,0.66872,0.66843,0.67009,0.66819,0.66877,,
6,SGD_CHF,2023-04-21T17:00:00.000000000Z,4480,0.66869,0.66918,0.66812,0.66848,0.66874,0.66923,0.66854,0.66885,0.66880,0.66937,0.66858,0.66922,,
7,SGD_CHF,2023-04-23T21:00:00.000000000Z,3490,0.66857,0.66893,0.66833,0.66860,0.66933,0.66946,0.66844,0.66865,0.67009,0.67028,0.66849,0.66870,0.6692312499999999,
8,SGD_CHF,2023-04-24T01:00:00.000000000Z,5517,0.66857,0.66885,0.66776,0.66778,0.66864,0.66891,0.66782,0.66784,0.66870,0.66898,0.66786,0.66791,0.6689862499999999,
9,SGD_CHF,2023-04-24T05:00:00.000000000Z,8307,0.66776,0.66795,0.66631,0.66634,0.66783,0.66798,0.66637,0.66638,0.66790,0.66803,0.66641,0.66642,0.66852,
10,SGD_CHF,2023-04-24T09:00:00.000000000Z,8983,0.66633,0.66727,0.66589,0.66630,0.66638,0.66730,0.66593,0.66636,0.66643,0.66735,0.66597,0.66642,0.6680699999999999,
11,SGD_CHF,2023-04-24T13:00:00.000000000Z,9089,0.66629,0.66680,0.66552,0.66571,0.66634,0.66685,0.66558,0.66576,0.66640,0.66690,0.66564,0.66581,0.667615,
12,SGD_CHF,2023-04-24T17:00:00.000000000Z,2642,0.66572,0.66596,0.66542,0.66556,0.66576,0.66600,0.66547,0.66568,0.66580,0.66605,0.66552,0.66579,0.66728,
13,SGD_CHF,2023-04-24T21:00:00.000000000Z,3947,0.66503,0.66576,0.66463,0.66563,0.66568,0.66584,0.66532,0.66567,0.66632,0.66635,0.66546,0.66571,0.66689875,
14,SGD_CHF,2023-04-25T01:00:00.000000000Z,4077,0.66566,0.66577,0.66471,0.66494,0.66570,0.66580,0.66476,0.66498,0.66573,0.66585,0.66480,0.66502,0.666415,
15,SGD_CHF,2023-04-25T05:00:00.000000000Z,8942,0.66494,0.66548,0.66327,0.66372,0.66498,0.66552,0.66332,0.66376,0.66503,0.66557,0.66336,0.66380,0.66580375,
16,SGD_CHF,2023-04-25T09:00:00.000000000Z,8420,0.66373,0.66485,0.66326,0.66459,0.66376,0.66488,0.66330,0.66464,0.66380,0.66493,0.66334,0.66470,0.6654037500000001,
17,SGD_CHF,2023-04-25T13:00:00.000000000Z,9206,0.66457,0.66681,0.66454,0.66655,0.66463,0.66684,0.66458,0.66660,0.66469,0.66688,0.66462,0.66664,0.66543125,
18,SGD_CHF,2023-04-25T17:00:00.000000000Z,4859,0.66656,0.66663,0.66586,0.66632,0.66660,0.66667,0.66591,0.66644,0.66664,0.66671,0.66595,0.66657,0.66544125,
19,SGD_CHF,2023-04-25T21:00:00.000000000Z,4689,0.66502,0.66692,0.66490,0.66672,0.66572,0.66696,0.66560,0.66677,0.66643,0.66712,0.66622,0.66682,0.6655675000000001,
20,SGD_CHF,2023-04-26T01:00:00.000000000Z,5538,0.66673,0.66704,0.66606,0.66612,0.66678,0.66708,0.66610,0.66616,0.66682,0.66713,0.66614,0.66621,0.6656275,
21,SGD_CHF,2023-04-26T05:00:00.000000000Z,9831,0.66612,0.66754,0.66577,0.66667,0.66617,0.66758,0.66582,0.66670,0.66622,0.66762,0.66585,0.66674,0.6657562499999999,
22,SGD_CHF,2023-04-26T09:00:00.000000000Z,11625,0.66668,0.66668,0.66516,0.66575,0.66671,0.66671,0.66521,0.66580,0.66674,0.66675,0.66526,0.66585,0.6658587499999999,
23,SGD_CHF,2023-04-26T13:00:00.000000000Z,14376,0.66578,0.66798,0.66376,0.66766,0.66584,0.66802,0.66382,0.66772,0.66589,0.66807,0.66389,0.66777,0.66635375,
24,SGD_CHF,2023-04-26T17:00:00.000000000Z,4714,0.66770,0.66795,0.66688,0.66724,0.66774,0.66799,0.66692,0.66736,0.66779,0.66804,0.66696,0.66747,0.66669375,
25,SGD_CHF,2023-04-26T21:00:00.000000000Z,4092,0.66642,0.66733,0.66623,0.66688,0.66707,0.66738,0.66685,0.66692,0.66772,0.66791,0.66696,0.66697,0.6667337499999999,
26,SGD_CHF,2023-04-27T01:00:00.000000000Z,4858,0.66688,0.66756,0.66682,0.66710,0.66693,0.66760,0.66687,0.66716,0.66698,0.66765,0.66692,0.66721,0.6668237499999999,
27,SGD_CHF,2023-04-27T05:00:00.000000000Z,8886,0.66710,0.66868,0.66709,0.66828,0.66714,0.66874,0.66712,0.66832,0.66719,0.66879,0.66716,0.66836,0.6670174999999999,
28,SGD_CHF,2023-04-27T09:00:00.000000000Z,12360,0.66832,0.67110,0.66747,0.67033,0.66836,0.67115,0.66778,0.67037,0.66840,0.67120,0.66805,0.67041,0.66754375,
29,SGD_CHF,2023-04-27T13:00:00.000000000Z,11969,0.67034,0.67129,0.66984,0.67021,0.67038,0.67133,0.66988,0.67027,0.67041,0.67137,0.66993,0.67033,0.66799,
30,SGD_CHF,2023-04-27T17:00:00.000000000Z,4348,0.67022,0.67035,0.66939,0.66981,0.67028,0.67039,0.66944,0.66994,0.67033,0.67044,0.66948,0.67008,0.6685075,
