,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,SGD_JPY,2023-06-29T17:00:00.000000000Z,1965,106.854,106.855,106.776,106.814,106.860,106.862,106.782,106.820,106.866,106.869,106.788,106.826,,
1,SGD_JPY,2023-06-29T18:00:00.000000000Z,1832,106.812,106.854,106.807,106.839,106.818,106.859,106.814,106.844,106.823,106.864,106.820,106.850,,
2,SGD_JPY,2023-06-29T19:00:00.000000000Z,1508,106.836,106.843,106.771,106.784,106.842,106.848,106.778,106.789,106.849,106.854,106.784,106.794,,
3,SGD_JPY,2023-06-29T20:00:00.000000000Z,507,106.782,106.784,106.712,106.714,106.788,106.790,106.738,106.740,106.793,106.796,106.753,106.766,,
4,SGD_JPY,2023-06-29T21:00:00.000000000Z,103,106.666,106.708,106.637,106.642,106.743,106.753,106.714,106.716,106.820,106.820,106.775,106.789,,
5,SGD_JPY,2023-06-29T22:00:00.000000000Z,1110,106.660,106.753,106.660,106.737,106.722,106.762,106.688,106.746,106.783,106.803,106.701,106.754,,
6,SGD_JPY,2023-06-29T23:00:00.000000000Z,1145,106.737,106.777,106.669,106.752,106.745,106.785,106.680,106.758,106.753,106.794,106.690,106.765,,
7,SGD_JPY,2023-06-30T00:00:00.000000000Z,3114,106.752,106.893,106.668,106.857,106.758,106.899,106.673,106.863,106.764,106.906,106.678,106.869,106.7845,
8,SGD_JPY,2023-06-30T01:00:00.000000000Z,3589,106.854,106.923,106.758,106.761,106.860,106.930,106.765,106.768,106.866,106.938,106.771,106.774,106.77799999999999,
9,SGD_JPY,2023-06-30T02:00:00.000000000Z,3477,106.763,106.913,106.758,106.780,106.770,106.918,106.765,106.786,106.776,106.926,106.772,106.792,106.77074999999999,
10,SGD_JPY,2023-06-30T03:00:00.000000000Z,1900,106.782,106.836,106.760,106.791,106.788,106.842,106.766,106.797,106.793,106.849,106.772,106.803,106.77175,
11,SGD_JPY,2023-06-30T04:00:00.000000000Z,1692,106.792,106.795,106.702,106.742,106.798,106.800,106.706,106.746,106.803,106.805,106.710,106.750,106.7725,
