,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,SOYBN_USD,2023-04-17T01:00:00.000000000Z,1057,14.998,15.053,14.983,15.043,15.007,15.063,14.992,15.052,15.016,15.073,15.001,15.061,,
1,SOYBN_USD,2023-04-17T05:00:00.000000000Z,922,15.043,15.085,15.035,15.055,15.053,15.095,15.044,15.064,15.063,15.105,15.053,15.073,,
2,SOYBN_USD,2023-04-17T09:00:00.000000000Z,896,15.053,15.115,15.053,15.087,15.063,15.124,15.063,15.096,15.073,15.133,15.073,15.105,,
3,SOYBN_USD,2023-04-17T13:00:00.000000000Z,3354,15.120,15.177,15.080,15.170,15.130,15.186,15.090,15.179,15.140,15.195,15.100,15.188,,
4,SOYBN_USD,2023-04-17T17:00:00.000000000Z,717,15.175,15.190,15.157,15.162,15.184,15.200,15.166,15.171,15.193,15.210,15.175,15.180,,
5,SOYBN_USD,2023-04-17T21:00:00.000000000Z,219,15.153,15.192,15.153,15.179,15.162,15.201,15.162,15.188,15.171,15.210,15.171,15.197,,
6,SOYBN_USD,2023-04-18T01:00:00.000000000Z,870,15.179,15.273,15.176,15.250,15.189,15.282,15.185,15.259,15.199,15.291,15.194,15.268,,
7,SOYBN_USD,2023-04-18T05:00:00.000000000Z,715,15.247,15.308,15.237,15.298,15.257,15.317,15.246,15.307,15.267,15.326,15.255,15.316,15.1645,
8,SOYBN_USD,2023-04-18T09:00:00.000000000Z,994,15.295,15.331,15.251,15.251,15.304,15.340,15.260,15.261,15.313,15.349,15.269,15.271,15.190625,
9,SOYBN_USD,2023-04-18T13:00:00.000000000Z,3608,15.249,15.254,15.131,15.238,15.259,15.264,15.140,15.247,15.269,15.274,15.149,15.256,15.2135,
10,SOYBN_USD,2023-04-18T17:00:00.000000000Z,649,15.240,15.243,15.212,15.212,15.250,15.253,15.221,15.222,15.260,15.263,15.230,15.232,15.22925,
11,SOYBN_USD,2023-04-18T21:00:00.000000000Z,237,15.201,15.221,15.175,15.191,15.210,15.231,15.184,15.201,15.219,15.241,15.193,15.211,15.232,
12,SOYBN_USD,2023-04-19T01:00:00.000000000Z,652,15.190,15.201,15.177,15.192,15.199,15.211,15.186,15.201,15.208,15.221,15.195,15.210,15.23575,
13,SOYBN_USD,2023-04-19T05:00:00.000000000Z,911,15.190,15.205,15.164,15.169,15.200,15.214,15.173,15.179,15.210,15.223,15.182,15.189,15.234625,
14,SOYBN_USD,2023-04-19T09:00:00.000000000Z,791,15.171,15.186,15.160,15.173,15.180,15.195,15.169,15.182,15.189,15.204,15.178,15.191,15.225,
15,SOYBN_USD,2023-04-19T13:00:00.000000000Z,2923,15.148,15.244,15.112,15.180,15.158,15.254,15.121,15.189,15.168,15.264,15.130,15.198,15.21025,
16,SOYBN_USD,2023-04-19T17:00:00.000000000Z,771,15.178,15.180,15.085,15.098,15.188,15.189,15.094,15.107,15.198,15.198,15.103,15.116,15.191,
17,SOYBN_USD,2023-04-19T21:00:00.000000000Z,230,15.062,15.072,15.049,15.056,15.071,15.081,15.059,15.065,15.080,15.090,15.069,15.074,15.16825,
18,SOYBN_USD,2023-04-20T01:00:00.000000000Z,656,15.054,15.074,15.028,15.035,15.064,15.084,15.037,15.045,15.074,15.094,15.046,15.055,15.146125,
