,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,SPX500_USD,2023-06-28T16:00:00.000000000Z,2528,4386.2,4395.0,4365.7,4371.7,4386.4,4395.2,4365.8,4371.8,4386.5,4395.5,4366.0,4372.0,,
1,SPX500_USD,2023-06-28T17:00:00.000000000Z,1958,4371.5,4379.7,4367.0,4374.2,4371.8,4379.8,4367.4,4374.4,4372.0,4380.0,4367.5,4374.5,,
2,SPX500_USD,2023-06-28T18:00:00.000000000Z,1243,4374.5,4380.8,4373.0,4375.7,4374.6,4381.0,4373.2,4375.8,4374.8,4381.3,4373.3,4376.0,,
3,SPX500_USD,2023-06-28T19:00:00.000000000Z,1738,4376.0,4385.5,4366.2,4385.5,4376.2,4385.6,4366.4,4385.6,4376.3,4385.8,4366.5,4385.8,,
4,SPX500_USD,2023-06-28T20:00:00.000000000Z,624,4385.2,4390.4,4383.4,4387.7,4385.4,4390.6,4383.6,4387.9,4385.5,4390.8,4383.8,4388.1,,
5,SPX500_USD,2023-06-28T22:00:00.000000000Z,287,4388.0,4393.7,4387.4,4392.2,4388.3,4394.0,4387.6,4392.5,4388.6,4394.3,4387.8,4392.8,,
6,SPX500_USD,2023-06-28T23:00:00.000000000Z,179,4392.2,4392.7,4390.4,4390.4,4392.4,4392.9,4390.6,4390.6,4392.6,4393.1,4390.8,4390.8,,
7,SPX500_USD,2023-06-29T00:00:00.000000000Z,406,4390.7,4392.2,4389.7,4391.4,4390.9,4392.4,4389.9,4391.6,4391.1,4392.6,4390.1,4391.8,4383.775,
8,SPX500_USD,2023-06-29T01:00:00.000000000Z,435,4391.7,4393.2,4388.9,4389.2,4391.9,4393.4,4389.1,4389.4,4392.1,4393.6,4389.3,4389.6,4385.975,
9,SPX500_USD,2023-06-29T02:00:00.000000000Z,435,4389.2,4389.7,4385.9,4386.2,4389.5,4389.9,4386.1,4386.4,4389.8,4390.1,4386.3,4386.6,4387.475,
