,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,SUGAR_USD,2023-06-06T10:00:00.000000000Z,492,0.24714,0.25028,0.24694,0.24744,0.24726,0.25040,0.24712,0.24756,0.24739,0.25053,0.24729,0.24769,,
1,SUGAR_USD,2023-06-06T11:00:00.000000000Z,284,0.24744,0.24825,0.24734,0.24764,0.24762,0.24838,0.24746,0.24782,0.24779,0.24850,0.24759,0.24799,,
2,SUGAR_USD,2023-06-06T12:00:00.000000000Z,557,0.24774,0.24915,0.24723,0.24885,0.24786,0.24932,0.24736,0.24902,0.24799,0.24950,0.24748,0.24920,,
3,SUGAR_USD,2023-06-06T13:00:00.000000000Z,402,0.24884,0.24935,0.24783,0.24793,0.24896,0.24948,0.24796,0.24806,0.24909,0.24960,0.24808,0.24818,,
4,SUGAR_USD,2023-06-06T14:00:00.000000000Z,393,0.24803,0.24854,0.24651,0.24671,0.24816,0.24872,0.24664,0.24684,0.24828,0.24889,0.24676,0.24696,,
5,SUGAR_USD,2023-06-06T15:00:00.000000000Z,464,0.24681,0.24893,0.24620,0.24863,0.24694,0.24906,0.24632,0.24876,0.24706,0.24918,0.24645,0.24888,,
6,SUGAR_USD,2023-06-06T16:00:00.000000000Z,445,0.24873,0.24933,0.24802,0.24933,0.24886,0.24946,0.24814,0.24946,0.24898,0.24958,0.24827,0.24958,,
7,SUGAR_USD,2023-06-07T07:00:00.000000000Z,277,0.24997,0.25077,0.24946,0.24966,0.25010,0.25090,0.24958,0.24978,0.25022,0.25102,0.24971,0.24991,0.2484125,
8,SUGAR_USD,2023-06-07T08:00:00.000000000Z,285,0.24966,0.25127,0.24905,0.25087,0.24984,0.25140,0.24918,0.25100,0.25001,0.25152,0.24930,0.25112,0.2488425,
9,SUGAR_USD,2023-06-07T09:00:00.000000000Z,175,0.25097,0.25097,0.24894,0.24965,0.25110,0.25110,0.24906,0.24978,0.25122,0.25122,0.24919,0.24990,0.24908750000000002,
10,SUGAR_USD,2023-06-07T10:00:00.000000000Z,148,0.24955,0.25086,0.24914,0.25066,0.24972,0.25098,0.24926,0.25078,0.24990,0.25111,0.24939,0.25091,0.24930750000000002,
11,SUGAR_USD,2023-06-07T11:00:00.000000000Z,214,0.25066,0.25156,0.24944,0.24964,0.25084,0.25168,0.24962,0.24976,0.25101,0.25181,0.24979,0.24989,0.24952,
12,SUGAR_USD,2023-06-07T12:00:00.000000000Z,395,0.24954,0.25065,0.24923,0.24953,0.24972,0.25078,0.24940,0.24966,0.24989,0.25090,0.24958,0.24978,0.2498725,
13,SUGAR_USD,2023-06-07T13:00:00.000000000Z,441,0.24943,0.24983,0.24791,0.24933,0.24960,0.24996,0.24804,0.24950,0.24978,0.25008,0.24816,0.24968,0.24996500000000002,
14,SUGAR_USD,2023-06-07T14:00:00.000000000Z,475,0.24933,0.24933,0.24669,0.24710,0.24946,0.24946,0.24682,0.24722,0.24958,0.24958,0.24694,0.24735,0.24968500000000002,
15,SUGAR_USD,2023-06-07T15:00:00.000000000Z,422,0.24699,0.24901,0.24649,0.24820,0.24712,0.24914,0.24666,0.24838,0.24724,0.24926,0.24684,0.24855,0.24950999999999998,
16,SUGAR_USD,2023-06-07T16:00:00.000000000Z,585,0.24820,0.24841,0.24709,0.24779,0.24832,0.24854,0.24722,0.24792,0.24845,0.24866,0.24734,0.24804,0.249125,
17,SUGAR_USD,2023-06-08T07:00:00.000000000Z,262,0.24701,0.24903,0.24681,0.24893,0.24714,0.24916,0.24694,0.24910,0.24726,0.24928,0.24706,0.24928,0.24903999999999998,
18,SUGAR_USD,2023-06-08T08:00:00.000000000Z,173,0.24893,0.24903,0.24792,0.24842,0.24906,0.24916,0.24810,0.24854,0.24918,0.24928,0.24827,0.24867,0.24875999999999998,
19,SUGAR_USD,2023-06-08T09:00:00.000000000Z,125,0.24852,0.24933,0.24842,0.24933,0.24864,0.24946,0.24860,0.24946,0.24877,0.24958,0.24877,0.24958,0.24872249999999999,
20,SUGAR_USD,2023-06-08T10:00:00.000000000Z,157,0.24922,0.25033,0.24922,0.25003,0.24934,0.25050,0.24934,0.25016,0.24947,0.25068,0.24947,0.25028,0.24878499999999998,
21,SUGAR_USD,2023-06-08T11:00:00.000000000Z,168,0.25013,0.25184,0.25003,0.25184,0.25026,0.25202,0.25020,0.25202,0.25038,0.25219,0.25038,0.25219,0.2491,
22,SUGAR_USD,2023-06-08T12:00:00.000000000Z,615,0.25204,0.25507,0.25194,0.25376,0.25216,0.25520,0.25206,0.25388,0.25229,0.25532,0.25219,0.25401,0.2499325,
23,SUGAR_USD,2023-06-08T13:00:00.000000000Z,662,0.25366,0.25598,0.25295,0.25577,0.25378,0.25610,0.25308,0.25590,0.25391,0.25623,0.25320,0.25602,0.2508725,
24,SUGAR_USD,2023-06-08T14:00:00.000000000Z,602,0.25567,0.25668,0.25466,0.25577,0.25580,0.25680,0.25478,0.25590,0.25592,0.25693,0.25491,0.25602,0.25187,
25,SUGAR_USD,2023-06-08T15:00:00.000000000Z,592,0.25587,0.25668,0.25536,0.25553,0.25600,0.25680,0.25548,0.25566,0.25612,0.25693,0.25561,0.25578,0.25269,
26,SUGAR_USD,2023-06-08T16:00:00.000000000Z,704,0.25543,0.25933,0.25543,0.25902,0.25561,0.25946,0.25556,0.25914,0.25579,0.25958,0.25568,0.25927,0.254015,
27,SUGAR_USD,2023-06-09T07:00:00.000000000Z,438,0.25868,0.26062,0.25836,0.26011,0.25880,0.26074,0.25854,0.26024,0.25893,0.26088,0.25872,0.26036,0.2553625,
28,SUGAR_USD,2023-06-09T08:00:00.000000000Z,549,0.26001,0.26370,0.25980,0.26226,0.26014,0.26387,0.25992,0.26244,0.26026,0.26405,0.26005,0.26262,0.2568975,
29,SUGAR_USD,2023-06-09T09:00:00.000000000Z,316,0.26236,0.26247,0.26051,0.26062,0.26248,0.26264,0.26064,0.26074,0.26261,0.26282,0.26077,0.26087,0.25798750000000004,
30,SUGAR_USD,2023-06-09T10:00:00.000000000Z,430,0.26061,0.26174,0.25949,0.26154,0.26079,0.26186,0.25962,0.26166,0.26097,0.26200,0.25974,0.26179,0.25895999999999997,
31,SUGAR_USD,2023-06-09T11:00:00.000000000Z,324,0.26164,0.26164,0.26010,0.26020,0.26176,0.26182,0.26022,0.26038,0.26189,0.26200,0.26035,0.26056,0.25952,
32,SUGAR_USD,2023-06-09T12:00:00.000000000Z,1011,0.26031,0.26123,0.25692,0.25825,0.26044,0.26136,0.25704,0.25843,0.26056,0.26148,0.25717,0.25861,0.25983625,
33,SUGAR_USD,2023-06-09T13:00:00.000000000Z,667,0.25836,0.25897,0.25732,0.25733,0.25848,0.25915,0.25746,0.25746,0.25861,0.25933,0.25758,0.25758,0.26006125,
