,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,TWIX_USD,2023-04-19T05:00:00.000000000Z,1667,600.4,601.3,597.8,598.4,600.6,601.5,598.4,598.6,600.8,601.7,598.6,598.8,,
1,TWIX_USD,2023-04-19T09:00:00.000000000Z,1154,598.6,598.7,597.5,598.0,598.8,598.9,597.7,598.2,599.1,599.1,597.9,598.5,,
2,TWIX_USD,2023-04-19T13:00:00.000000000Z,4008,598.1,600.2,598.1,600.2,598.4,600.4,598.4,600.4,598.6,600.7,598.6,600.6,,
3,TWIX_USD,2023-04-19T17:00:00.000000000Z,1037,600.1,600.7,599.6,600.1,600.4,600.9,600.0,600.3,600.6,601.1,600.2,600.5,,
4,TWIX_USD,2023-04-19T21:00:00.000000000Z,282,597.5,598.4,597.3,598.1,598.2,598.6,597.6,598.4,598.8,599.0,597.8,598.6,,
5,TWIX_USD,2023-04-20T01:00:00.000000000Z,1099,598.1,602.5,597.6,599.7,598.4,602.7,597.8,599.9,598.7,602.9,598.0,600.1,,
6,TWIX_USD,2023-04-20T05:00:00.000000000Z,1271,599.6,603.1,597.7,600.1,599.8,604.1,599.6,600.7,600.0,605.5,599.8,601.3,,
7,TWIX_USD,2023-04-20T09:00:00.000000000Z,702,600.1,601.4,599.4,601.4,600.6,601.6,599.6,601.6,601.1,601.8,599.8,601.8,599.7625,
8,TWIX_USD,2023-04-20T13:00:00.000000000Z,3030,601.2,605.5,600.9,603.7,601.4,605.7,601.2,604.0,601.7,605.9,601.4,604.2,600.4375,
9,TWIX_USD,2023-04-20T17:00:00.000000000Z,1147,603.7,604.9,601.8,601.8,603.9,605.1,602.6,602.6,604.1,605.3,603.2,603.3,600.9875,
10,TWIX_USD,2023-04-20T21:00:00.000000000Z,118,602.4,603.4,599.2,603.4,607.4,607.5,601.6,603.6,612.4,612.5,601.8,603.8,601.3875,
11,TWIX_USD,2023-04-21T01:00:00.000000000Z,2119,603.2,603.5,597.9,598.2,603.4,603.7,598.1,598.4,603.6,603.9,598.3,598.6,601.15,
12,TWIX_USD,2023-04-21T05:00:00.000000000Z,1457,598.1,598.7,595.3,598.7,598.3,599.0,597.0,599.0,598.5,600.2,597.7,599.2,601.225,
13,TWIX_USD,2023-04-21T09:00:00.000000000Z,1283,598.9,599.0,597.2,598.4,599.1,599.2,597.4,598.6,599.3,599.4,597.6,598.8,601.0625,
14,TWIX_USD,2023-04-21T13:00:00.000000000Z,4503,598.5,598.7,595.4,597.0,598.7,599.0,595.6,597.3,598.9,599.3,595.8,597.6,600.6375,
15,TWIX_USD,2023-04-21T17:00:00.000000000Z,1394,597.1,597.6,596.6,596.7,597.4,598.0,596.8,597.0,597.6,598.5,597.0,597.2,600.0625,
