,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,UK100_GBP,2023-07-06T10:00:00.000000000Z,500,7340.7,7341.2,7333.1,7336.1,7341.1,7341.6,7333.5,7336.5,7341.5,7342.0,7333.9,7336.9,,
1,UK100_GBP,2023-07-06T11:00:00.000000000Z,408,7336.6,7348.1,7336.6,7340.1,7337.0,7348.5,7337.0,7340.5,7337.4,7348.9,7337.4,7340.9,,
2,UK100_GBP,2023-07-06T12:00:00.000000000Z,867,7340.6,7342.1,7308.1,7310.6,7341.0,7342.5,7308.5,7311.0,7341.4,7342.9,7308.9,7311.4,,
3,UK100_GBP,2023-07-06T13:00:00.000000000Z,1045,7310.1,7313.6,7295.1,7301.4,7310.5,7314.0,7295.5,7302.2,7310.9,7314.4,7295.9,7303.0,,
4,UK100_GBP,2023-07-06T14:00:00.000000000Z,1306,7302.9,7306.1,7267.1,7269.6,7304.2,7306.5,7267.5,7270.0,7305.5,7306.9,7267.9,7270.4,,
5,UK100_GBP,2023-07-06T15:00:00.000000000Z,1019,7270.1,7286.2,7261.6,7282.2,7270.5,7287.0,7262.0,7283.0,7270.9,7287.8,7262.4,7283.8,,
6,UK100_GBP,2023-07-06T16:00:00.000000000Z,347,7282.7,7289.2,7277.7,7286.2,7283.5,7290.0,7278.5,7287.0,7284.3,7290.8,7279.3,7287.8,,
7,UK100_GBP,2023-07-06T17:00:00.000000000Z,219,7286.7,7289.7,7283.7,7286.2,7287.5,7290.5,7284.5,7287.0,7288.3,7291.3,7285.3,7287.8,7302.15,
8,UK100_GBP,2023-07-06T18:00:00.000000000Z,194,7286.7,7287.2,7279.2,7285.2,7287.5,7288.0,7280.0,7286.0,7288.3,7288.8,7280.8,7286.8,7295.8375,
9,UK100_GBP,2023-07-06T19:00:00.000000000Z,313,7284.7,7289.2,7276.4,7280.2,7285.5,7290.0,7277.2,7281.0,7286.3,7290.8,7278.0,7281.8,7288.4,
10,UK100_GBP,2023-07-07T00:00:00.000000000Z,235,7277.2,7280.9,7265.7,7279.4,7278.0,7281.7,7266.5,7280.2,7278.8,7282.5,7267.3,7281.0,7284.55,
11,UK100_GBP,2023-07-07T01:00:00.000000000Z,143,7279.9,7281.9,7270.4,7276.4,7280.7,7282.7,7271.2,7277.2,7281.5,7283.5,7272.0,7278.0,7281.425,
12,UK100_GBP,2023-07-07T02:00:00.000000000Z,113,7276.9,7278.9,7273.9,7278.7,7277.7,7279.7,7274.7,7279.5,7278.5,7280.5,7275.5,7280.3,7282.6125,
13,UK100_GBP,2023-07-07T03:00:00.000000000Z,79,7279.2,7283.9,7278.4,7279.9,7280.0,7284.7,7279.2,7280.7,7280.8,7285.5,7280.0,7281.5,7282.325000000001,
14,UK100_GBP,2023-07-07T04:00:00.000000000Z,80,7279.2,7279.2,7272.7,7273.4,7280.0,7280.0,7273.5,7274.2,7280.8,7280.8,7274.3,7275.0,7280.725,
15,UK100_GBP,2023-07-07T05:00:00.000000000Z,151,7272.9,7281.2,7266.2,7266.7,7273.7,7282.0,7267.0,7267.5,7274.5,7282.8,7267.8,7268.3,7278.2875,
16,UK100_GBP,2023-07-07T06:00:00.000000000Z,406,7264.9,7272.2,7247.4,7248.9,7265.7,7273.0,7248.2,7249.7,7266.5,7273.8,7249.0,7250.5,7273.75,
17,UK100_GBP,2023-07-07T07:00:00.000000000Z,2239,7247.7,7257.6,7221.6,7239.6,7248.5,7258.0,7222.0,7240.0,7249.3,7258.4,7222.4,7240.4,7268.625,
18,UK100_GBP,2023-07-07T08:00:00.000000000Z,998,7240.1,7248.8,7224.6,7248.8,7240.5,7249.2,7225.0,7249.2,7240.9,7249.6,7225.4,7249.6,7264.75,
19,UK100_GBP,2023-07-07T09:00:00.000000000Z,825,7248.3,7270.6,7248.3,7252.9,7248.7,7271.0,7248.7,7253.3,7249.1,7271.4,7249.1,7253.7,7261.7625,
