,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,UK10YB_GBP,2023-01-16T14:00:00.000000000Z,2509,105.219,105.400,104.975,105.236,105.234,105.415,104.990,105.251,105.249,105.430,105.005,105.266,,
1,UK10YB_GBP,2023-01-17T06:00:00.000000000Z,2947,104.982,105.154,104.738,104.818,104.997,105.169,104.753,104.833,105.012,105.184,104.768,104.848,,
2,UK10YB_GBP,2023-01-17T10:00:00.000000000Z,5253,104.829,104.989,104.512,104.846,104.854,105.004,104.527,104.861,104.879,105.019,104.542,104.876,,
3,UK10YB_GBP,2023-01-17T14:00:00.000000000Z,8672,104.856,105.968,104.856,105.805,104.871,105.988,104.871,105.820,104.886,106.008,104.886,105.835,,
4,UK10YB_GBP,2023-01-18T06:00:00.000000000Z,3693,106.097,106.279,105.336,105.346,106.112,106.294,105.351,105.361,106.127,106.309,105.366,105.376,,
5,UK10YB_GBP,2023-01-18T10:00:00.000000000Z,5832,105.336,106.609,105.255,106.406,105.351,106.624,105.275,106.421,105.366,106.639,105.295,106.436,,
6,UK10YB_GBP,2023-01-18T14:00:00.000000000Z,7845,106.396,107.013,105.998,106.140,106.416,107.033,106.013,106.155,106.436,107.053,106.028,106.170,,
7,UK10YB_GBP,2023-01-19T06:00:00.000000000Z,4356,106.220,106.979,106.220,106.552,106.240,106.994,106.240,106.567,106.260,107.009,106.260,106.582,105.658625,
8,UK10YB_GBP,2023-01-19T10:00:00.000000000Z,7711,106.542,106.552,105.648,105.850,106.562,106.567,105.663,105.865,106.582,106.582,105.678,105.880,105.735375,
9,UK10YB_GBP,2023-01-19T14:00:00.000000000Z,6075,105.830,106.425,105.759,105.979,105.855,106.440,105.779,105.994,105.880,106.455,105.799,106.009,105.8805,
10,UK10YB_GBP,2023-01-20T06:00:00.000000000Z,3641,106.039,106.312,105.784,105.794,106.054,106.327,105.804,105.809,106.069,106.342,105.824,105.824,105.999,
11,UK10YB_GBP,2023-01-20T10:00:00.000000000Z,4554,105.804,105.924,105.530,105.690,105.819,105.944,105.545,105.705,105.834,105.964,105.560,105.720,105.984625,
12,UK10YB_GBP,2023-01-20T14:00:00.000000000Z,4477,105.680,105.820,105.282,105.413,105.700,105.835,105.297,105.438,105.720,105.850,105.312,105.463,105.99425000000001,
13,UK10YB_GBP,2023-01-23T06:00:00.000000000Z,2895,105.364,105.829,105.324,105.403,105.379,105.844,105.344,105.418,105.394,105.859,105.364,105.433,105.868875,
14,UK10YB_GBP,2023-01-23T10:00:00.000000000Z,4538,105.393,105.512,104.988,105.228,105.413,105.527,105.003,105.243,105.433,105.542,105.018,105.258,105.754875,
15,UK10YB_GBP,2023-01-23T14:00:00.000000000Z,4292,105.228,105.560,105.066,105.437,105.248,105.575,105.081,105.452,105.268,105.590,105.096,105.467,105.6155,
16,UK10YB_GBP,2023-01-24T06:00:00.000000000Z,3977,105.709,106.082,105.476,105.890,105.729,106.102,105.491,105.905,105.749,106.122,105.506,105.920,105.62049999999999,
17,UK10YB_GBP,2023-01-24T10:00:00.000000000Z,4776,105.890,105.991,105.502,105.512,105.910,106.006,105.517,105.532,105.930,106.021,105.532,105.552,105.56275,
18,UK10YB_GBP,2023-01-24T14:00:00.000000000Z,5462,105.502,106.177,105.299,106.136,105.517,106.192,105.314,106.151,105.532,106.207,105.329,106.166,105.60549999999999,
19,UK10YB_GBP,2023-01-25T06:00:00.000000000Z,3156,106.337,106.933,106.327,106.801,106.352,106.948,106.347,106.816,106.367,106.963,106.367,106.831,105.74437499999999,
20,UK10YB_GBP,2023-01-25T10:00:00.000000000Z,3859,106.811,107.173,106.628,106.717,106.826,107.188,106.643,106.737,106.841,107.203,106.658,106.757,105.90674999999999,
21,UK10YB_GBP,2023-01-25T14:00:00.000000000Z,6005,106.737,106.979,106.219,106.572,106.752,106.994,106.234,106.587,106.767,107.009,106.249,106.602,106.052875,
22,UK10YB_GBP,2023-01-26T06:00:00.000000000Z,3111,106.773,106.783,105.882,106.064,106.788,106.798,105.897,106.084,106.803,106.813,105.912,106.104,106.158,
23,UK10YB_GBP,2023-01-26T10:00:00.000000000Z,5294,106.074,106.154,105.697,106.020,106.089,106.169,105.712,106.040,106.104,106.184,105.727,106.060,106.2315,
24,UK10YB_GBP,2023-01-26T14:00:00.000000000Z,5164,106.030,106.333,105.745,106.057,106.045,106.348,105.760,106.072,106.060,106.363,105.775,106.087,106.252375,
25,UK10YB_GBP,2023-01-27T06:00:00.000000000Z,2727,105.783,105.814,105.419,105.559,105.798,105.834,105.439,105.574,105.813,105.854,105.459,105.589,106.257625,
26,UK10YB_GBP,2023-01-27T10:00:00.000000000Z,3751,105.549,105.708,105.275,105.617,105.569,105.723,105.290,105.632,105.589,105.738,105.305,105.647,106.19275,
27,UK10YB_GBP,2023-01-27T14:00:00.000000000Z,4109,105.617,105.837,105.343,105.745,105.637,105.852,105.363,105.765,105.657,105.867,105.383,105.785,106.061375,
28,UK10YB_GBP,2023-01-30T06:00:00.000000000Z,5789,105.756,105.797,105.099,105.502,105.776,105.812,105.114,105.517,105.796,105.837,105.129,105.532,105.90887500000001,
29,UK10YB_GBP,2023-01-30T10:00:00.000000000Z,4825,105.512,105.681,105.208,105.630,105.527,105.696,105.223,105.645,105.542,105.711,105.238,105.660,105.791125,
30,UK10YB_GBP,2023-01-30T14:00:00.000000000Z,4414,105.620,105.811,105.366,105.506,105.635,105.826,105.386,105.521,105.650,105.841,105.406,105.536,105.72075,
31,UK10YB_GBP,2023-01-31T06:00:00.000000000Z,3943,105.959,106.131,105.423,105.675,105.974,106.151,105.438,105.695,105.989,106.171,105.453,105.715,105.677625,
32,UK10YB_GBP,2023-01-31T10:00:00.000000000Z,5843,105.685,105.924,105.229,105.712,105.700,105.944,105.244,105.727,105.715,105.964,105.259,105.742,105.6345,
33,UK10YB_GBP,2023-01-31T14:00:00.000000000Z,6195,105.722,105.833,105.256,105.497,105.737,105.848,105.276,105.512,105.752,105.863,105.296,105.527,105.62675,
34,UK10YB_GBP,2023-02-01T06:00:00.000000000Z,2819,105.688,106.051,105.526,105.838,105.703,106.071,105.541,105.853,105.718,106.091,105.556,105.868,105.654375,
35,UK10YB_GBP,2023-02-01T10:00:00.000000000Z,4999,105.848,106.027,105.635,105.905,105.863,106.047,105.650,105.920,105.878,106.067,105.665,105.935,105.67375,
36,UK10YB_GBP,2023-02-01T14:00:00.000000000Z,5769,105.915,105.932,105.248,105.862,105.935,105.947,105.354,105.882,105.955,105.965,105.388,105.902,105.719375,
37,UK10YB_GBP,2023-02-02T06:00:00.000000000Z,3970,106.315,106.758,106.103,106.606,106.330,106.773,106.118,106.621,106.345,106.788,106.133,106.636,105.841375,
38,UK10YB_GBP,2023-02-02T10:00:00.000000000Z,13423,106.606,107.784,106.180,107.714,106.626,107.804,106.200,107.729,106.646,107.824,106.220,107.744,106.11737500000001,
