,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,US30_USD,2023-04-20T05:00:00.000000000Z,1966,33858.3,33875.3,33682.3,33726.8,33859.3,33876.3,33683.3,33727.8,33860.3,33877.3,33684.3,33728.8,,
1,US30_USD,2023-04-20T09:00:00.000000000Z,2511,33725.3,33764.3,33680.4,33718.4,33726.3,33765.3,33681.3,33719.3,33727.3,33766.3,33682.2,33720.2,,
2,US30_USD,2023-04-20T13:00:00.000000000Z,6192,33715.9,33843.6,33656.1,33838.1,33716.8,33844.4,33656.8,33838.8,33717.7,33845.1,33657.6,33839.6,,
3,US30_USD,2023-04-20T17:00:00.000000000Z,4907,33839.6,33866.8,33667.8,33768.5,33840.4,33867.6,33668.6,33769.5,33841.1,33868.3,33669.3,33770.5,,
4,US30_USD,2023-04-20T21:00:00.000000000Z,638,33756.4,33766.6,33726.1,33766.6,33757.6,33767.6,33727.1,33767.6,33758.8,33768.6,33728.1,33768.6,,
5,US30_USD,2023-04-21T01:00:00.000000000Z,501,33765.1,33768.1,33735.6,33737.6,33766.1,33769.1,33736.6,33738.6,33767.1,33770.1,33737.6,33739.6,,
6,US30_USD,2023-04-21T05:00:00.000000000Z,1673,33739.6,33770.1,33674.6,33766.6,33740.6,33771.1,33675.6,33767.6,33741.6,33772.1,33676.6,33768.6,,
7,US30_USD,2023-04-21T09:00:00.000000000Z,1791,33764.6,33818.7,33705.4,33813.2,33765.6,33819.6,33706.6,33814.1,33766.6,33820.5,33707.8,33815.0,33767.9125,
8,US30_USD,2023-04-21T13:00:00.000000000Z,9313,33811.7,33850.9,33669.4,33752.8,33812.6,33851.6,33670.2,33753.6,33813.5,33852.4,33670.9,33754.3,33771.137500000004,
9,US30_USD,2023-04-21T17:00:00.000000000Z,3986,33750.8,33831.8,33730.3,33793.3,33751.6,33832.6,33731.0,33795.0,33752.3,33833.3,33731.8,33796.7,33780.6,
10,US30_USD,2023-04-23T21:00:00.000000000Z,638,33778.3,33780.5,33719.5,33735.5,33780.5,33782.0,33720.5,33736.5,33782.7,33784.7,33721.5,33737.5,33767.8125,
11,US30_USD,2023-04-24T01:00:00.000000000Z,443,33732.5,33743.5,33692.0,33695.5,33733.5,33744.5,33693.0,33696.5,33734.5,33745.5,33694.0,33697.5,33758.6875,
12,US30_USD,2023-04-24T05:00:00.000000000Z,1400,33697.0,33722.5,33641.5,33709.5,33698.0,33723.5,33642.5,33710.5,33699.0,33724.5,33643.5,33711.5,33751.55,
13,US30_USD,2023-04-24T09:00:00.000000000Z,1184,33711.0,33797.5,33706.0,33780.6,33712.0,33798.5,33707.0,33781.5,33713.0,33799.7,33708.0,33782.4,33756.9125,
14,US30_USD,2023-04-24T13:00:00.000000000Z,5975,33778.1,33888.8,33720.8,33817.8,33779.0,33889.6,33721.6,33818.6,33779.9,33890.3,33722.3,33819.3,33763.2875,
