,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USB10Y_USD,2023-07-11T01:00:00.000000000Z,36,110.629,110.644,110.598,110.629,110.650,110.657,110.611,110.642,110.670,110.670,110.624,110.655,,
1,USB10Y_USD,2023-07-11T02:00:00.000000000Z,33,110.614,110.707,110.614,110.692,110.627,110.720,110.627,110.705,110.640,110.733,110.640,110.718,,
2,USB10Y_USD,2023-07-11T03:00:00.000000000Z,67,110.692,110.754,110.692,110.707,110.712,110.767,110.705,110.720,110.733,110.780,110.718,110.733,,
3,USB10Y_USD,2023-07-11T04:00:00.000000000Z,32,110.692,110.754,110.692,110.708,110.705,110.767,110.705,110.721,110.718,110.780,110.718,110.734,,
4,USB10Y_USD,2023-07-11T05:00:00.000000000Z,51,110.692,110.848,110.692,110.833,110.705,110.861,110.705,110.854,110.718,110.874,110.718,110.874,,
5,USB10Y_USD,2023-07-11T06:00:00.000000000Z,316,110.817,110.911,110.755,110.864,110.838,110.924,110.768,110.877,110.858,110.937,110.781,110.890,,
6,USB10Y_USD,2023-07-11T07:00:00.000000000Z,234,110.848,110.895,110.755,110.864,110.861,110.908,110.768,110.877,110.874,110.921,110.781,110.890,,
7,USB10Y_USD,2023-07-11T08:00:00.000000000Z,160,110.849,110.895,110.818,110.864,110.870,110.908,110.831,110.877,110.890,110.921,110.844,110.890,110.784125,
8,USB10Y_USD,2023-07-11T09:00:00.000000000Z,177,110.880,110.974,110.849,110.958,110.893,110.987,110.862,110.971,110.906,111.000,110.875,110.984,110.82525000000001,
9,USB10Y_USD,2023-07-11T10:00:00.000000000Z,113,110.943,110.958,110.865,110.865,110.964,110.971,110.878,110.878,110.984,110.984,110.891,110.891,110.846875,
10,USB10Y_USD,2023-07-11T11:00:00.000000000Z,110,110.850,110.896,110.819,110.850,110.863,110.909,110.832,110.863,110.876,110.922,110.845,110.876,110.86475,
11,USB10Y_USD,2023-07-11T12:00:00.000000000Z,339,110.865,110.881,110.663,110.772,110.878,110.894,110.676,110.785,110.891,110.907,110.689,110.798,110.87275,
12,USB10Y_USD,2023-07-11T13:00:00.000000000Z,396,110.757,110.819,110.586,110.633,110.770,110.832,110.599,110.646,110.783,110.845,110.612,110.659,110.84674999999999,
