,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_CAD,2023-07-11T18:00:00.000000000Z,2750,1.32487,1.32556,1.32412,1.32429,1.32496,1.32566,1.32421,1.32438,1.32505,1.32575,1.32430,1.32448,,
1,USD_CAD,2023-07-11T19:00:00.000000000Z,2215,1.32430,1.32432,1.32345,1.32346,1.32439,1.32442,1.32352,1.32356,1.32448,1.32451,1.32360,1.32365,,
2,USD_CAD,2023-07-11T20:00:00.000000000Z,1000,1.32348,1.32350,1.32294,1.32296,1.32356,1.32359,1.32305,1.32306,1.32365,1.32369,1.32315,1.32317,,
3,USD_CAD,2023-07-11T21:00:00.000000000Z,145,1.32290,1.32326,1.32290,1.32301,1.32310,1.32338,1.32307,1.32318,1.32330,1.32349,1.32321,1.32334,,
4,USD_CAD,2023-07-11T22:00:00.000000000Z,582,1.32313,1.32325,1.32246,1.32256,1.32324,1.32334,1.32256,1.32264,1.32334,1.32346,1.32264,1.32272,,
5,USD_CAD,2023-07-11T23:00:00.000000000Z,1047,1.32256,1.32295,1.32232,1.32285,1.32264,1.32304,1.32242,1.32296,1.32273,1.32312,1.32251,1.32306,,
6,USD_CAD,2023-07-12T00:00:00.000000000Z,2624,1.32284,1.32303,1.32147,1.32179,1.32296,1.32314,1.32156,1.32189,1.32307,1.32324,1.32165,1.32199,,
7,USD_CAD,2023-07-12T01:00:00.000000000Z,3801,1.32180,1.32186,1.32072,1.32094,1.32190,1.32195,1.32080,1.32102,1.32199,1.32205,1.32088,1.32111,1.32283625,
8,USD_CAD,2023-07-12T02:00:00.000000000Z,3672,1.32093,1.32139,1.31991,1.32025,1.32102,1.32147,1.32000,1.32034,1.32111,1.32155,1.32008,1.32043,1.32233125,
9,USD_CAD,2023-07-12T03:00:00.000000000Z,2032,1.32026,1.32078,1.32025,1.32061,1.32034,1.32088,1.32034,1.32070,1.32043,1.32099,1.32043,1.32080,1.32197375,
10,USD_CAD,2023-07-12T04:00:00.000000000Z,1688,1.32061,1.32074,1.32024,1.32043,1.32070,1.32082,1.32034,1.32052,1.32079,1.32091,1.32042,1.32060,1.32165625,
11,USD_CAD,2023-07-12T05:00:00.000000000Z,2315,1.32043,1.32159,1.32032,1.32141,1.32052,1.32168,1.32042,1.32152,1.32061,1.32179,1.32050,1.32162,1.32144875,
12,USD_CAD,2023-07-12T06:00:00.000000000Z,3487,1.32140,1.32156,1.32028,1.32152,1.32151,1.32164,1.32038,1.32160,1.32162,1.32173,1.32049,1.32167,1.3213187499999999,
13,USD_CAD,2023-07-12T07:00:00.000000000Z,4469,1.32152,1.32269,1.32129,1.32173,1.32160,1.32280,1.32139,1.32182,1.32169,1.32291,1.32149,1.32190,1.32117625,
14,USD_CAD,2023-07-12T08:00:00.000000000Z,2881,1.32174,1.32218,1.32074,1.32108,1.32182,1.32226,1.32084,1.32118,1.32189,1.32236,1.32093,1.32127,1.3210875,
15,USD_CAD,2023-07-12T09:00:00.000000000Z,2381,1.32108,1.32137,1.32058,1.32062,1.32118,1.32146,1.32067,1.32071,1.32128,1.32155,1.32075,1.32080,1.32104875,
16,USD_CAD,2023-07-12T10:00:00.000000000Z,2270,1.32063,1.32190,1.32053,1.32141,1.32072,1.32198,1.32063,1.32151,1.32080,1.32207,1.32073,1.32161,1.3211950000000001,
17,USD_CAD,2023-07-12T11:00:00.000000000Z,3279,1.32140,1.32207,1.32107,1.32198,1.32150,1.32216,1.32117,1.32208,1.32161,1.32225,1.32127,1.32217,1.3213675,
18,USD_CAD,2023-07-12T12:00:00.000000000Z,9598,1.32199,1.32321,1.31957,1.32217,1.32208,1.32328,1.31966,1.32224,1.32217,1.32336,1.31973,1.32232,1.3215825,
19,USD_CAD,2023-07-12T13:00:00.000000000Z,9439,1.32215,1.32333,1.31818,1.31879,1.32222,1.32342,1.31826,1.31896,1.32230,1.32351,1.31833,1.31913,1.3212625,
20,USD_CAD,2023-07-12T14:00:00.000000000Z,10731,1.31879,1.31882,1.31428,1.31583,1.31896,1.31899,1.31436,1.31590,1.31914,1.31916,1.31445,1.31598,1.3205500000000001,
21,USD_CAD,2023-07-12T15:00:00.000000000Z,7170,1.31580,1.31941,1.31560,1.31793,1.31588,1.31950,1.31568,1.31802,1.31596,1.31960,1.31577,1.31812,1.3200749999999999,
22,USD_CAD,2023-07-12T16:00:00.000000000Z,5929,1.31792,1.31905,1.31727,1.31880,1.31802,1.31914,1.31736,1.31888,1.31812,1.31923,1.31746,1.31896,1.3197875,
23,USD_CAD,2023-07-12T17:00:00.000000000Z,3807,1.31879,1.31920,1.31809,1.31885,1.31888,1.31928,1.31818,1.31894,1.31897,1.31936,1.31826,1.31904,1.31956625,
24,USD_CAD,2023-07-12T18:00:00.000000000Z,4019,1.31884,1.31925,1.31823,1.31862,1.31894,1.31932,1.31833,1.31870,1.31904,1.31941,1.31843,1.31879,1.319215,
25,USD_CAD,2023-07-12T19:00:00.000000000Z,3139,1.31863,1.31987,1.31830,1.31831,1.31871,1.31995,1.31838,1.31841,1.31879,1.32003,1.31846,1.31851,1.31875625,
26,USD_CAD,2023-07-12T20:00:00.000000000Z,1253,1.31830,1.31867,1.31830,1.31845,1.31840,1.31876,1.31840,1.31856,1.31851,1.31885,1.31850,1.31866,1.31829625,
27,USD_CAD,2023-07-12T21:00:00.000000000Z,765,1.31780,1.31883,1.31718,1.31850,1.31871,1.31911,1.31786,1.31866,1.31962,1.31962,1.31821,1.31881,1.31825875,
28,USD_CAD,2023-07-12T22:00:00.000000000Z,853,1.31850,1.31869,1.31826,1.31867,1.31864,1.31880,1.31836,1.31877,1.31879,1.31890,1.31845,1.31887,1.3186175,
29,USD_CAD,2023-07-12T23:00:00.000000000Z,957,1.31867,1.31869,1.31822,1.31828,1.31878,1.31880,1.31832,1.31838,1.31888,1.31892,1.31842,1.31849,1.3186625,
30,USD_CAD,2023-07-13T00:00:00.000000000Z,3173,1.31829,1.31863,1.31778,1.31857,1.31840,1.31875,1.31787,1.31866,1.31851,1.31887,1.31796,1.31876,1.318635,
31,USD_CAD,2023-07-13T01:00:00.000000000Z,4112,1.31859,1.31941,1.31807,1.31878,1.31869,1.31950,1.31818,1.31886,1.31879,1.31960,1.31829,1.31895,1.318625,
32,USD_CAD,2023-07-13T02:00:00.000000000Z,3559,1.31878,1.31929,1.31808,1.31817,1.31886,1.31938,1.31817,1.31826,1.31894,1.31948,1.31826,1.31834,1.31857,
33,USD_CAD,2023-07-13T03:00:00.000000000Z,2402,1.31819,1.31828,1.31736,1.31764,1.31827,1.31836,1.31746,1.31772,1.31835,1.31845,1.31755,1.31779,1.31848375,
34,USD_CAD,2023-07-13T04:00:00.000000000Z,2086,1.31762,1.31777,1.31656,1.31761,1.31770,1.31784,1.31664,1.31770,1.31779,1.31794,1.31673,1.31778,1.31837625,
35,USD_CAD,2023-07-13T05:00:00.000000000Z,4073,1.31762,1.31848,1.31700,1.31843,1.31770,1.31859,1.31710,1.31854,1.31778,1.31870,1.31720,1.31864,1.3183612500000002,
36,USD_CAD,2023-07-13T06:00:00.000000000Z,5142,1.31845,1.31853,1.31583,1.31589,1.31856,1.31862,1.31592,1.31597,1.31868,1.31873,1.31600,1.31605,1.31801125,
37,USD_CAD,2023-07-13T07:00:00.000000000Z,5598,1.31590,1.31627,1.31517,1.31547,1.31598,1.31636,1.31525,1.31556,1.31607,1.31646,1.31533,1.31566,1.31765875,
38,USD_CAD,2023-07-13T08:00:00.000000000Z,4513,1.31546,1.31627,1.31537,1.31596,1.31555,1.31635,1.31546,1.31605,1.31564,1.31643,1.31556,1.31614,1.3173325,
39,USD_CAD,2023-07-13T09:00:00.000000000Z,4156,1.31595,1.31649,1.31548,1.31569,1.31604,1.31658,1.31556,1.31578,1.31614,1.31668,1.31565,1.31587,1.3169475,
40,USD_CAD,2023-07-13T10:00:00.000000000Z,3626,1.31568,1.31688,1.31541,1.31544,1.31578,1.31696,1.31551,1.31554,1.31587,1.31706,1.31561,1.31563,1.3166075,
41,USD_CAD,2023-07-13T11:00:00.000000000Z,4311,1.31541,1.31577,1.31493,1.31536,1.31552,1.31585,1.31502,1.31546,1.31562,1.31594,1.31511,1.31555,1.316325,
42,USD_CAD,2023-07-13T12:00:00.000000000Z,8696,1.31533,1.31746,1.31519,1.31580,1.31542,1.31754,1.31528,1.31590,1.31551,1.31763,1.31536,1.31600,1.3161,
43,USD_CAD,2023-07-13T13:00:00.000000000Z,8091,1.31582,1.31746,1.31243,1.31271,1.31591,1.31755,1.31250,1.31280,1.31600,1.31765,1.31258,1.31289,1.3153825000000001,
44,USD_CAD,2023-07-13T14:00:00.000000000Z,7422,1.31270,1.31435,1.31060,1.31106,1.31280,1.31444,1.31068,1.31114,1.31289,1.31453,1.31076,1.31121,1.31477875,
45,USD_CAD,2023-07-13T15:00:00.000000000Z,4883,1.31104,1.31329,1.31096,1.31275,1.31112,1.31338,1.31104,1.31283,1.31121,1.31346,1.31112,1.31291,1.3144375,
46,USD_CAD,2023-07-13T16:00:00.000000000Z,4164,1.31275,1.31294,1.31154,1.31185,1.31282,1.31303,1.31164,1.31194,1.31290,1.31312,1.31172,1.31202,1.31392375,
47,USD_CAD,2023-07-13T17:00:00.000000000Z,3157,1.31184,1.31263,1.31096,1.31111,1.31193,1.31272,1.31104,1.31118,1.31202,1.31282,1.31112,1.31126,1.31334875,
48,USD_CAD,2023-07-13T18:00:00.000000000Z,3457,1.31114,1.31153,1.31027,1.31063,1.31123,1.31161,1.31036,1.31072,1.31132,1.31170,1.31044,1.31081,1.31274625,
49,USD_CAD,2023-07-13T19:00:00.000000000Z,3440,1.31063,1.31112,1.31042,1.31104,1.31072,1.31120,1.31050,1.31113,1.31080,1.31130,1.31059,1.31122,1.312205,
50,USD_CAD,2023-07-13T20:00:00.000000000Z,1165,1.31104,1.31120,1.31068,1.31085,1.31112,1.31129,1.31078,1.31096,1.31121,1.31139,1.31087,1.31107,1.3115875,
51,USD_CAD,2023-07-13T21:00:00.000000000Z,459,1.31060,1.31140,1.31060,1.31124,1.31148,1.31170,1.31088,1.31132,1.31236,1.31270,1.31109,1.31140,1.3114025,
52,USD_CAD,2023-07-13T22:00:00.000000000Z,1221,1.31105,1.31110,1.31067,1.31095,1.31124,1.31126,1.31078,1.31103,1.31142,1.31142,1.31088,1.31111,1.3113887499999999,
53,USD_CAD,2023-07-13T23:00:00.000000000Z,1603,1.31099,1.31133,1.31078,1.31123,1.31106,1.31144,1.31089,1.31132,1.31114,1.31154,1.31100,1.31141,1.3112,
54,USD_CAD,2023-07-14T00:00:00.000000000Z,2977,1.31124,1.31147,1.31097,1.31124,1.31132,1.31154,1.31106,1.31133,1.31141,1.31164,1.31114,1.31142,1.3111237500000001,
55,USD_CAD,2023-07-14T01:00:00.000000000Z,4375,1.31124,1.31149,1.31030,1.31034,1.31134,1.31158,1.31040,1.31044,1.31143,1.31168,1.31048,1.31053,1.31103125,
56,USD_CAD,2023-07-14T02:00:00.000000000Z,2498,1.31034,1.31047,1.30962,1.30973,1.31044,1.31056,1.30972,1.30983,1.31054,1.31065,1.30982,1.30993,1.31092,
57,USD_CAD,2023-07-14T03:00:00.000000000Z,3160,1.30972,1.30979,1.30918,1.30927,1.30982,1.30990,1.30928,1.30938,1.30991,1.31000,1.30937,1.30949,1.31070125,
58,USD_CAD,2023-07-14T04:00:00.000000000Z,2166,1.30929,1.31003,1.30929,1.30983,1.30940,1.31012,1.30940,1.30992,1.30950,1.31023,1.30950,1.31002,1.31057125,
59,USD_CAD,2023-07-14T05:00:00.000000000Z,3642,1.30983,1.31094,1.30982,1.31011,1.30993,1.31104,1.30990,1.31020,1.31003,1.31113,1.30997,1.31030,1.31043125,
60,USD_CAD,2023-07-14T06:00:00.000000000Z,3972,1.31007,1.31380,1.30987,1.31352,1.31018,1.31388,1.30996,1.31360,1.31028,1.31397,1.31004,1.31369,1.3107525,
61,USD_CAD,2023-07-14T07:00:00.000000000Z,4916,1.31350,1.31351,1.31138,1.31138,1.31359,1.31360,1.31148,1.31148,1.31368,1.31369,1.31157,1.31158,1.3107725000000001,
62,USD_CAD,2023-07-14T08:00:00.000000000Z,2972,1.31135,1.31208,1.31095,1.31189,1.31144,1.31218,1.31104,1.31198,1.31154,1.31227,1.31113,1.31206,1.31085375,
63,USD_CAD,2023-07-14T09:00:00.000000000Z,3475,1.31189,1.31207,1.31056,1.31167,1.31197,1.31217,1.31064,1.31176,1.31205,1.31227,1.31073,1.31184,1.31101875,1.3168028125
64,USD_CAD,2023-07-14T10:00:00.000000000Z,3560,1.31165,1.31261,1.31132,1.31145,1.31174,1.31269,1.31141,1.31154,1.31183,1.31277,1.31149,1.31164,1.3112325,1.3166021875
65,USD_CAD,2023-07-14T11:00:00.000000000Z,2912,1.31143,1.31237,1.31095,1.31209,1.31152,1.31245,1.31104,1.31218,1.31161,1.31255,1.31113,1.31226,1.3115825,1.316424375
66,USD_CAD,2023-07-14T12:00:00.000000000Z,4290,1.31209,1.31285,1.31127,1.31161,1.31218,1.31294,1.31136,1.31170,1.31227,1.31304,1.31144,1.31179,1.311805,1.316246875
67,USD_CAD,2023-07-14T13:00:00.000000000Z,5474,1.31161,1.31444,1.31142,1.31344,1.31170,1.31454,1.31152,1.31356,1.31178,1.31464,1.31160,1.31367,1.312225,1.3160965625
68,USD_CAD,2023-07-14T14:00:00.000000000Z,12107,1.31356,1.31880,1.31356,1.31712,1.31366,1.31888,1.31366,1.31722,1.31375,1.31898,1.31375,1.31731,1.3126775,1.316011875
69,USD_CAD,2023-07-14T15:00:00.000000000Z,5789,1.31711,1.32048,1.31684,1.32039,1.31721,1.32058,1.31694,1.32048,1.31731,1.32067,1.31702,1.32056,1.3138025,1.315973125
70,USD_CAD,2023-07-14T16:00:00.000000000Z,4859,1.32041,1.32196,1.31993,1.32152,1.32049,1.32205,1.32002,1.32161,1.32057,1.32214,1.32010,1.32170,1.31500625,1.3159687500000001
71,USD_CAD,2023-07-14T17:00:00.000000000Z,3464,1.32151,1.32193,1.32096,1.32119,1.32161,1.32202,1.32104,1.32128,1.32171,1.32211,1.32113,1.32136,1.31619625,1.3159728125
72,USD_CAD,2023-07-14T18:00:00.000000000Z,3014,1.32118,1.32120,1.32028,1.32094,1.32127,1.32128,1.32036,1.32102,1.32136,1.32137,1.32045,1.32111,1.31738125,1.3159834375
73,USD_CAD,2023-07-14T19:00:00.000000000Z,2043,1.32093,1.32258,1.32090,1.32232,1.32102,1.32268,1.32098,1.32240,1.32111,1.32277,1.32106,1.32248,1.31865875,1.31601
74,USD_CAD,2023-07-14T20:00:00.000000000Z,1218,1.32234,1.32260,1.32129,1.32132,1.32242,1.32269,1.32164,1.32170,1.32251,1.32278,1.32185,1.32209,1.31990875,1.3160284375
75,USD_CAD,2023-07-16T21:00:00.000000000Z,194,1.32067,1.32198,1.32062,1.32197,1.32167,1.32228,1.32152,1.32226,1.32267,1.32273,1.32220,1.32256,1.32099625,1.31604
76,USD_CAD,2023-07-16T22:00:00.000000000Z,763,1.32213,1.32297,1.32206,1.32289,1.32239,1.32306,1.32230,1.32297,1.32265,1.32316,1.32243,1.32305,1.321715,1.31606140625
77,USD_CAD,2023-07-16T23:00:00.000000000Z,1351,1.32288,1.32313,1.32243,1.32261,1.32296,1.32324,1.32254,1.32270,1.32303,1.32334,1.32265,1.32280,1.3219925000000001,1.31607515625
78,USD_CAD,2023-07-17T00:00:00.000000000Z,2255,1.32261,1.32288,1.32205,1.32237,1.32271,1.32296,1.32214,1.32246,1.32281,1.32304,1.32223,1.32254,1.32209875,1.31609515625
79,USD_CAD,2023-07-17T01:00:00.000000000Z,3404,1.32237,1.32286,1.32189,1.32283,1.32245,1.32296,1.32198,1.32294,1.32253,1.32306,1.32208,1.32306,1.32230625,1.31613
80,USD_CAD,2023-07-17T02:00:00.000000000Z,2731,1.32294,1.32316,1.32213,1.32244,1.32304,1.32325,1.32222,1.32254,1.32313,1.32334,1.32230,1.32264,1.32249625,1.31614609375
81,USD_CAD,2023-07-17T03:00:00.000000000Z,2717,1.32244,1.32252,1.32214,1.32222,1.32254,1.32260,1.32224,1.32231,1.32263,1.32269,1.32233,1.32240,1.322485,1.3161496875
82,USD_CAD,2023-07-17T04:00:00.000000000Z,2090,1.32222,1.32234,1.32185,1.32189,1.32230,1.32242,1.32195,1.32199,1.32239,1.32249,1.32203,1.32209,1.32252125,1.31614578125
83,USD_CAD,2023-07-17T05:00:00.000000000Z,2384,1.32189,1.32233,1.32172,1.32219,1.32198,1.32242,1.32182,1.32227,1.32208,1.32250,1.32191,1.32235,1.3225225,1.3161975000000001
84,USD_CAD,2023-07-17T06:00:00.000000000Z,3290,1.32219,1.32247,1.32118,1.32121,1.32228,1.32254,1.32128,1.32130,1.32236,1.32262,1.32137,1.32140,1.3223137500000002,1.316281875
85,USD_CAD,2023-07-17T07:00:00.000000000Z,3934,1.32119,1.32232,1.32108,1.32199,1.32129,1.32242,1.32116,1.32208,1.32139,1.32251,1.32125,1.32218,1.32223625,1.3163453125
86,USD_CAD,2023-07-17T08:00:00.000000000Z,2745,1.32200,1.32237,1.32167,1.32196,1.32209,1.32246,1.32176,1.32206,1.32218,1.32256,1.32186,1.32215,1.32218625,1.316395
87,USD_CAD,2023-07-17T09:00:00.000000000Z,4705,1.32197,1.32220,1.32038,1.32199,1.32207,1.32228,1.32048,1.32208,1.32217,1.32237,1.32057,1.32218,1.3220787500000002,1.3164440625
88,USD_CAD,2023-07-17T10:00:00.000000000Z,3258,1.32199,1.32234,1.32184,1.32230,1.32208,1.32242,1.32193,1.32240,1.32216,1.32252,1.32202,1.32249,1.32206125,1.3165018750000002
89,USD_CAD,2023-07-17T11:00:00.000000000Z,2634,1.32229,1.32229,1.32136,1.32173,1.32238,1.32239,1.32146,1.32182,1.32246,1.32249,1.32156,1.32191,1.3219999999999998,1.3165551562500002
90,USD_CAD,2023-07-17T12:00:00.000000000Z,5603,1.32172,1.32214,1.32082,1.32094,1.32182,1.32224,1.32092,1.32104,1.32191,1.32233,1.32101,1.32115,1.32188125,1.31659390625
91,USD_CAD,2023-07-17T13:00:00.000000000Z,7621,1.32094,1.32152,1.31879,1.31899,1.32104,1.32160,1.31888,1.31908,1.32114,1.32169,1.31898,1.31916,1.3214825,1.3166004687500001
92,USD_CAD,2023-07-17T14:00:00.000000000Z,6740,1.31899,1.31957,1.31640,1.31666,1.31906,1.31966,1.31648,1.31676,1.31914,1.31974,1.31656,1.31685,1.320915,1.3165690625000002
93,USD_CAD,2023-07-17T15:00:00.000000000Z,5229,1.31666,1.31751,1.31599,1.31727,1.31675,1.31760,1.31608,1.31737,1.31684,1.31770,1.31618,1.31747,1.32032625,1.31655328125
94,USD_CAD,2023-07-17T16:00:00.000000000Z,3165,1.31728,1.31780,1.31674,1.31754,1.31736,1.31789,1.31684,1.31763,1.31743,1.31798,1.31694,1.31772,1.3197725,1.3165371875
95,USD_CAD,2023-07-17T17:00:00.000000000Z,3276,1.31754,1.31895,1.31747,1.31862,1.31764,1.31905,1.31756,1.31872,1.31773,1.31915,1.31766,1.31883,1.3193525000000002,1.316535
96,USD_CAD,2023-07-17T18:00:00.000000000Z,2938,1.31863,1.31900,1.31816,1.31818,1.31873,1.31909,1.31824,1.31826,1.31883,1.31919,1.31832,1.31834,1.318835,1.316535
97,USD_CAD,2023-07-17T19:00:00.000000000Z,1904,1.31822,1.31910,1.31801,1.31900,1.31830,1.31918,1.31810,1.31910,1.31837,1.31928,1.31818,1.31920,1.318495,1.3165565625
98,USD_CAD,2023-07-17T20:00:00.000000000Z,1463,1.31899,1.32022,1.31894,1.31987,1.31910,1.32032,1.31903,1.31994,1.31921,1.32041,1.31912,1.32002,1.3183575,1.3165915625
99,USD_CAD,2023-07-17T21:00:00.000000000Z,397,1.31921,1.31968,1.31849,1.31953,1.31970,1.31993,1.31914,1.31977,1.32020,1.32057,1.31965,1.32001,1.3184437500000001,1.31661078125
100,USD_CAD,2023-07-17T22:00:00.000000000Z,783,1.31955,1.31985,1.31941,1.31961,1.31978,1.31996,1.31950,1.31970,1.32001,1.32006,1.31959,1.31979,1.31881125,1.3166690625
101,USD_CAD,2023-07-17T23:00:00.000000000Z,1010,1.31961,1.32016,1.31950,1.32010,1.31970,1.32024,1.31958,1.32018,1.31978,1.32033,1.31967,1.32027,1.3191625,1.31674125
102,USD_CAD,2023-07-18T00:00:00.000000000Z,2601,1.32012,1.32038,1.31936,1.31970,1.32020,1.32048,1.31946,1.31980,1.32028,1.32057,1.31957,1.31990,1.31943375,1.31679984375
103,USD_CAD,2023-07-18T01:00:00.000000000Z,5952,1.31969,1.32014,1.31865,1.31972,1.31980,1.32022,1.31876,1.31982,1.31990,1.32029,1.31885,1.31992,1.3195712499999999,1.31686296875
104,USD_CAD,2023-07-18T02:00:00.000000000Z,4296,1.31969,1.31989,1.31871,1.31876,1.31980,1.31999,1.31881,1.31885,1.31990,1.32009,1.31891,1.31894,1.319645,1.3169146875
105,USD_CAD,2023-07-18T03:00:00.000000000Z,2350,1.31876,1.31932,1.31852,1.31852,1.31884,1.31941,1.31862,1.31863,1.31893,1.31950,1.31871,1.31874,1.31958625,1.31696421875
106,USD_CAD,2023-07-18T04:00:00.000000000Z,2195,1.31852,1.31903,1.31837,1.31895,1.31864,1.31912,1.31847,1.31906,1.31875,1.31923,1.31856,1.31918,1.31947625,1.31701359375
107,USD_CAD,2023-07-18T05:00:00.000000000Z,3390,1.31896,1.31956,1.31835,1.31930,1.31906,1.31966,1.31845,1.31940,1.31917,1.31976,1.31855,1.31951,1.3194299999999999,1.31711671875
108,USD_CAD,2023-07-18T06:00:00.000000000Z,3795,1.31931,1.32087,1.31923,1.31958,1.31941,1.32095,1.31932,1.31968,1.31951,1.32103,1.31941,1.31979,1.3194275,1.31725015625
109,USD_CAD,2023-07-18T07:00:00.000000000Z,5913,1.31958,1.32080,1.31908,1.32045,1.31969,1.32090,1.31918,1.32056,1.31980,1.32099,1.31929,1.32066,1.319475,1.3173709375
110,USD_CAD,2023-07-18T08:00:00.000000000Z,4990,1.32046,1.32123,1.31958,1.32118,1.32056,1.32132,1.31967,1.32127,1.32066,1.32142,1.31976,1.32136,1.31965875,1.3175167187499999
111,USD_CAD,2023-07-18T09:00:00.000000000Z,2773,1.32117,1.32117,1.31934,1.31937,1.32126,1.32126,1.31944,1.31946,1.32136,1.32136,1.31953,1.31956,1.31961375,1.31764609375
112,USD_CAD,2023-07-18T10:00:00.000000000Z,3021,1.31935,1.32055,1.31910,1.32021,1.31946,1.32064,1.31919,1.32030,1.31956,1.32073,1.31928,1.32039,1.3197949999999998,1.3177957812499999
113,USD_CAD,2023-07-18T11:00:00.000000000Z,3882,1.32021,1.32125,1.31995,1.32047,1.32030,1.32134,1.32005,1.32056,1.32040,1.32144,1.32015,1.32064,1.32003625,1.317943125
114,USD_CAD,2023-07-18T12:00:00.000000000Z,9682,1.32048,1.32253,1.31844,1.32196,1.32056,1.32262,1.31852,1.32206,1.32064,1.32271,1.31859,1.32217,1.32041125,1.3181165625
115,USD_CAD,2023-07-18T13:00:00.000000000Z,12813,1.32196,1.32424,1.32107,1.32130,1.32206,1.32434,1.32116,1.32138,1.32216,1.32445,1.32126,1.32147,1.32065875,1.3182737500000001
116,USD_CAD,2023-07-18T14:00:00.000000000Z,10201,1.32132,1.32145,1.31663,1.31756,1.32140,1.32154,1.31673,1.31765,1.32149,1.32163,1.31683,1.31774,1.320405,1.3183771874999999
117,USD_CAD,2023-07-18T15:00:00.000000000Z,6016,1.31757,1.31868,1.31666,1.31765,1.31765,1.31877,1.31674,1.31773,1.31773,1.31886,1.31681,1.31781,1.32005125,1.3184773437500001
118,USD_CAD,2023-07-18T16:00:00.000000000Z,4145,1.31766,1.31881,1.31752,1.31870,1.31774,1.31890,1.31761,1.31879,1.31783,1.31899,1.31769,1.31888,1.3197412499999999,1.31859390625
119,USD_CAD,2023-07-18T17:00:00.000000000Z,3738,1.31869,1.31933,1.31791,1.31855,1.31878,1.31943,1.31798,1.31864,1.31888,1.31953,1.31806,1.31873,1.31963875,1.31872203125
120,USD_CAD,2023-07-18T18:00:00.000000000Z,3419,1.31855,1.31870,1.31680,1.31739,1.31864,1.31878,1.31688,1.31750,1.31874,1.31885,1.31696,1.31760,1.3192887500000001,1.318841875
121,USD_CAD,2023-07-18T19:00:00.000000000Z,3239,1.31740,1.31775,1.31680,1.31685,1.31750,1.31784,1.31690,1.31695,1.31759,1.31794,1.31699,1.31705,1.3188375,1.31896015625
122,USD_CAD,2023-07-18T20:00:00.000000000Z,1116,1.31687,1.31728,1.31666,1.31676,1.31696,1.31736,1.31677,1.31684,1.31705,1.31745,1.31687,1.31693,1.318185,1.31906828125
