,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_CHF,2023-07-11T18:00:00.000000000Z,738,0.87975,0.88014,0.87959,0.87979,0.87982,0.88022,0.87966,0.87987,0.87989,0.88029,0.87974,0.87995,,
1,USD_CHF,2023-07-11T19:00:00.000000000Z,771,0.87980,0.88000,0.87957,0.87967,0.87988,0.88008,0.87966,0.87975,0.87995,0.88016,0.87974,0.87983,,
2,USD_CHF,2023-07-11T20:00:00.000000000Z,534,0.87968,0.87971,0.87925,0.87941,0.87976,0.87979,0.87935,0.87951,0.87983,0.87987,0.87945,0.87961,,
3,USD_CHF,2023-07-11T21:00:00.000000000Z,291,0.87919,0.87942,0.87882,0.87915,0.87952,0.87988,0.87934,0.87943,0.87984,0.88063,0.87969,0.87971,,
4,USD_CHF,2023-07-11T22:00:00.000000000Z,361,0.87918,0.87934,0.87889,0.87894,0.87947,0.87950,0.87896,0.87900,0.87976,0.87976,0.87902,0.87907,,
5,USD_CHF,2023-07-11T23:00:00.000000000Z,369,0.87893,0.87895,0.87857,0.87874,0.87900,0.87902,0.87864,0.87882,0.87907,0.87909,0.87872,0.87891,,
6,USD_CHF,2023-07-12T00:00:00.000000000Z,1883,0.87873,0.87892,0.87788,0.87829,0.87881,0.87900,0.87796,0.87837,0.87889,0.87907,0.87804,0.87845,,
7,USD_CHF,2023-07-12T01:00:00.000000000Z,1862,0.87829,0.87829,0.87739,0.87806,0.87838,0.87838,0.87748,0.87814,0.87846,0.87846,0.87757,0.87821,0.87911125,
8,USD_CHF,2023-07-12T02:00:00.000000000Z,1651,0.87802,0.87853,0.87762,0.87801,0.87810,0.87860,0.87768,0.87809,0.87819,0.87869,0.87775,0.87817,0.87888875,
9,USD_CHF,2023-07-12T03:00:00.000000000Z,940,0.87800,0.87844,0.87796,0.87827,0.87808,0.87851,0.87804,0.87836,0.87815,0.87858,0.87811,0.87844,0.878715,
10,USD_CHF,2023-07-12T04:00:00.000000000Z,925,0.87831,0.87840,0.87737,0.87744,0.87840,0.87848,0.87744,0.87752,0.87848,0.87855,0.87751,0.87759,0.87846625,
