,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_CNH,2023-07-11T18:00:00.000000000Z,3523,7.21644,7.21658,7.21460,7.21471,7.21704,7.21715,7.21515,7.21522,7.21763,7.21772,7.21566,7.21572,,
1,USD_CNH,2023-07-11T19:00:00.000000000Z,2900,7.21467,7.21474,7.21257,7.21296,7.21518,7.21524,7.21313,7.21346,7.21570,7.21580,7.21369,7.21397,,
2,USD_CNH,2023-07-11T20:00:00.000000000Z,2577,7.21289,7.21399,7.21172,7.21247,7.21343,7.21496,7.21222,7.21398,7.21397,7.21594,7.21273,7.21549,,
3,USD_CNH,2023-07-11T21:00:00.000000000Z,98,7.20839,7.21123,7.20800,7.21033,7.21140,7.21285,7.21115,7.21240,7.21441,7.21548,7.21391,7.21447,,
4,USD_CNH,2023-07-11T22:00:00.000000000Z,313,7.21048,7.21169,7.21004,7.21136,7.21249,7.21316,7.21176,7.21299,7.21450,7.21526,7.21306,7.21462,,
5,USD_CNH,2023-07-11T23:00:00.000000000Z,2408,7.21145,7.21224,7.20958,7.21027,7.21381,7.21540,7.21026,7.21092,7.21617,7.21891,7.21093,7.21156,,
6,USD_CNH,2023-07-12T00:00:00.000000000Z,7645,7.21032,7.21095,7.19924,7.20422,7.21094,7.21156,7.19988,7.20479,7.21156,7.21217,7.20050,7.20536,,
7,USD_CNH,2023-07-12T01:00:00.000000000Z,13961,7.20425,7.20475,7.18632,7.19146,7.20486,7.20530,7.18690,7.19211,7.20546,7.20590,7.18748,7.19276,7.20948375,
8,USD_CNH,2023-07-12T02:00:00.000000000Z,10036,7.19143,7.19671,7.18506,7.18900,7.19208,7.19722,7.18565,7.18955,7.19274,7.19772,7.18624,7.19010,7.206275,
9,USD_CNH,2023-07-12T03:00:00.000000000Z,7357,7.18897,7.19334,7.18688,7.19107,7.18954,7.19393,7.18744,7.19167,7.19010,7.19452,7.18800,7.19227,7.20355125,
10,USD_CNH,2023-07-12T04:00:00.000000000Z,5141,7.19107,7.19223,7.18822,7.18874,7.19168,7.19274,7.18882,7.18931,7.19228,7.19324,7.18941,7.18988,7.2004675,
11,USD_CNH,2023-07-12T05:00:00.000000000Z,8304,7.18875,7.19487,7.18811,7.19313,7.18931,7.19547,7.18869,7.19374,7.18987,7.19607,7.18927,7.19436,7.198135,
12,USD_CNH,2023-07-12T06:00:00.000000000Z,7446,7.19319,7.19620,7.18822,7.19569,7.19380,7.19674,7.18884,7.19626,7.19441,7.19730,7.18946,7.19682,7.19604375,
13,USD_CNH,2023-07-12T07:00:00.000000000Z,8501,7.19569,7.19782,7.19198,7.19291,7.19624,7.19836,7.19252,7.19350,7.19680,7.19898,7.19303,7.19410,7.19386625,
14,USD_CNH,2023-07-12T08:00:00.000000000Z,6221,7.19280,7.19521,7.19126,7.19441,7.19344,7.19582,7.19188,7.19498,7.19409,7.19643,7.19249,7.19555,7.192640000000001,
15,USD_CNH,2023-07-12T09:00:00.000000000Z,4330,7.19441,7.19536,7.19069,7.19143,7.19498,7.19598,7.19130,7.19203,7.19556,7.19661,7.19188,7.19263,7.19263,
16,USD_CNH,2023-07-12T10:00:00.000000000Z,3782,7.19140,7.19822,7.19132,7.19632,7.19202,7.19875,7.19193,7.19682,7.19263,7.19932,7.19254,7.19733,7.19353875,
17,USD_CNH,2023-07-12T11:00:00.000000000Z,6427,7.19632,7.19961,7.19464,7.19628,7.19684,7.20017,7.19524,7.19690,7.19735,7.20073,7.19584,7.19751,7.1941925,
18,USD_CNH,2023-07-12T12:00:00.000000000Z,16165,7.19631,7.19798,7.17528,7.18324,7.19691,7.19860,7.17603,7.18380,7.19751,7.19923,7.17670,7.18437,7.19350375,
19,USD_CNH,2023-07-12T13:00:00.000000000Z,17066,7.18315,7.18468,7.17387,7.17561,7.18372,7.18524,7.17438,7.17612,7.18429,7.18580,7.17488,7.17662,7.19130125,
20,USD_CNH,2023-07-12T14:00:00.000000000Z,13222,7.17563,7.17871,7.16408,7.16424,7.17614,7.17922,7.16458,7.16482,7.17664,7.17973,7.16509,7.16539,7.18737125,
21,USD_CNH,2023-07-12T15:00:00.000000000Z,7774,7.16423,7.17034,7.16382,7.16725,7.16481,7.17091,7.16439,7.16784,7.16539,7.17149,7.16496,7.16843,7.18416375,
22,USD_CNH,2023-07-12T16:00:00.000000000Z,6078,7.16722,7.16746,7.16130,7.16408,7.16782,7.16806,7.16180,7.16458,7.16842,7.16869,7.16231,7.16509,7.18036375,
23,USD_CNH,2023-07-12T17:00:00.000000000Z,5368,7.16411,7.16690,7.16217,7.16564,7.16462,7.16749,7.16276,7.16621,7.16512,7.16809,7.16327,7.16678,7.17713625,
24,USD_CNH,2023-07-12T18:00:00.000000000Z,4952,7.16555,7.16856,7.16464,7.16652,7.16616,7.16920,7.16520,7.16718,7.16678,7.16985,7.16576,7.16785,7.17343125,
25,USD_CNH,2023-07-12T19:00:00.000000000Z,5092,7.16646,7.16678,7.16431,7.16526,7.16713,7.16732,7.16496,7.16584,7.16780,7.16790,7.16561,7.16642,7.16954875,
26,USD_CNH,2023-07-12T20:00:00.000000000Z,1773,7.16526,7.16648,7.16395,7.16631,7.16590,7.16744,7.16454,7.16742,7.16653,7.16853,7.16508,7.16853,7.16750125,
27,USD_CNH,2023-07-12T21:00:00.000000000Z,70,7.16199,7.16385,7.16154,7.16375,7.16546,7.16634,7.16305,7.16628,7.16894,7.17041,7.16456,7.16881,7.166271249999999,
28,USD_CNH,2023-07-12T22:00:00.000000000Z,576,7.16377,7.16721,7.16302,7.16388,7.16634,7.16821,7.16492,7.16568,7.16892,7.16971,7.16672,7.16747,7.16637875,
29,USD_CNH,2023-07-12T23:00:00.000000000Z,3234,7.16389,7.16513,7.16300,7.16369,7.16568,7.16660,7.16390,7.16432,7.16747,7.16926,7.16454,7.16495,7.1659387500000005,
30,USD_CNH,2023-07-13T00:00:00.000000000Z,6118,7.16380,7.16862,7.15952,7.16824,7.16440,7.16918,7.16014,7.16882,7.16499,7.16977,7.16076,7.16941,7.16646875,
31,USD_CNH,2023-07-13T01:00:00.000000000Z,10732,7.16821,7.17369,7.16339,7.17073,7.16879,7.17430,7.16401,7.17131,7.16937,7.17493,7.16463,7.17189,7.16710625,
32,USD_CNH,2023-07-13T02:00:00.000000000Z,9406,7.17068,7.17970,7.17036,7.17325,7.17126,7.18028,7.17094,7.17386,7.17185,7.18087,7.17152,7.17447,7.16794125,
33,USD_CNH,2023-07-13T03:00:00.000000000Z,6596,7.17325,7.17709,7.16880,7.16945,7.17387,7.17764,7.16937,7.16996,7.17449,7.17820,7.16990,7.17046,7.16845625,
34,USD_CNH,2023-07-13T04:00:00.000000000Z,4951,7.16940,7.17298,7.16703,7.17252,7.16990,7.17357,7.16761,7.17312,7.17041,7.17416,7.16819,7.17371,7.169168750000001,
35,USD_CNH,2023-07-13T05:00:00.000000000Z,9295,7.17256,7.18129,7.17230,7.18094,7.17316,7.18182,7.17285,7.18160,7.17375,7.18236,7.17340,7.18226,7.17108375,
36,USD_CNH,2023-07-13T06:00:00.000000000Z,9663,7.18079,7.18119,7.16698,7.16893,7.18145,7.18175,7.16757,7.16950,7.18211,7.18235,7.16816,7.17008,7.17156125,
37,USD_CNH,2023-07-13T07:00:00.000000000Z,8351,7.16901,7.17389,7.16236,7.16265,7.16957,7.17443,7.16290,7.16321,7.17013,7.17497,7.16342,7.16377,7.171422499999999,
38,USD_CNH,2023-07-13T08:00:00.000000000Z,6818,7.16270,7.16779,7.16143,7.16779,7.16324,7.16837,7.16204,7.16837,7.16378,7.16895,7.16266,7.16895,7.17136625,
39,USD_CNH,2023-07-13T09:00:00.000000000Z,5601,7.16781,7.17106,7.16417,7.16514,7.16838,7.17162,7.16480,7.16574,7.16895,7.17225,7.16544,7.16635,7.17067,
40,USD_CNH,2023-07-13T10:00:00.000000000Z,4911,7.16514,7.16935,7.16430,7.16725,7.16576,7.16994,7.16490,7.16779,7.16637,7.17054,7.16551,7.16833,7.16991125,
41,USD_CNH,2023-07-13T11:00:00.000000000Z,4297,7.16719,7.17161,7.16657,7.16989,7.16774,7.17218,7.16716,7.17050,7.16830,7.17280,7.16776,7.17111,7.16997875,
42,USD_CNH,2023-07-13T12:00:00.000000000Z,13724,7.16989,7.17689,7.16158,7.17221,7.17048,7.17746,7.16236,7.17276,7.17108,7.17804,7.16296,7.17332,7.16993375,
43,USD_CNH,2023-07-13T13:00:00.000000000Z,14002,7.17217,7.17217,7.15746,7.15868,7.17272,7.17272,7.15807,7.15926,7.17327,7.17327,7.15868,7.15985,7.16714125,
44,USD_CNH,2023-07-13T14:00:00.000000000Z,8654,7.15871,7.16081,7.14744,7.14764,7.15928,7.16148,7.14802,7.14816,7.15984,7.16216,7.14857,7.14867,7.16447375,
45,USD_CNH,2023-07-13T15:00:00.000000000Z,5372,7.14764,7.15515,7.14752,7.15349,7.14815,7.15566,7.14810,7.15407,7.14866,7.15616,7.14866,7.15465,7.163331250000001,
46,USD_CNH,2023-07-13T16:00:00.000000000Z,4206,7.15343,7.15428,7.14917,7.15102,7.15404,7.15487,7.14968,7.15159,7.15465,7.15550,7.15019,7.15216,7.16123375,
47,USD_CNH,2023-07-13T17:00:00.000000000Z,3360,7.15103,7.15479,7.14914,7.14924,7.15162,7.15536,7.14975,7.14986,7.15221,7.15595,7.15032,7.15048,7.15924875,
48,USD_CNH,2023-07-13T18:00:00.000000000Z,3585,7.14933,7.15155,7.14764,7.14873,7.14997,7.15210,7.14822,7.14934,7.15061,7.15266,7.14879,7.14995,7.1569424999999995,
49,USD_CNH,2023-07-13T19:00:00.000000000Z,2966,7.14876,7.14950,7.14751,7.14805,7.14936,7.15022,7.14802,7.14866,7.14996,7.15093,7.14853,7.14927,7.1542125,
50,USD_CNH,2023-07-13T20:00:00.000000000Z,1009,7.14810,7.14961,7.14763,7.14932,7.14868,7.15026,7.14821,7.15003,7.14926,7.15090,7.14879,7.15074,7.15137125,
51,USD_CNH,2023-07-13T21:00:00.000000000Z,50,7.15059,7.15059,7.14822,7.14847,7.15240,7.15240,7.15045,7.15045,7.15421,7.15465,7.15243,7.15243,7.15027,
