,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_CZK,2023-04-20T17:00:00.000000000Z,22431,21.42180,21.44798,21.39340,21.39502,21.42535,21.45190,21.39665,21.39975,21.42890,21.45660,21.39990,21.40448,,
1,USD_CZK,2023-04-20T21:00:00.000000000Z,4548,21.40530,21.41710,21.39136,21.39591,21.42190,21.43530,21.40065,21.40505,21.43850,21.45900,21.40800,21.41419,,
2,USD_CZK,2023-04-21T01:00:00.000000000Z,10978,21.39591,21.42204,21.38350,21.41955,21.40510,21.42865,21.39680,21.42535,21.41429,21.43660,21.40535,21.43115,,
3,USD_CZK,2023-04-21T05:00:00.000000000Z,17325,21.41951,21.52870,21.41137,21.48600,21.42530,21.53260,21.41450,21.48830,21.43109,21.57800,21.41659,21.49060,,
4,USD_CZK,2023-04-21T09:00:00.000000000Z,8722,21.48590,21.50050,21.39956,21.41610,21.48805,21.50320,21.40225,21.41825,21.49020,21.50600,21.40455,21.42040,,
5,USD_CZK,2023-04-21T13:00:00.000000000Z,28972,21.41570,21.50810,21.35615,21.40130,21.41805,21.51095,21.38420,21.40460,21.42040,21.51390,21.39050,21.40790,,
6,USD_CZK,2023-04-21T17:00:00.000000000Z,14709,21.40260,21.41550,21.36302,21.36710,21.40585,21.41920,21.37230,21.37545,21.40910,21.42390,21.37780,21.38380,,
7,USD_CZK,2023-04-23T21:00:00.000000000Z,5185,21.37530,21.39840,21.34776,21.34910,21.40030,21.40905,21.35455,21.35525,21.42530,21.43970,21.36080,21.36140,21.409,
8,USD_CZK,2023-04-24T01:00:00.000000000Z,12697,21.34868,21.37602,21.34300,21.37346,21.35515,21.38490,21.35210,21.38180,21.36162,21.39480,21.36120,21.39014,21.406756249999997,
9,USD_CZK,2023-04-24T05:00:00.000000000Z,17845,21.37345,21.41750,21.28750,21.28770,21.38180,21.42155,21.29000,21.29045,21.39015,21.42657,21.29250,21.29320,21.39243125,
10,USD_CZK,2023-04-24T09:00:00.000000000Z,12205,21.28460,21.32020,21.23670,21.27580,21.28800,21.32235,21.23955,21.27815,21.29140,21.32470,21.24230,21.28050,21.374031249999998,
