,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_DKK,2023-07-11T18:00:00.000000000Z,2693,6.76995,6.77566,6.76926,6.77542,6.77073,6.77640,6.77000,6.77613,6.77151,6.77715,6.77072,6.77684,,
1,USD_DKK,2023-07-11T19:00:00.000000000Z,2569,6.77534,6.77571,6.77039,6.77108,6.77606,6.77640,6.77110,6.77176,6.77679,6.77709,6.77181,6.77243,,
2,USD_DKK,2023-07-11T20:00:00.000000000Z,1248,6.77108,6.77141,6.76915,6.76915,6.77180,6.77218,6.77005,6.77008,6.77251,6.77301,6.77095,6.77100,,
3,USD_DKK,2023-07-11T21:00:00.000000000Z,734,6.76915,6.76980,6.76814,6.76825,6.77235,6.77235,6.76940,6.77009,6.77555,6.77555,6.77045,6.77193,,
4,USD_DKK,2023-07-11T22:00:00.000000000Z,1030,6.76790,6.76856,6.76510,6.76595,6.76988,6.77025,6.76705,6.76735,6.77185,6.77194,6.76855,6.76875,,
5,USD_DKK,2023-07-11T23:00:00.000000000Z,1227,6.76575,6.76686,6.76504,6.76611,6.76715,6.76810,6.76642,6.76697,6.76855,6.76957,6.76728,6.76783,,
6,USD_DKK,2023-07-12T00:00:00.000000000Z,3400,6.76611,6.76732,6.76130,6.76321,6.76698,6.76804,6.76210,6.76392,6.76786,6.76875,6.76275,6.76464,,
7,USD_DKK,2023-07-12T01:00:00.000000000Z,3651,6.76314,6.76337,6.75507,6.75705,6.76389,6.76408,6.75591,6.75782,6.76464,6.76485,6.75675,6.75860,6.768015,
8,USD_DKK,2023-07-12T02:00:00.000000000Z,3972,6.75705,6.75835,6.75305,6.75468,6.75780,6.75898,6.75375,6.75546,6.75856,6.75962,6.75445,6.75625,6.76543125,
9,USD_DKK,2023-07-12T03:00:00.000000000Z,2788,6.75467,6.75741,6.75458,6.75576,6.75549,6.75823,6.75532,6.75654,6.75631,6.75905,6.75605,6.75732,6.76352875,
10,USD_DKK,2023-07-12T04:00:00.000000000Z,2193,6.75576,6.75607,6.75152,6.75188,6.75650,6.75680,6.75224,6.75260,6.75725,6.75755,6.75295,6.75332,6.76134375,
