,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_HKD,2023-06-29T17:00:00.000000000Z,170,7.83821,7.83823,7.83778,7.83786,7.83836,7.83838,7.83797,7.83802,7.83851,7.83854,7.83814,7.83818,,
1,USD_HKD,2023-06-29T18:00:00.000000000Z,35,7.83783,7.83794,7.83778,7.83779,7.83802,7.83811,7.83794,7.83796,7.83821,7.83829,7.83809,7.83812,,
2,USD_HKD,2023-06-29T19:00:00.000000000Z,220,7.83778,7.83820,7.83776,7.83812,7.83794,7.83836,7.83792,7.83830,7.83810,7.83852,7.83809,7.83847,,
3,USD_HKD,2023-06-29T20:00:00.000000000Z,143,7.83810,7.83836,7.83803,7.83811,7.83828,7.83855,7.83824,7.83836,7.83846,7.83882,7.83844,7.83862,,
4,USD_HKD,2023-06-29T21:00:00.000000000Z,53,7.83822,7.83825,7.83781,7.83787,7.83840,7.83844,7.83798,7.83825,7.83858,7.83866,7.83816,7.83863,,
5,USD_HKD,2023-06-29T22:00:00.000000000Z,100,7.83805,7.83825,7.83793,7.83823,7.83822,7.83862,7.83822,7.83852,7.83840,7.83909,7.83840,7.83880,,
6,USD_HKD,2023-06-29T23:00:00.000000000Z,159,7.83823,7.83846,7.83806,7.83826,7.83850,7.83863,7.83841,7.83844,7.83878,7.83900,7.83859,7.83861,,
7,USD_HKD,2023-06-30T00:00:00.000000000Z,320,7.83828,7.83843,7.83629,7.83706,7.83844,7.83860,7.83649,7.83724,7.83861,7.83877,7.83665,7.83743,7.83813625,
8,USD_HKD,2023-06-30T01:00:00.000000000Z,1392,7.83706,7.83797,7.83604,7.83748,7.83724,7.83812,7.83622,7.83762,7.83741,7.83826,7.83640,7.83777,7.83808625,
9,USD_HKD,2023-06-30T02:00:00.000000000Z,662,7.83750,7.83750,7.83614,7.83623,7.83764,7.83767,7.83636,7.83648,7.83779,7.83785,7.83654,7.83673,7.83790125,
10,USD_HKD,2023-06-30T03:00:00.000000000Z,939,7.83622,7.83624,7.83370,7.83494,7.83648,7.83649,7.83397,7.83512,7.83674,7.83674,7.83421,7.83530,7.83750375,
11,USD_HKD,2023-06-30T04:00:00.000000000Z,85,7.83494,7.83542,7.83494,7.83523,7.83513,7.83558,7.83513,7.83540,7.83532,7.83576,7.83532,7.83556,7.83713375,
12,USD_HKD,2023-06-30T05:00:00.000000000Z,215,7.83523,7.83562,7.83521,7.83551,7.83538,7.83586,7.83538,7.83570,7.83554,7.83609,7.83554,7.83590,7.836815,
13,USD_HKD,2023-06-30T06:00:00.000000000Z,1189,7.83550,7.83678,7.83420,7.83476,7.83575,7.83695,7.83440,7.83500,7.83600,7.83713,7.83459,7.83523,7.836375,
14,USD_HKD,2023-06-30T07:00:00.000000000Z,623,7.83477,7.83600,7.83473,7.83533,7.83501,7.83618,7.83494,7.83552,7.83525,7.83637,7.83511,7.83572,7.83601,
15,USD_HKD,2023-06-30T08:00:00.000000000Z,1122,7.83533,7.83576,7.83385,7.83537,7.83552,7.83590,7.83404,7.83555,7.83570,7.83607,7.83423,7.83573,7.83579875,
16,USD_HKD,2023-06-30T09:00:00.000000000Z,1030,7.83537,7.83606,7.83471,7.83586,7.83554,7.83623,7.83493,7.83602,7.83571,7.83640,7.83513,7.83617,7.83559875,
17,USD_HKD,2023-06-30T10:00:00.000000000Z,449,7.83586,7.83605,7.83508,7.83547,7.83601,7.83624,7.83528,7.83568,7.83616,7.83644,7.83548,7.83589,7.83549875,
18,USD_HKD,2023-06-30T11:00:00.000000000Z,481,7.83549,7.83706,7.83529,7.83667,7.83569,7.83722,7.83550,7.83689,7.83589,7.83738,7.83570,7.83711,7.83572,
19,USD_HKD,2023-06-30T12:00:00.000000000Z,918,7.83665,7.83734,7.83514,7.83529,7.83688,7.83750,7.83534,7.83546,7.83711,7.83765,7.83553,7.83562,7.8357275,
20,USD_HKD,2023-06-30T13:00:00.000000000Z,406,7.83529,7.83620,7.83411,7.83606,7.83544,7.83654,7.83428,7.83654,7.83559,7.83702,7.83444,7.83702,7.8358325,
21,USD_HKD,2023-06-30T14:00:00.000000000Z,1380,7.83606,7.83675,7.83525,7.83651,7.83668,7.83697,7.83543,7.83667,7.83729,7.83730,7.83560,7.83683,7.83604125,
22,USD_HKD,2023-06-30T15:00:00.000000000Z,478,7.83654,7.83677,7.83590,7.83616,7.83670,7.83692,7.83610,7.83634,7.83685,7.83706,7.83631,7.83653,7.83614375,
23,USD_HKD,2023-06-30T16:00:00.000000000Z,375,7.83617,7.83719,7.83515,7.83633,7.83634,7.83734,7.83534,7.83648,7.83652,7.83748,7.83550,7.83662,7.83626,
24,USD_HKD,2023-06-30T17:00:00.000000000Z,534,7.83637,7.83661,7.83544,7.83571,7.83654,7.83679,7.83564,7.83590,7.83670,7.83697,7.83582,7.83609,7.836245,
25,USD_HKD,2023-06-30T18:00:00.000000000Z,729,7.83569,7.83633,7.83447,7.83511,7.83588,7.83652,7.83466,7.83526,7.83607,7.83671,7.83481,7.83542,7.8361925,
26,USD_HKD,2023-06-30T19:00:00.000000000Z,423,7.83492,7.83590,7.83482,7.83577,7.83517,7.83614,7.83505,7.83600,7.83542,7.83642,7.83528,7.83624,7.83608125,
27,USD_HKD,2023-06-30T20:00:00.000000000Z,267,7.83577,7.83743,7.83569,7.83597,7.83596,7.83771,7.83596,7.83632,7.83615,7.83805,7.83615,7.83666,7.83618875,
28,USD_HKD,2023-07-02T21:00:00.000000000Z,24,7.83625,7.83635,7.83576,7.83592,7.83714,7.83726,7.83690,7.83706,7.83804,7.83820,7.83804,7.83820,7.83625375,
29,USD_HKD,2023-07-02T22:00:00.000000000Z,44,7.83593,7.83593,7.83567,7.83574,7.83685,7.83700,7.83644,7.83690,7.83777,7.83815,7.83704,7.83805,7.8362825,
30,USD_HKD,2023-07-02T23:00:00.000000000Z,197,7.83585,7.83690,7.83574,7.83684,7.83644,7.83717,7.83644,7.83714,7.83704,7.83823,7.83704,7.83744,7.8363825,
31,USD_HKD,2023-07-03T00:00:00.000000000Z,321,7.83681,7.83781,7.83651,7.83734,7.83712,7.83805,7.83680,7.83754,7.83744,7.83829,7.83704,7.83774,7.8365149999999995,
32,USD_HKD,2023-07-03T01:00:00.000000000Z,954,7.83735,7.83773,7.83338,7.83348,7.83756,7.83792,7.83362,7.83362,7.83776,7.83810,7.83377,7.83377,7.8362300000000005,
33,USD_HKD,2023-07-03T02:00:00.000000000Z,850,7.83346,7.83565,7.83346,7.83512,7.83362,7.83583,7.83362,7.83534,7.83377,7.83602,7.83377,7.83556,7.83624,
34,USD_HKD,2023-07-03T03:00:00.000000000Z,1264,7.83512,7.83526,7.83129,7.83145,7.83534,7.83547,7.83152,7.83165,7.83555,7.83569,7.83176,7.83185,7.83569625,
35,USD_HKD,2023-07-03T04:00:00.000000000Z,665,7.83145,7.83296,7.83145,7.83251,7.83168,7.83324,7.83164,7.83270,7.83191,7.83356,7.83181,7.83290,7.83524375,
36,USD_HKD,2023-07-03T05:00:00.000000000Z,1071,7.83251,7.83359,7.83251,7.83343,7.83270,7.83378,7.83270,7.83363,7.83289,7.83396,7.83289,7.83383,7.834815,
37,USD_HKD,2023-07-03T06:00:00.000000000Z,823,7.83344,7.83421,7.83271,7.83366,7.83364,7.83436,7.83288,7.83382,7.83383,7.83454,7.83304,7.83397,7.834429999999999,
38,USD_HKD,2023-07-03T07:00:00.000000000Z,1074,7.83365,7.83379,7.83171,7.83336,7.83381,7.83394,7.83199,7.83352,7.83397,7.83413,7.83215,7.83368,7.8339775,
39,USD_HKD,2023-07-03T08:00:00.000000000Z,1042,7.83336,7.83474,7.83275,7.83393,7.83350,7.83492,7.83291,7.83410,7.83365,7.83511,7.83306,7.83428,7.8335475,
40,USD_HKD,2023-07-03T09:00:00.000000000Z,460,7.83394,7.83486,7.83391,7.83471,7.83411,7.83501,7.83409,7.83488,7.83428,7.83518,7.83427,7.83504,7.833705,
41,USD_HKD,2023-07-03T10:00:00.000000000Z,423,7.83471,7.83530,7.83468,7.83526,7.83486,7.83544,7.83484,7.83542,7.83502,7.83562,7.83498,7.83557,7.833715,
42,USD_HKD,2023-07-03T11:00:00.000000000Z,551,7.83536,7.83590,7.83491,7.83549,7.83552,7.83607,7.83512,7.83568,7.83569,7.83625,7.83528,7.83588,7.83421875,
43,USD_HKD,2023-07-03T12:00:00.000000000Z,642,7.83548,7.83568,7.83372,7.83389,7.83568,7.83586,7.83390,7.83407,7.83588,7.83605,7.83407,7.83425,7.83439,
44,USD_HKD,2023-07-03T13:00:00.000000000Z,462,7.83389,7.83440,7.83381,7.83400,7.83408,7.83458,7.83400,7.83446,7.83427,7.83492,7.83416,7.83492,7.83449375,
45,USD_HKD,2023-07-03T14:00:00.000000000Z,750,7.83405,7.83513,7.83284,7.83284,7.83450,7.83528,7.83299,7.83299,7.83495,7.83544,7.83314,7.83314,7.83439,
46,USD_HKD,2023-07-03T15:00:00.000000000Z,371,7.83286,7.83369,7.83284,7.83360,7.83300,7.83386,7.83300,7.83378,7.83315,7.83405,7.83314,7.83397,7.8344225000000005,
47,USD_HKD,2023-07-03T16:00:00.000000000Z,344,7.83360,7.83410,7.83324,7.83357,7.83379,7.83426,7.83344,7.83375,7.83398,7.83443,7.83363,7.83393,7.834378749999999,
48,USD_HKD,2023-07-03T17:00:00.000000000Z,397,7.83356,7.83456,7.83351,7.83383,7.83375,7.83475,7.83372,7.83412,7.83394,7.83498,7.83392,7.83442,7.83428375,
49,USD_HKD,2023-07-03T18:00:00.000000000Z,216,7.83383,7.83435,7.83336,7.83361,7.83413,7.83454,7.83358,7.83392,7.83443,7.83474,7.83378,7.83424,7.83409625,
50,USD_HKD,2023-07-03T19:00:00.000000000Z,435,7.83361,7.83460,7.83342,7.83384,7.83394,7.83480,7.83367,7.83407,7.83427,7.83499,7.83391,7.83430,7.833895,
51,USD_HKD,2023-07-03T20:00:00.000000000Z,240,7.83385,7.83392,7.83364,7.83382,7.83411,7.83428,7.83402,7.83405,7.83437,7.83467,7.83428,7.83428,7.8338925,
52,USD_HKD,2023-07-03T21:00:00.000000000Z,232,7.83376,7.83414,7.83355,7.83376,7.83424,7.83432,7.83395,7.83410,7.83473,7.83476,7.83414,7.83443,7.8338475,
53,USD_HKD,2023-07-03T22:00:00.000000000Z,216,7.83376,7.83414,7.83302,7.83401,7.83412,7.83450,7.83388,7.83423,7.83447,7.83495,7.83414,7.83445,7.8340025,
54,USD_HKD,2023-07-03T23:00:00.000000000Z,261,7.83398,7.83426,7.83360,7.83360,7.83412,7.83446,7.83386,7.83387,7.83427,7.83471,7.83404,7.83414,7.8340137499999996,
55,USD_HKD,2023-07-04T00:00:00.000000000Z,328,7.83368,7.83373,7.83261,7.83318,7.83390,7.83392,7.83282,7.83336,7.83411,7.83412,7.83304,7.83354,7.833964999999999,
56,USD_HKD,2023-07-04T01:00:00.000000000Z,994,7.83315,7.83400,7.83196,7.83223,7.83330,7.83418,7.83214,7.83240,7.83345,7.83435,7.83231,7.83257,7.83375,
57,USD_HKD,2023-07-04T02:00:00.000000000Z,535,7.83227,7.83268,7.83164,7.83206,7.83246,7.83285,7.83182,7.83224,7.83265,7.83302,7.83200,7.83241,7.83354,
58,USD_HKD,2023-07-04T03:00:00.000000000Z,985,7.83205,7.83207,7.82791,7.82959,7.83223,7.83224,7.82809,7.82974,7.83241,7.83241,7.82827,7.82990,7.83299875,
59,USD_HKD,2023-07-04T04:00:00.000000000Z,1065,7.82960,7.82973,7.82843,7.82889,7.82975,7.82990,7.82860,7.82904,7.82990,7.83011,7.82877,7.82920,7.8323725,
60,USD_HKD,2023-07-04T05:00:00.000000000Z,289,7.82889,7.82978,7.82886,7.82970,7.82904,7.82994,7.82902,7.82988,7.82918,7.83010,7.82917,7.83005,7.8318449999999995,
61,USD_HKD,2023-07-04T06:00:00.000000000Z,1213,7.82969,7.83141,7.82966,7.83093,7.82988,7.83159,7.82984,7.83112,7.83006,7.83177,7.83003,7.83131,7.8314562500000005,
62,USD_HKD,2023-07-04T07:00:00.000000000Z,538,7.83093,7.83117,7.82999,7.83041,7.83112,7.83134,7.83017,7.83059,7.83130,7.83152,7.83034,7.83077,7.83104625,
