,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_HUF,2023-07-11T18:00:00.000000000Z,2221,343.904,344.040,343.735,343.800,344.057,344.180,343.868,343.915,344.210,344.340,343.990,344.030,,
1,USD_HUF,2023-07-11T19:00:00.000000000Z,2899,343.790,344.200,343.670,343.730,343.910,344.325,343.825,343.892,344.030,344.460,343.960,344.053,,
2,USD_HUF,2023-07-11T20:00:00.000000000Z,1762,343.730,344.144,343.472,343.790,343.889,344.302,343.766,344.025,344.048,344.460,343.835,344.260,,
3,USD_HUF,2023-07-11T21:00:00.000000000Z,249,343.640,343.740,343.344,343.570,344.050,344.105,343.798,343.880,344.460,344.500,344.010,344.190,,
4,USD_HUF,2023-07-11T22:00:00.000000000Z,468,343.560,343.760,343.450,343.630,343.865,343.955,343.745,343.825,344.170,344.210,343.910,344.020,,
5,USD_HUF,2023-07-11T23:00:00.000000000Z,614,343.630,343.790,343.420,343.646,343.830,343.944,343.700,343.873,344.030,344.139,343.780,344.100,,
6,USD_HUF,2023-07-12T00:00:00.000000000Z,2390,343.646,343.750,343.290,343.520,343.853,343.932,343.532,343.690,344.060,344.115,343.774,343.861,,
7,USD_HUF,2023-07-12T01:00:00.000000000Z,2467,343.530,343.540,342.947,343.220,343.695,343.700,343.179,343.408,343.860,343.860,343.330,343.596,343.8135,
8,USD_HUF,2023-07-12T02:00:00.000000000Z,3629,343.174,343.240,342.802,342.930,343.386,343.425,343.010,343.120,343.597,343.650,343.110,343.311,343.714125,
9,USD_HUF,2023-07-12T03:00:00.000000000Z,1528,342.892,343.210,342.884,343.100,343.102,343.336,343.098,343.244,343.311,343.462,343.200,343.388,343.63312499999995,
10,USD_HUF,2023-07-12T04:00:00.000000000Z,1241,342.964,343.130,342.826,342.920,343.176,343.258,343.026,343.064,343.388,343.388,343.206,343.209,343.51300000000003,
11,USD_HUF,2023-07-12T05:00:00.000000000Z,4640,342.930,343.190,342.854,343.100,343.070,343.353,343.046,343.235,343.209,343.550,343.180,343.370,343.432375,
12,USD_HUF,2023-07-12T06:00:00.000000000Z,3019,343.060,343.140,342.298,342.600,343.215,343.259,342.423,342.762,343.370,343.420,342.545,342.925,343.2995,
13,USD_HUF,2023-07-12T07:00:00.000000000Z,3281,342.600,343.228,342.460,342.799,342.765,343.359,342.595,342.924,342.930,343.490,342.717,343.050,343.180875,
14,USD_HUF,2023-07-12T08:00:00.000000000Z,3377,342.799,343.040,342.150,342.369,342.920,343.170,342.250,342.490,343.040,343.299,342.340,342.610,343.03087500000004,
15,USD_HUF,2023-07-12T09:00:00.000000000Z,2712,342.378,342.913,342.042,342.220,342.494,343.052,342.160,342.375,342.610,343.190,342.230,342.530,342.90175000000005,
16,USD_HUF,2023-07-12T10:00:00.000000000Z,3102,342.270,342.890,342.111,342.266,342.410,343.025,342.216,342.403,342.550,343.160,342.320,342.540,342.812125,
17,USD_HUF,2023-07-12T11:00:00.000000000Z,2982,342.266,342.640,341.662,341.920,342.408,342.755,341.779,342.024,342.550,342.870,341.870,342.129,342.659625,
18,USD_HUF,2023-07-12T12:00:00.000000000Z,7296,341.930,341.930,339.173,339.942,342.030,342.030,339.296,340.071,342.130,342.130,339.420,340.200,342.2855,
19,USD_HUF,2023-07-12T13:00:00.000000000Z,7343,339.948,339.971,338.100,338.330,340.074,340.115,338.219,338.450,340.200,340.260,338.312,338.570,341.687375,
20,USD_HUF,2023-07-12T14:00:00.000000000Z,8491,338.350,338.588,336.890,336.928,338.460,338.717,336.996,337.039,338.570,338.847,337.091,337.150,340.972,
21,USD_HUF,2023-07-12T15:00:00.000000000Z,6988,336.932,338.023,336.910,337.490,337.041,338.140,336.998,337.605,337.150,338.262,337.085,337.720,340.30712500000004,
22,USD_HUF,2023-07-12T16:00:00.000000000Z,4815,337.504,337.600,336.830,337.140,337.612,337.710,336.964,337.280,337.720,337.830,337.078,337.420,339.655875,
23,USD_HUF,2023-07-12T17:00:00.000000000Z,5818,337.140,337.360,336.967,337.134,337.285,337.503,337.124,337.237,337.430,337.653,337.270,337.340,339.013625,
24,USD_HUF,2023-07-12T18:00:00.000000000Z,3631,337.134,337.234,336.863,336.940,337.232,337.324,336.982,337.070,337.330,337.460,337.100,337.200,338.347,
25,USD_HUF,2023-07-12T19:00:00.000000000Z,3106,336.933,337.115,336.697,336.950,337.066,337.248,336.882,337.116,337.200,337.380,337.059,337.283,337.73350000000005,
26,USD_HUF,2023-07-12T20:00:00.000000000Z,2014,336.950,337.010,336.690,336.850,337.120,337.174,336.850,337.035,337.290,337.347,337.000,337.220,337.354,
27,USD_HUF,2023-07-12T21:00:00.000000000Z,326,336.560,336.760,336.480,336.720,336.925,337.025,336.815,336.980,337.290,337.484,337.100,337.240,337.17025,
28,USD_HUF,2023-07-12T22:00:00.000000000Z,1130,336.720,336.820,336.580,336.660,337.030,337.030,336.815,336.892,337.340,337.340,337.000,337.124,337.151875,
29,USD_HUF,2023-07-12T23:00:00.000000000Z,1373,336.660,336.710,336.536,336.550,336.891,336.920,336.728,336.765,337.122,337.161,336.920,336.980,337.046875,
30,USD_HUF,2023-07-13T00:00:00.000000000Z,2096,336.547,336.744,336.467,336.670,336.744,336.942,336.665,336.870,336.940,337.143,336.830,337.070,336.995625,
31,USD_HUF,2023-07-13T01:00:00.000000000Z,2594,336.677,336.870,336.540,336.597,336.874,336.982,336.740,336.758,337.070,337.194,336.900,336.920,336.93575,
32,USD_HUF,2023-07-13T02:00:00.000000000Z,2304,336.597,336.810,336.545,336.589,336.754,336.978,336.702,336.754,336.910,337.185,336.860,336.920,336.89625,
33,USD_HUF,2023-07-13T03:00:00.000000000Z,1910,336.591,336.738,336.480,336.594,336.760,336.904,336.601,336.747,336.930,337.116,336.710,336.900,336.85012500000005,
34,USD_HUF,2023-07-13T04:00:00.000000000Z,1724,336.594,336.758,336.497,336.743,336.742,336.966,336.654,336.926,336.890,337.180,336.810,337.110,336.8365,
35,USD_HUF,2023-07-13T05:00:00.000000000Z,7453,336.747,337.245,336.515,337.199,336.928,337.436,336.718,337.394,337.110,337.650,336.910,337.590,336.88824999999997,
36,USD_HUF,2023-07-13T06:00:00.000000000Z,6448,337.284,337.420,336.600,336.835,337.436,337.536,336.750,336.962,337.589,337.673,336.900,337.089,336.897,
37,USD_HUF,2023-07-13T07:00:00.000000000Z,5249,336.856,337.250,335.920,336.776,336.986,337.374,336.058,336.888,337.117,337.514,336.195,337.000,336.912375,
38,USD_HUF,2023-07-13T08:00:00.000000000Z,6055,336.784,337.010,336.070,336.640,336.896,337.105,336.154,336.742,337.009,337.200,336.224,336.844,336.896375,
39,USD_HUF,2023-07-13T09:00:00.000000000Z,4587,336.640,336.840,335.486,335.839,336.744,336.916,335.611,335.924,336.847,337.016,335.719,336.010,336.792125,
40,USD_HUF,2023-07-13T10:00:00.000000000Z,3509,335.844,336.554,335.812,335.903,335.927,336.687,335.927,336.054,336.010,336.820,336.010,336.205,336.704625,
41,USD_HUF,2023-07-13T11:00:00.000000000Z,4293,335.896,335.940,335.415,335.620,336.050,336.080,335.539,335.746,336.205,336.228,335.660,335.872,336.5795,
42,USD_HUF,2023-07-13T12:00:00.000000000Z,9828,335.570,335.840,334.506,335.120,335.718,335.978,334.798,335.241,335.867,336.116,335.050,335.362,336.368875,
43,USD_HUF,2023-07-13T13:00:00.000000000Z,9375,335.097,335.300,334.030,334.100,335.226,335.430,334.150,334.210,335.354,335.560,334.260,334.320,335.970875,
44,USD_HUF,2023-07-13T14:00:00.000000000Z,8326,334.100,334.820,333.745,333.840,334.205,334.900,333.854,333.910,334.310,334.985,333.962,333.981,335.589375,
45,USD_HUF,2023-07-13T15:00:00.000000000Z,7612,333.750,334.330,333.664,334.019,333.866,334.403,333.756,334.080,333.981,334.479,333.841,334.140,335.238375,
46,USD_HUF,2023-07-13T16:00:00.000000000Z,4124,333.984,334.010,333.466,333.570,334.057,334.149,333.608,333.709,334.130,334.290,333.750,333.848,334.85925,
47,USD_HUF,2023-07-13T17:00:00.000000000Z,3921,333.590,333.720,333.190,333.326,333.721,333.846,333.335,333.466,333.852,333.973,333.470,333.605,334.552,
48,USD_HUF,2023-07-13T18:00:00.000000000Z,7809,333.310,333.400,332.980,333.050,333.458,333.540,333.135,333.186,333.605,333.690,333.263,333.323,334.1935,
49,USD_HUF,2023-07-13T19:00:00.000000000Z,9313,333.040,333.200,332.880,333.100,333.183,333.298,333.032,333.220,333.326,333.448,333.146,333.340,333.87775,
50,USD_HUF,2023-07-13T20:00:00.000000000Z,2397,333.080,333.160,332.604,332.770,333.210,333.305,332.830,332.914,333.340,333.460,333.057,333.057,333.58687499999996,
51,USD_HUF,2023-07-13T21:00:00.000000000Z,428,332.780,332.860,332.393,332.730,333.425,333.425,332.945,333.050,334.070,334.420,333.150,333.370,333.441875,
52,USD_HUF,2023-07-13T22:00:00.000000000Z,380,332.700,332.900,332.590,332.740,333.025,333.105,332.770,333.010,333.350,333.360,332.950,333.281,333.32937499999997,
53,USD_HUF,2023-07-13T23:00:00.000000000Z,506,332.740,332.970,332.578,332.940,333.010,333.136,332.823,333.052,333.280,333.318,333.048,333.163,333.200875,
54,USD_HUF,2023-07-14T00:00:00.000000000Z,1799,332.930,333.240,332.800,333.000,333.046,333.350,333.008,333.106,333.163,333.460,333.114,333.211,333.12550000000005,
55,USD_HUF,2023-07-14T01:00:00.000000000Z,2581,333.010,333.070,332.586,332.660,333.110,333.188,332.784,332.820,333.211,333.305,332.979,332.980,333.04474999999996,
56,USD_HUF,2023-07-14T02:00:00.000000000Z,1910,332.670,332.790,332.452,332.700,332.825,332.920,332.648,332.836,332.980,333.070,332.760,332.971,333.00100000000003,
57,USD_HUF,2023-07-14T03:00:00.000000000Z,1133,332.690,332.760,332.326,332.440,332.830,332.892,332.532,332.598,332.971,333.033,332.732,332.755,332.92325,
58,USD_HUF,2023-07-14T04:00:00.000000000Z,1239,332.420,332.750,332.351,332.640,332.588,332.920,332.553,332.855,332.755,333.110,332.740,333.070,332.915875,
59,USD_HUF,2023-07-14T05:00:00.000000000Z,2925,332.640,333.020,332.530,333.009,332.850,333.205,332.705,333.190,333.060,333.390,332.870,333.370,332.933375,
60,USD_HUF,2023-07-14T06:00:00.000000000Z,6851,333.021,334.580,332.866,334.532,333.166,334.720,333.012,334.680,333.312,334.860,333.153,334.829,333.142125,
61,USD_HUF,2023-07-14T07:00:00.000000000Z,4682,334.534,334.653,333.900,333.900,334.687,334.765,334.035,334.036,334.840,334.920,334.170,334.171,333.265125,
