,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c
0,USD_JPY,2022-11-15T18:00:00.000000000Z,17812,139.264,139.503,139.061,139.398,139.274,139.512,139.074,139.408,139.285,139.523,139.085,139.419
1,USD_JPY,2022-11-15T19:00:00.000000000Z,16969,139.402,139.513,139.035,139.062,139.412,139.522,139.044,139.071,139.422,139.532,139.054,139.080
2,USD_JPY,2022-11-15T20:00:00.000000000Z,9027,139.064,139.182,138.972,139.169,139.072,139.192,138.984,139.178,139.081,139.204,138.994,139.188
3,USD_JPY,2022-11-15T21:00:00.000000000Z,5067,139.165,139.354,139.116,139.301,139.174,139.366,139.126,139.316,139.182,139.382,139.137,139.332
4,USD_JPY,2022-11-15T22:00:00.000000000Z,2529,139.229,139.309,139.207,139.266,139.279,139.328,139.248,139.296,139.329,139.376,139.270,139.325
5,USD_JPY,2022-11-15T23:00:00.000000000Z,7701,139.270,139.281,138.722,138.956,139.298,139.302,138.732,138.969,139.326,139.326,138.743,138.982
6,USD_JPY,2022-11-16T00:00:00.000000000Z,11221,138.952,139.509,138.855,139.352,138.964,139.518,138.867,139.363,138.976,139.527,138.879,139.374
7,USD_JPY,2022-11-16T01:00:00.000000000Z,12036,139.354,139.907,139.334,139.716,139.365,139.918,139.348,139.726,139.376,139.929,139.359,139.737
8,USD_JPY,2022-11-16T02:00:00.000000000Z,8731,139.712,140.006,139.589,139.841,139.724,140.016,139.600,139.852,139.735,140.027,139.611,139.862
9,USD_JPY,2022-11-16T03:00:00.000000000Z,7137,139.840,140.191,139.796,140.181,139.850,140.202,139.806,140.190,139.860,140.212,139.815,140.199
10,USD_JPY,2022-11-16T04:00:00.000000000Z,7048,140.179,140.286,139.926,140.054,140.188,140.295,139.938,140.066,140.197,140.308,139.948,140.077
11,USD_JPY,2022-11-16T05:00:00.000000000Z,9898,140.054,140.117,139.659,139.708,140.064,140.128,139.671,139.719,140.075,140.138,139.682,139.730
12,USD_JPY,2022-11-16T06:00:00.000000000Z,7724,139.712,139.924,139.450,139.664,139.722,139.934,139.467,139.676,139.732,139.944,139.484,139.688
13,USD_JPY,2022-11-16T07:00:00.000000000Z,12492,139.657,139.996,139.261,139.368,139.666,140.009,139.272,139.378,139.675,140.022,139.283,139.389
14,USD_JPY,2022-11-16T08:00:00.000000000Z,11314,139.361,139.709,139.263,139.630,139.372,139.718,139.274,139.639,139.382,139.727,139.284,139.648
15,USD_JPY,2022-11-16T09:00:00.000000000Z,7294,139.628,139.690,139.302,139.384,139.638,139.699,139.312,139.394,139.647,139.709,139.322,139.403
16,USD_JPY,2022-11-16T10:00:00.000000000Z,8794,139.379,139.437,139.178,139.359,139.388,139.446,139.188,139.368,139.398,139.455,139.197,139.377
17,USD_JPY,2022-11-16T11:00:00.000000000Z,7706,139.361,139.550,139.309,139.422,139.370,139.559,139.320,139.431,139.379,139.568,139.331,139.440
18,USD_JPY,2022-11-16T12:00:00.000000000Z,7646,139.421,139.510,139.184,139.366,139.431,139.518,139.194,139.374,139.441,139.528,139.203,139.383
19,USD_JPY,2022-11-16T13:00:00.000000000Z,14349,139.366,140.015,139.355,139.772,139.374,140.037,139.365,139.780,139.382,140.072,139.373,139.789
20,USD_JPY,2022-11-16T14:00:00.000000000Z,15400,139.769,139.794,139.032,139.414,139.776,139.804,139.042,139.424,139.783,139.814,139.053,139.433
21,USD_JPY,2022-11-16T15:00:00.000000000Z,11262,139.415,139.577,139.281,139.347,139.424,139.584,139.289,139.355,139.432,139.593,139.297,139.363
22,USD_JPY,2022-11-16T16:00:00.000000000Z,6783,139.349,139.671,139.250,139.590,139.357,139.680,139.260,139.600,139.365,139.688,139.269,139.609
23,USD_JPY,2022-11-16T17:00:00.000000000Z,5927,139.590,139.614,139.355,139.406,139.600,139.623,139.363,139.414,139.610,139.632,139.371,139.423
24,USD_JPY,2022-11-16T18:00:00.000000000Z,5276,139.406,139.705,139.281,139.642,139.415,139.712,139.290,139.652,139.424,139.719,139.300,139.661
25,USD_JPY,2022-11-16T19:00:00.000000000Z,4895,139.641,139.645,139.299,139.309,139.650,139.654,139.308,139.318,139.658,139.662,139.318,139.326
26,USD_JPY,2022-11-16T20:00:00.000000000Z,5449,139.307,139.423,139.235,139.393,139.316,139.432,139.244,139.402,139.324,139.443,139.254,139.411
27,USD_JPY,2022-11-16T21:00:00.000000000Z,3240,139.394,139.564,139.392,139.520,139.404,139.574,139.402,139.540,139.413,139.587,139.411,139.559
28,USD_JPY,2022-11-16T22:00:00.000000000Z,3509,139.431,139.527,139.375,139.470,139.481,139.540,139.420,139.498,139.531,139.559,139.458,139.526
29,USD_JPY,2022-11-16T23:00:00.000000000Z,2917,139.471,139.503,139.295,139.319,139.498,139.530,139.306,139.332,139.526,139.556,139.315,139.344
30,USD_JPY,2022-11-17T00:00:00.000000000Z,4982,139.319,139.543,139.212,139.455,139.329,139.553,139.222,139.464,139.339,139.564,139.232,139.474
31,USD_JPY,2022-11-17T01:00:00.000000000Z,6319,139.456,139.594,139.263,139.515,139.466,139.604,139.272,139.524,139.477,139.615,139.280,139.534
32,USD_JPY,2022-11-17T02:00:00.000000000Z,6551,139.517,139.647,139.452,139.559,139.526,139.656,139.462,139.568,139.536,139.665,139.471,139.577
33,USD_JPY,2022-11-17T03:00:00.000000000Z,5793,139.557,139.794,139.555,139.581,139.567,139.804,139.564,139.592,139.577,139.813,139.573,139.603
34,USD_JPY,2022-11-17T04:00:00.000000000Z,4684,139.580,139.608,139.458,139.527,139.590,139.617,139.468,139.536,139.601,139.627,139.478,139.546
35,USD_JPY,2022-11-17T05:00:00.000000000Z,5923,139.524,139.599,139.352,139.426,139.534,139.608,139.362,139.436,139.543,139.618,139.372,139.446
36,USD_JPY,2022-11-17T06:00:00.000000000Z,5434,139.429,139.536,139.315,139.477,139.438,139.546,139.324,139.487,139.448,139.555,139.334,139.497
37,USD_JPY,2022-11-17T07:00:00.000000000Z,8516,139.477,139.599,139.212,139.316,139.486,139.608,139.222,139.324,139.496,139.619,139.231,139.333
38,USD_JPY,2022-11-17T08:00:00.000000000Z,10856,139.313,139.429,138.868,139.393,139.322,139.438,138.878,139.403,139.332,139.448,138.887,139.413
39,USD_JPY,2022-11-17T09:00:00.000000000Z,7818,139.398,139.703,139.327,139.616,139.408,139.712,139.336,139.626,139.418,139.722,139.344,139.636
40,USD_JPY,2022-11-17T10:00:00.000000000Z,7508,139.616,139.963,139.559,139.925,139.626,139.971,139.569,139.934,139.637,139.980,139.579,139.943
41,USD_JPY,2022-11-17T11:00:00.000000000Z,8806,139.929,140.093,139.790,139.878,139.937,140.104,139.799,139.888,139.945,140.114,139.807,139.897
42,USD_JPY,2022-11-17T12:00:00.000000000Z,10316,139.880,140.352,139.644,140.299,139.890,140.361,139.666,140.308,139.899,140.370,139.676,140.317
43,USD_JPY,2022-11-17T13:00:00.000000000Z,14590,140.299,140.589,139.799,140.506,140.307,140.598,139.813,140.515,140.315,140.608,139.827,140.524
44,USD_JPY,2022-11-17T14:00:00.000000000Z,12337,140.502,140.710,140.282,140.480,140.511,140.718,140.292,140.488,140.520,140.727,140.301,140.497
45,USD_JPY,2022-11-17T15:00:00.000000000Z,9580,140.483,140.646,140.311,140.582,140.492,140.654,140.318,140.589,140.500,140.663,140.326,140.596
46,USD_JPY,2022-11-17T16:00:00.000000000Z,6715,140.578,140.733,140.418,140.454,140.585,140.742,140.426,140.462,140.592,140.750,140.435,140.471
47,USD_JPY,2022-11-17T17:00:00.000000000Z,5739,140.450,140.451,140.173,140.287,140.460,140.460,140.182,140.296,140.469,140.469,140.191,140.306
48,USD_JPY,2022-11-17T18:00:00.000000000Z,4783,140.289,140.298,140.054,140.242,140.298,140.307,140.061,140.250,140.308,140.316,140.068,140.258
49,USD_JPY,2022-11-17T19:00:00.000000000Z,3954,140.243,140.348,140.200,140.208,140.252,140.358,140.209,140.216,140.260,140.367,140.218,140.225
50,USD_JPY,2022-11-17T20:00:00.000000000Z,3747,140.210,140.274,140.113,140.182,140.218,140.282,140.121,140.190,140.225,140.290,140.128,140.198
51,USD_JPY,2022-11-17T21:00:00.000000000Z,2610,140.184,140.206,140.145,140.199,140.192,140.216,140.154,140.214,140.200,140.230,140.162,140.230
52,USD_JPY,2022-11-17T22:00:00.000000000Z,5995,140.179,140.280,140.149,140.263,140.208,140.296,140.199,140.284,140.237,140.317,140.228,140.305
53,USD_JPY,2022-11-17T23:00:00.000000000Z,5110,140.267,140.437,140.192,140.417,140.288,140.448,140.207,140.428,140.309,140.460,140.222,140.439
54,USD_JPY,2022-11-18T00:00:00.000000000Z,6484,140.418,140.491,140.093,140.290,140.428,140.502,140.103,140.300,140.439,140.512,140.112,140.311
55,USD_JPY,2022-11-18T01:00:00.000000000Z,6596,140.291,140.332,140.014,140.065,140.300,140.342,140.024,140.075,140.310,140.351,140.033,140.085
56,USD_JPY,2022-11-18T02:00:00.000000000Z,6893,140.064,140.070,139.793,139.929,140.076,140.078,139.802,139.939,140.088,140.089,139.812,139.949
57,USD_JPY,2022-11-18T03:00:00.000000000Z,6012,139.931,139.961,139.639,139.706,139.940,139.970,139.649,139.716,139.949,139.978,139.658,139.727
58,USD_JPY,2022-11-18T04:00:00.000000000Z,4369,139.704,139.938,139.704,139.874,139.714,139.948,139.714,139.883,139.724,139.957,139.724,139.892
59,USD_JPY,2022-11-18T05:00:00.000000000Z,4977,139.874,140.070,139.769,139.775,139.882,140.080,139.776,139.785,139.891,140.090,139.784,139.795
60,USD_JPY,2022-11-18T06:00:00.000000000Z,5723,139.775,139.973,139.735,139.836,139.784,139.982,139.746,139.847,139.793,139.991,139.756,139.858
61,USD_JPY,2022-11-18T07:00:00.000000000Z,7976,139.834,139.949,139.622,139.825,139.845,139.958,139.632,139.834,139.856,139.968,139.643,139.844
62,USD_JPY,2022-11-18T08:00:00.000000000Z,11391,139.827,140.245,139.793,140.192,139.836,140.254,139.804,140.202,139.846,140.263,139.813,140.212
63,USD_JPY,2022-11-18T09:00:00.000000000Z,9307,140.190,140.283,139.830,139.941,140.200,140.292,139.840,139.950,140.210,140.302,139.850,139.959
64,USD_JPY,2022-11-18T10:00:00.000000000Z,6459,139.941,140.023,139.704,139.769,139.950,140.032,139.714,139.778,139.960,140.041,139.722,139.786
65,USD_JPY,2022-11-18T11:00:00.000000000Z,7435,139.767,139.950,139.719,139.853,139.776,139.960,139.730,139.862,139.786,139.970,139.741,139.872
66,USD_JPY,2022-11-18T12:00:00.000000000Z,6012,139.855,140.072,139.734,139.961,139.864,140.082,139.743,139.970,139.872,140.091,139.752,139.979
67,USD_JPY,2022-11-18T13:00:00.000000000Z,8941,139.961,140.041,139.699,139.923,139.971,140.048,139.710,139.933,139.981,140.058,139.720,139.943
68,USD_JPY,2022-11-18T14:00:00.000000000Z,9331,139.921,140.043,139.684,139.945,139.930,140.052,139.692,139.958,139.939,140.062,139.701,139.972
69,USD_JPY,2022-11-18T15:00:00.000000000Z,8181,139.939,140.084,139.817,139.868,139.954,140.092,139.826,139.875,139.970,140.100,139.833,139.882
70,USD_JPY,2022-11-18T16:00:00.000000000Z,5219,139.867,140.129,139.835,140.026,139.875,140.138,139.843,140.034,139.883,140.146,139.851,140.042
71,USD_JPY,2022-11-18T17:00:00.000000000Z,3908,140.025,140.246,140.011,140.237,140.034,140.254,140.019,140.244,140.042,140.261,140.027,140.250
72,USD_JPY,2022-11-18T18:00:00.000000000Z,4160,140.236,140.357,140.169,140.330,140.244,140.364,140.178,140.338,140.251,140.372,140.187,140.346
73,USD_JPY,2022-11-18T19:00:00.000000000Z,2712,140.330,140.403,140.319,140.375,140.338,140.410,140.328,140.382,140.347,140.418,140.336,140.390
74,USD_JPY,2022-11-18T20:00:00.000000000Z,2585,140.377,140.394,140.283,140.394,140.384,140.402,140.291,140.402,140.390,140.410,140.299,140.410
75,USD_JPY,2022-11-18T21:00:00.000000000Z,2096,140.394,140.418,140.323,140.352,140.402,140.427,140.361,140.376,140.411,140.436,140.375,140.400
76,USD_JPY,2022-11-20T22:00:00.000000000Z,140,140.281,140.386,140.224,140.334,140.331,140.412,140.274,140.384,140.381,140.442,140.324,140.434
77,USD_JPY,2022-11-20T23:00:00.000000000Z,7081,140.335,140.378,140.151,140.253,140.384,140.412,140.163,140.266,140.433,140.449,140.174,140.280
