,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_JPY,2023-06-29T17:00:00.000000000Z,2921,144.839,144.846,144.758,144.820,144.846,144.853,144.766,144.828,144.853,144.860,144.774,144.837,,
1,USD_JPY,2023-06-29T18:00:00.000000000Z,2434,144.819,144.886,144.809,144.880,144.827,144.894,144.818,144.888,144.835,144.901,144.825,144.895,,
2,USD_JPY,2023-06-29T19:00:00.000000000Z,1943,144.886,144.887,144.794,144.833,144.892,144.894,144.802,144.842,144.899,144.902,144.809,144.850,,
3,USD_JPY,2023-06-29T20:00:00.000000000Z,1100,144.832,144.832,144.776,144.784,144.840,144.840,144.784,144.795,144.848,144.848,144.792,144.806,,
4,USD_JPY,2023-06-29T21:00:00.000000000Z,227,144.728,144.754,144.697,144.723,144.761,144.776,144.730,144.744,144.794,144.817,144.758,144.766,,
5,USD_JPY,2023-06-29T22:00:00.000000000Z,2080,144.727,144.793,144.715,144.755,144.750,144.807,144.726,144.764,144.772,144.821,144.735,144.773,,
6,USD_JPY,2023-06-29T23:00:00.000000000Z,2101,144.753,144.823,144.671,144.787,144.762,144.832,144.682,144.796,144.771,144.840,144.692,144.805,,
7,USD_JPY,2023-06-30T00:00:00.000000000Z,5617,144.787,144.916,144.689,144.874,144.795,144.925,144.697,144.882,144.803,144.934,144.705,144.891,144.817375,
8,USD_JPY,2023-06-30T01:00:00.000000000Z,5901,144.871,145.066,144.784,144.790,144.880,145.073,144.794,144.798,144.888,145.081,144.803,144.807,144.813625,
9,USD_JPY,2023-06-30T02:00:00.000000000Z,5488,144.794,144.875,144.712,144.747,144.802,144.884,144.721,144.755,144.811,144.894,144.730,144.763,144.797,
10,USD_JPY,2023-06-30T03:00:00.000000000Z,3393,144.746,144.804,144.714,144.767,144.755,144.812,144.724,144.774,144.764,144.820,144.731,144.782,144.7885,
11,USD_JPY,2023-06-30T04:00:00.000000000Z,2713,144.765,144.797,144.645,144.716,144.774,144.806,144.654,144.724,144.782,144.814,144.662,144.733,144.77962499999998,
12,USD_JPY,2023-06-30T05:00:00.000000000Z,3767,144.715,144.727,144.611,144.668,144.724,144.736,144.620,144.677,144.734,144.747,144.630,144.686,144.77125,
13,USD_JPY,2023-06-30T06:00:00.000000000Z,4955,144.671,144.745,144.432,144.579,144.680,144.753,144.439,144.586,144.689,144.761,144.446,144.594,144.749,
14,USD_JPY,2023-06-30T07:00:00.000000000Z,5718,144.580,144.864,144.546,144.838,144.586,144.872,144.554,144.846,144.593,144.880,144.563,144.855,144.75525,
15,USD_JPY,2023-06-30T08:00:00.000000000Z,5362,144.840,144.897,144.622,144.630,144.848,144.905,144.630,144.638,144.856,144.913,144.637,144.645,144.72475,
16,USD_JPY,2023-06-30T09:00:00.000000000Z,4790,144.609,144.735,144.577,144.727,144.616,144.744,144.586,144.734,144.624,144.753,144.595,144.740,144.71675,
17,USD_JPY,2023-06-30T10:00:00.000000000Z,3541,144.728,144.748,144.588,144.624,144.734,144.756,144.595,144.632,144.740,144.764,144.602,144.639,144.701375,
18,USD_JPY,2023-06-30T11:00:00.000000000Z,3413,144.626,144.729,144.615,144.717,144.634,144.736,144.623,144.725,144.641,144.744,144.630,144.733,144.69525000000002,
19,USD_JPY,2023-06-30T12:00:00.000000000Z,8761,144.716,144.736,144.335,144.458,144.724,144.744,144.342,144.466,144.733,144.753,144.350,144.473,144.663,
20,USD_JPY,2023-06-30T13:00:00.000000000Z,8169,144.460,144.592,144.325,144.502,144.467,144.600,144.334,144.521,144.474,144.607,144.342,144.540,144.64350000000002,
21,USD_JPY,2023-06-30T14:00:00.000000000Z,10363,144.496,144.568,144.194,144.536,144.514,144.576,144.202,144.544,144.531,144.583,144.209,144.551,144.63825,
22,USD_JPY,2023-06-30T15:00:00.000000000Z,6341,144.539,144.618,144.462,144.469,144.546,144.626,144.470,144.476,144.553,144.635,144.477,144.482,144.592,
23,USD_JPY,2023-06-30T16:00:00.000000000Z,4233,144.468,144.544,144.315,144.319,144.476,144.552,144.324,144.327,144.483,144.559,144.332,144.335,144.553125,
24,USD_JPY,2023-06-30T17:00:00.000000000Z,2941,144.319,144.355,144.246,144.306,144.328,144.364,144.254,144.314,144.337,144.372,144.261,144.322,144.500625,
25,USD_JPY,2023-06-30T18:00:00.000000000Z,3031,144.309,144.330,144.230,144.291,144.316,144.337,144.236,144.298,144.324,144.345,144.242,144.305,144.45887499999998,
26,USD_JPY,2023-06-30T19:00:00.000000000Z,2594,144.288,144.306,144.241,144.269,144.296,144.314,144.249,144.278,144.304,144.323,144.257,144.288,144.403,
27,USD_JPY,2023-06-30T20:00:00.000000000Z,2153,144.269,144.341,144.226,144.297,144.280,144.358,144.266,144.347,144.290,144.408,144.276,144.397,144.388125,
28,USD_JPY,2023-07-02T21:00:00.000000000Z,54,144.353,144.353,144.229,144.262,144.403,144.403,144.277,144.298,144.453,144.453,144.321,144.335,144.36025,
29,USD_JPY,2023-07-02T22:00:00.000000000Z,1695,144.275,144.339,144.275,144.335,144.310,144.353,144.298,144.352,144.346,144.378,144.309,144.368,144.33625,
30,USD_JPY,2023-07-02T23:00:00.000000000Z,2963,144.332,144.398,144.308,144.389,144.350,144.409,144.320,144.400,144.367,144.420,144.331,144.411,144.32675,
31,USD_JPY,2023-07-03T00:00:00.000000000Z,5213,144.389,144.471,144.217,144.437,144.399,144.482,144.224,144.444,144.409,144.492,144.232,144.452,144.341375,
32,USD_JPY,2023-07-03T01:00:00.000000000Z,5171,144.436,144.538,144.402,144.503,144.444,144.546,144.411,144.512,144.452,144.555,144.419,144.521,144.366125,
33,USD_JPY,2023-07-03T02:00:00.000000000Z,4337,144.501,144.686,144.481,144.660,144.510,144.694,144.490,144.669,144.520,144.703,144.499,144.678,144.4125,
34,USD_JPY,2023-07-03T03:00:00.000000000Z,2917,144.659,144.686,144.554,144.610,144.667,144.694,144.563,144.617,144.675,144.701,144.571,144.624,144.454875,
35,USD_JPY,2023-07-03T04:00:00.000000000Z,2870,144.609,144.618,144.414,144.434,144.616,144.627,144.422,144.442,144.624,144.636,144.430,144.451,144.46675,
36,USD_JPY,2023-07-03T05:00:00.000000000Z,3736,144.433,144.613,144.360,144.573,144.442,144.621,144.369,144.582,144.452,144.631,144.378,144.591,144.50225,
37,USD_JPY,2023-07-03T06:00:00.000000000Z,5367,144.566,144.765,144.474,144.729,144.575,144.772,144.483,144.737,144.584,144.779,144.489,144.745,144.550375,
38,USD_JPY,2023-07-03T07:00:00.000000000Z,5976,144.729,144.843,144.674,144.824,144.738,144.851,144.682,144.832,144.747,144.859,144.690,144.839,144.604375,
39,USD_JPY,2023-07-03T08:00:00.000000000Z,4659,144.826,144.874,144.698,144.710,144.832,144.883,144.706,144.716,144.839,144.892,144.714,144.722,144.638375,
40,USD_JPY,2023-07-03T09:00:00.000000000Z,4603,144.711,144.747,144.540,144.589,144.717,144.755,144.548,144.598,144.723,144.763,144.556,144.607,144.649125,
41,USD_JPY,2023-07-03T10:00:00.000000000Z,3432,144.590,144.746,144.570,144.726,144.598,144.754,144.579,144.734,144.605,144.762,144.588,144.743,144.65725,
42,USD_JPY,2023-07-03T11:00:00.000000000Z,4077,144.728,144.906,144.716,144.851,144.736,144.914,144.724,144.858,144.743,144.924,144.733,144.866,144.687375,
43,USD_JPY,2023-07-03T12:00:00.000000000Z,5534,144.853,144.868,144.527,144.584,144.860,144.875,144.535,144.592,144.868,144.883,144.542,144.600,144.706125,
44,USD_JPY,2023-07-03T13:00:00.000000000Z,6321,144.583,144.630,144.343,144.383,144.592,144.638,144.351,144.403,144.600,144.646,144.359,144.423,144.68375,
45,USD_JPY,2023-07-03T14:00:00.000000000Z,9243,144.383,144.490,143.978,144.453,144.402,144.498,143.986,144.460,144.422,144.505,143.995,144.468,144.649125,
46,USD_JPY,2023-07-03T15:00:00.000000000Z,4352,144.451,144.595,144.442,144.499,144.458,144.604,144.450,144.508,144.466,144.612,144.457,144.516,144.60862500000002,
47,USD_JPY,2023-07-03T16:00:00.000000000Z,3015,144.501,144.695,144.492,144.676,144.508,144.702,144.500,144.684,144.516,144.709,144.506,144.691,144.604625,
48,USD_JPY,2023-07-03T17:00:00.000000000Z,1910,144.676,144.697,144.617,144.672,144.683,144.705,144.625,144.680,144.690,144.713,144.633,144.687,144.614875,
49,USD_JPY,2023-07-03T18:00:00.000000000Z,1311,144.671,144.719,144.652,144.711,144.680,144.726,144.662,144.720,144.688,144.735,144.671,144.729,144.613125,
50,USD_JPY,2023-07-03T19:00:00.000000000Z,884,144.711,144.739,144.684,144.737,144.720,144.748,144.693,144.746,144.728,144.756,144.702,144.754,144.59912500000002,
51,USD_JPY,2023-07-03T20:00:00.000000000Z,707,144.734,144.747,144.669,144.676,144.742,144.756,144.680,144.690,144.751,144.765,144.689,144.703,144.611375,
52,USD_JPY,2023-07-03T21:00:00.000000000Z,218,144.642,144.655,144.610,144.632,144.677,144.686,144.654,144.658,144.712,144.716,144.681,144.685,144.64325,
53,USD_JPY,2023-07-03T22:00:00.000000000Z,1257,144.642,144.695,144.608,144.660,144.662,144.705,144.622,144.668,144.682,144.728,144.636,144.677,144.66925,
54,USD_JPY,2023-07-03T23:00:00.000000000Z,1079,144.662,144.670,144.563,144.591,144.670,144.681,144.572,144.598,144.679,144.692,144.580,144.606,144.6805,
55,USD_JPY,2023-07-04T00:00:00.000000000Z,3672,144.591,144.610,144.419,144.455,144.600,144.618,144.428,144.463,144.608,144.627,144.436,144.471,144.652875,
56,USD_JPY,2023-07-04T01:00:00.000000000Z,3350,144.458,144.558,144.427,144.557,144.464,144.566,144.435,144.566,144.471,144.575,144.443,144.574,144.638625,
57,USD_JPY,2023-07-04T02:00:00.000000000Z,2419,144.554,144.639,144.552,144.584,144.563,144.647,144.562,144.592,144.572,144.655,144.570,144.601,144.622625,
58,USD_JPY,2023-07-04T03:00:00.000000000Z,2369,144.584,144.659,144.564,144.657,144.592,144.666,144.572,144.664,144.599,144.674,144.581,144.671,144.612375,
