,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_MXN,2023-07-11T18:00:00.000000000Z,4159,17.05948,17.07420,17.04640,17.05080,17.06149,17.07626,17.04824,17.05280,17.06350,17.07850,17.05008,17.05480,,
1,USD_MXN,2023-07-11T19:00:00.000000000Z,4132,17.05070,17.05890,17.04069,17.05862,17.05275,17.06086,17.04258,17.06032,17.05480,17.06281,17.04448,17.06203,,
2,USD_MXN,2023-07-11T20:00:00.000000000Z,1789,17.05849,17.06344,17.04210,17.04290,17.06026,17.06498,17.04470,17.04505,17.06203,17.06653,17.04641,17.04720,,
3,USD_MXN,2023-07-11T21:00:00.000000000Z,1270,17.04129,17.04696,17.01900,17.02266,17.04534,17.06473,17.03050,17.03454,17.04940,17.09240,17.03768,17.04642,,
4,USD_MXN,2023-07-11T22:00:00.000000000Z,745,17.02445,17.03910,17.02357,17.03570,17.03698,17.04290,17.02672,17.03955,17.04950,17.04950,17.02954,17.04340,,
5,USD_MXN,2023-07-11T23:00:00.000000000Z,681,17.03784,17.04490,17.03260,17.04100,17.04122,17.04744,17.03594,17.04395,17.04460,17.05025,17.03927,17.04690,,
6,USD_MXN,2023-07-12T00:00:00.000000000Z,2078,17.04110,17.04530,17.03080,17.04060,17.04396,17.04820,17.03374,17.04350,17.04681,17.05110,17.03668,17.04640,,
7,USD_MXN,2023-07-12T01:00:00.000000000Z,2594,17.04070,17.05090,17.03850,17.05030,17.04355,17.05337,17.04152,17.05302,17.04640,17.05604,17.04453,17.05573,17.04659125,
8,USD_MXN,2023-07-12T02:00:00.000000000Z,2257,17.05020,17.05120,17.02032,17.02660,17.05296,17.05348,17.02316,17.02965,17.05573,17.05597,17.02582,17.03270,17.0436975,
9,USD_MXN,2023-07-12T03:00:00.000000000Z,2320,17.02660,17.04788,17.02630,17.04650,17.02960,17.05062,17.02910,17.04895,17.03260,17.05343,17.03170,17.05140,17.04227625,
10,USD_MXN,2023-07-12T04:00:00.000000000Z,2230,17.04646,17.04700,17.03900,17.04480,17.04893,17.04915,17.04183,17.04736,17.05140,17.05160,17.04453,17.04991,17.042565,
11,USD_MXN,2023-07-12T05:00:00.000000000Z,2953,17.04490,17.06320,17.04140,17.05990,17.04740,17.06512,17.04440,17.06259,17.04991,17.06703,17.04700,17.06528,17.04607125,
12,USD_MXN,2023-07-12T06:00:00.000000000Z,3185,17.06000,17.06040,17.02280,17.02912,17.06264,17.06286,17.02532,17.03176,17.06528,17.06546,17.02760,17.03440,17.0450975,
13,USD_MXN,2023-07-12T07:00:00.000000000Z,4469,17.02912,17.05140,17.02240,17.02790,17.03151,17.05350,17.02510,17.03052,17.03390,17.05560,17.02700,17.03314,17.04341875,
