,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_NOK,2023-07-11T18:00:00.000000000Z,5115,10.35803,10.36785,10.35675,10.35715,10.35979,10.36972,10.35846,10.35880,10.36155,10.37163,10.36005,10.36045,,
1,USD_NOK,2023-07-11T19:00:00.000000000Z,4943,10.35705,10.35735,10.34918,10.35310,10.35875,10.35904,10.35088,10.35518,10.36045,10.36085,10.35258,10.35725,,
2,USD_NOK,2023-07-11T20:00:00.000000000Z,1713,10.35360,10.35505,10.34645,10.34880,10.35542,10.35782,10.35008,10.35212,10.35725,10.36075,10.35347,10.35545,,
3,USD_NOK,2023-07-11T21:00:00.000000000Z,171,10.34665,10.34665,10.34280,10.34392,10.34940,10.35342,10.34940,10.35074,10.35215,10.36113,10.35215,10.35756,,
4,USD_NOK,2023-07-11T22:00:00.000000000Z,2458,10.34825,10.35497,10.33407,10.34060,10.36675,10.36675,10.34183,10.34484,10.38525,10.38525,10.34831,10.34909,,
5,USD_NOK,2023-07-11T23:00:00.000000000Z,8040,10.34050,10.35015,10.33818,10.34695,10.34480,10.35336,10.34189,10.35024,10.34909,10.35672,10.34453,10.35354,,
6,USD_NOK,2023-07-12T00:00:00.000000000Z,12395,10.34705,10.35115,10.32610,10.33275,10.35030,10.35293,10.32888,10.33585,10.35354,10.35604,10.33165,10.33895,,
7,USD_NOK,2023-07-12T01:00:00.000000000Z,10893,10.33285,10.33335,10.30385,10.31152,10.33590,10.33622,10.30580,10.31394,10.33896,10.33912,10.30775,10.31637,10.34521375,
8,USD_NOK,2023-07-12T02:00:00.000000000Z,12121,10.31152,10.31445,10.29835,10.30255,10.31394,10.31684,10.30116,10.30556,10.31635,10.31968,10.30345,10.30858,10.33855875,
9,USD_NOK,2023-07-12T03:00:00.000000000Z,14025,10.30255,10.30886,10.30205,10.30811,10.30561,10.31117,10.30460,10.31052,10.30867,10.31448,10.30665,10.31293,10.33297625,
10,USD_NOK,2023-07-12T04:00:00.000000000Z,7011,10.30825,10.30885,10.29885,10.29943,10.31059,10.31113,10.30165,10.30219,10.31293,10.31343,10.30445,10.30495,10.326735,
11,USD_NOK,2023-07-12T05:00:00.000000000Z,8034,10.29957,10.32585,10.29955,10.31725,10.30231,10.32895,10.30220,10.31950,10.30505,10.33215,10.30485,10.32175,10.32283,
12,USD_NOK,2023-07-12T06:00:00.000000000Z,8947,10.31725,10.32545,10.30046,10.32153,10.31978,10.32757,10.30206,10.32464,10.32231,10.33015,10.30325,10.32776,10.320305000000001,
13,USD_NOK,2023-07-12T07:00:00.000000000Z,7348,10.32153,10.34758,10.31145,10.33517,10.32462,10.34886,10.31410,10.33718,10.32772,10.35026,10.31633,10.33918,10.3186725,
14,USD_NOK,2023-07-12T08:00:00.000000000Z,6725,10.33517,10.34153,10.31047,10.31591,10.33723,10.34334,10.31216,10.31756,10.33929,10.34520,10.31385,10.31920,10.316386249999999,
15,USD_NOK,2023-07-12T09:00:00.000000000Z,5026,10.31617,10.32778,10.29423,10.29502,10.31785,10.32946,10.29629,10.29716,10.31953,10.33113,10.29835,10.29931,10.314288750000001,
16,USD_NOK,2023-07-12T10:00:00.000000000Z,6373,10.29502,10.33595,10.29454,10.32567,10.29704,10.33740,10.29670,10.32725,10.29907,10.33888,10.29875,10.32883,10.317,
17,USD_NOK,2023-07-12T11:00:00.000000000Z,9363,10.32544,10.33035,10.28118,10.28705,10.32714,10.33191,10.28288,10.28854,10.32883,10.33349,10.28459,10.29003,10.314252499999998,
18,USD_NOK,2023-07-12T12:00:00.000000000Z,20264,10.28654,10.29275,10.17508,10.21849,10.28822,10.29432,10.17675,10.22006,10.28990,10.29608,10.17835,10.22162,10.30398625,
