,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_PLN,2023-06-29T17:00:00.000000000Z,1348,4.08510,4.08730,4.08440,4.08683,4.08596,4.08826,4.08526,4.08784,4.08682,4.08937,4.08608,4.08884,,
1,USD_PLN,2023-06-29T18:00:00.000000000Z,1869,4.08680,4.08950,4.08243,4.08820,4.08796,4.09056,4.08366,4.08906,4.08912,4.09163,4.08490,4.08993,,
2,USD_PLN,2023-06-29T19:00:00.000000000Z,1689,4.08810,4.09232,4.08650,4.09216,4.08901,4.09352,4.08760,4.09329,4.08992,4.09492,4.08871,4.09442,,
3,USD_PLN,2023-06-29T20:00:00.000000000Z,765,4.09217,4.09398,4.09170,4.09260,4.09341,4.09537,4.09310,4.09450,4.09465,4.09678,4.09443,4.09640,,
4,USD_PLN,2023-06-29T21:00:00.000000000Z,176,4.09221,4.09221,4.08105,4.08830,4.09416,4.09416,4.08830,4.09230,4.09610,4.09740,4.09330,4.09630,,
5,USD_PLN,2023-06-29T22:00:00.000000000Z,773,4.08830,4.09534,4.08550,4.09528,4.09270,4.09729,4.09095,4.09694,4.09710,4.09948,4.09460,4.09860,,
6,USD_PLN,2023-06-29T23:00:00.000000000Z,731,4.09459,4.09493,4.08610,4.08770,4.09660,4.09736,4.08821,4.08893,4.09860,4.09983,4.09016,4.09016,,
7,USD_PLN,2023-06-30T00:00:00.000000000Z,1428,4.08720,4.09060,4.08569,4.08740,4.08844,4.09162,4.08718,4.08842,4.08969,4.09263,4.08827,4.08943,4.09141,
8,USD_PLN,2023-06-30T01:00:00.000000000Z,1967,4.08730,4.09400,4.08582,4.09360,4.08836,4.09516,4.08707,4.09480,4.08943,4.09631,4.08815,4.09599,4.09228,
9,USD_PLN,2023-06-30T02:00:00.000000000Z,1299,4.09370,4.09370,4.08930,4.09220,4.09484,4.09484,4.09055,4.09325,4.09599,4.09599,4.09180,4.09430,4.09280375,
