,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_SEK,2023-06-29T16:00:00.000000000Z,5499,10.85215,10.86332,10.84265,10.85745,10.85430,10.86498,10.84436,10.85900,10.85646,10.86670,10.84606,10.86054,,
1,USD_SEK,2023-06-29T17:00:00.000000000Z,3152,10.85730,10.86649,10.85660,10.86333,10.85884,10.86798,10.85828,10.86494,10.86039,10.86948,10.85995,10.86655,,
2,USD_SEK,2023-06-29T18:00:00.000000000Z,4939,10.86333,10.86767,10.85765,10.86124,10.86489,10.86912,10.85930,10.86274,10.86645,10.87097,10.86095,10.86425,,
3,USD_SEK,2023-06-29T19:00:00.000000000Z,4178,10.86124,10.86575,10.85885,10.86100,10.86310,10.86732,10.86075,10.86248,10.86495,10.86916,10.86265,10.86395,,
4,USD_SEK,2023-06-29T20:00:00.000000000Z,3529,10.86101,10.86425,10.85555,10.86016,10.86258,10.86690,10.85790,10.86360,10.86415,10.87296,10.86015,10.86705,,
5,USD_SEK,2023-06-29T21:00:00.000000000Z,24,10.85945,10.86405,10.85945,10.86405,10.86400,10.88275,10.86400,10.88240,10.86855,10.90150,10.86855,10.90075,,
6,USD_SEK,2023-06-29T22:00:00.000000000Z,5370,10.86405,10.86715,10.85597,10.86165,10.87934,10.88240,10.86301,10.86742,10.89463,10.90075,10.86795,10.87320,,
7,USD_SEK,2023-06-29T23:00:00.000000000Z,3650,10.86135,10.86485,10.85615,10.86004,10.86727,10.86980,10.86130,10.86272,10.87319,10.87625,10.86501,10.86540,10.8656625,
8,USD_SEK,2023-06-30T00:00:00.000000000Z,2935,10.86004,10.86671,10.85225,10.85267,10.86273,10.86903,10.85465,10.85516,10.86542,10.87161,10.85685,10.85765,10.865182500000001,
9,USD_SEK,2023-06-30T01:00:00.000000000Z,4333,10.85267,10.86325,10.84521,10.86226,10.85511,10.86576,10.84808,10.86450,10.85755,10.86835,10.85085,10.86673,10.8651275,
10,USD_SEK,2023-06-30T02:00:00.000000000Z,3357,10.86245,10.86255,10.84885,10.85415,10.86458,10.86480,10.85168,10.85636,10.86672,10.86746,10.85365,10.85858,10.864329999999999,
11,USD_SEK,2023-06-30T03:00:00.000000000Z,4124,10.85415,10.85585,10.84625,10.85035,10.85648,10.85718,10.84899,10.85286,10.85880,10.86010,10.85162,10.85538,10.8631275,
12,USD_SEK,2023-06-30T04:00:00.000000000Z,4323,10.85035,10.85655,10.84715,10.85015,10.85285,10.85735,10.85000,10.85275,10.85535,10.85955,10.85215,10.85535,10.86177125,
13,USD_SEK,2023-06-30T05:00:00.000000000Z,11062,10.85025,10.86185,10.84495,10.85425,10.85277,10.86360,10.84705,10.85716,10.85529,10.86545,10.84915,10.86006,10.85861625,
14,USD_SEK,2023-06-30T06:00:00.000000000Z,6613,10.85465,10.87210,10.85435,10.86205,10.85735,10.87462,10.85705,10.86400,10.86005,10.87755,10.85941,10.86595,10.85818875,
15,USD_SEK,2023-06-30T07:00:00.000000000Z,7172,10.86195,10.87637,10.84655,10.87118,10.86375,10.87818,10.84802,10.87364,10.86555,10.88083,10.84943,10.87611,10.859553750000002,
16,USD_SEK,2023-06-30T08:00:00.000000000Z,7181,10.87115,10.90824,10.86987,10.89085,10.87363,10.90981,10.87244,10.89408,10.87611,10.91138,10.87439,10.89732,10.864418749999999,
17,USD_SEK,2023-06-30T09:00:00.000000000Z,5327,10.89065,10.89469,10.87669,10.87922,10.89398,10.89923,10.87848,10.88114,10.89732,10.90915,10.88026,10.88305,10.86649875,
18,USD_SEK,2023-06-30T10:00:00.000000000Z,3778,10.87911,10.89337,10.87577,10.88309,10.88108,10.89491,10.87745,10.88428,10.88305,10.89645,10.87912,10.88548,10.86998875,
19,USD_SEK,2023-06-30T11:00:00.000000000Z,5694,10.88309,10.88935,10.86815,10.87989,10.88442,10.89035,10.86908,10.88117,10.88574,10.89161,10.86997,10.88245,10.8735275,
20,USD_SEK,2023-06-30T12:00:00.000000000Z,9403,10.87969,10.88049,10.81528,10.81694,10.88107,10.88194,10.81700,10.81804,10.88245,10.88343,10.81871,10.81915,10.86918875,
21,USD_SEK,2023-06-30T13:00:00.000000000Z,11236,10.81694,10.83035,10.78597,10.78935,10.81824,10.83125,10.78806,10.79184,10.81955,10.83270,10.79015,10.79433,10.861023750000001,
22,USD_SEK,2023-06-30T14:00:00.000000000Z,11063,10.78915,10.80797,10.77067,10.80095,10.79165,10.80950,10.77212,10.80205,10.79415,10.81115,10.77357,10.80315,10.85328,
23,USD_SEK,2023-06-30T15:00:00.000000000Z,8285,10.80088,10.80558,10.77727,10.78225,10.80202,10.80695,10.77889,10.78356,10.80315,10.80845,10.78025,10.78487,10.84202,
