,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_SGD,2023-07-11T18:00:00.000000000Z,940,1.34117,1.34153,1.34099,1.34103,1.34127,1.34163,1.34108,1.34112,1.34137,1.34173,1.34117,1.34121,,
1,USD_SGD,2023-07-11T19:00:00.000000000Z,848,1.34104,1.34134,1.34076,1.34078,1.34112,1.34144,1.34086,1.34088,1.34121,1.34154,1.34095,1.34097,,
2,USD_SGD,2023-07-11T20:00:00.000000000Z,402,1.34077,1.34102,1.34065,1.34082,1.34087,1.34112,1.34075,1.34092,1.34097,1.34124,1.34084,1.34103,,
3,USD_SGD,2023-07-11T21:00:00.000000000Z,100,1.34088,1.34103,1.34083,1.34086,1.34102,1.34121,1.34100,1.34110,1.34116,1.34141,1.34113,1.34135,,
4,USD_SGD,2023-07-11T22:00:00.000000000Z,361,1.34088,1.34104,1.34048,1.34053,1.34112,1.34117,1.34062,1.34062,1.34135,1.34135,1.34070,1.34071,,
5,USD_SGD,2023-07-11T23:00:00.000000000Z,242,1.34053,1.34058,1.34019,1.34028,1.34063,1.34068,1.34026,1.34036,1.34073,1.34078,1.34034,1.34045,,
6,USD_SGD,2023-07-12T00:00:00.000000000Z,2701,1.34025,1.34034,1.33817,1.33917,1.34034,1.34042,1.33825,1.33924,1.34042,1.34050,1.33833,1.33932,,
7,USD_SGD,2023-07-12T01:00:00.000000000Z,2424,1.33918,1.33920,1.33773,1.33814,1.33925,1.33928,1.33782,1.33822,1.33932,1.33935,1.33792,1.33831,1.3403075,
8,USD_SGD,2023-07-12T02:00:00.000000000Z,2100,1.33819,1.33884,1.33685,1.33706,1.33827,1.33891,1.33694,1.33715,1.33835,1.33898,1.33704,1.33724,1.33981125,
9,USD_SGD,2023-07-12T03:00:00.000000000Z,1207,1.33706,1.33788,1.33706,1.33776,1.33714,1.33796,1.33714,1.33784,1.33723,1.33805,1.33723,1.33793,1.3394312499999999,
10,USD_SGD,2023-07-12T04:00:00.000000000Z,1307,1.33777,1.33786,1.33718,1.33726,1.33786,1.33794,1.33726,1.33734,1.33796,1.33803,1.33734,1.33743,1.3389837500000001,
11,USD_SGD,2023-07-12T05:00:00.000000000Z,1793,1.33727,1.33791,1.33725,1.33773,1.33735,1.33800,1.33734,1.33782,1.33743,1.33810,1.33741,1.33792,1.33857375,
