,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_THB,2023-06-29T17:00:00.000000000Z,159,35.579,35.621,35.579,35.619,35.591,35.633,35.591,35.631,35.603,35.646,35.603,35.643,,
1,USD_THB,2023-06-29T18:00:00.000000000Z,128,35.620,35.622,35.603,35.621,35.632,35.636,35.614,35.632,35.645,35.651,35.626,35.642,,
2,USD_THB,2023-06-29T19:00:00.000000000Z,116,35.621,35.621,35.598,35.602,35.632,35.632,35.610,35.614,35.644,35.644,35.621,35.627,,
3,USD_THB,2023-06-29T20:00:00.000000000Z,212,35.603,35.613,35.577,35.606,35.615,35.635,35.611,35.627,35.627,35.663,35.627,35.648,,
4,USD_THB,2023-06-29T21:00:00.000000000Z,21,35.592,35.614,35.526,35.526,35.632,35.642,35.599,35.600,35.673,35.673,35.656,35.673,,
5,USD_THB,2023-06-29T22:00:00.000000000Z,41,35.526,35.601,35.523,35.589,35.600,35.630,35.592,35.621,35.675,35.675,35.650,35.653,,
6,USD_THB,2023-06-29T23:00:00.000000000Z,51,35.590,35.629,35.588,35.627,35.622,35.651,35.620,35.649,35.653,35.673,35.650,35.671,,
7,USD_THB,2023-06-30T00:00:00.000000000Z,338,35.627,35.687,35.623,35.639,35.648,35.696,35.634,35.648,35.669,35.706,35.644,35.656,35.62775,
8,USD_THB,2023-06-30T01:00:00.000000000Z,589,35.638,35.705,35.594,35.661,35.648,35.714,35.605,35.671,35.657,35.723,35.615,35.681,35.63275,
9,USD_THB,2023-06-30T02:00:00.000000000Z,450,35.660,35.666,35.613,35.651,35.671,35.674,35.624,35.660,35.682,35.684,35.633,35.669,35.63625,
10,USD_THB,2023-06-30T03:00:00.000000000Z,355,35.654,35.654,35.625,35.643,35.662,35.662,35.634,35.652,35.671,35.672,35.644,35.662,35.641000000000005,
11,USD_THB,2023-06-30T04:00:00.000000000Z,346,35.641,35.649,35.625,35.626,35.650,35.658,35.635,35.635,35.660,35.668,35.644,35.644,35.642,
12,USD_THB,2023-06-30T05:00:00.000000000Z,267,35.625,35.630,35.604,35.620,35.635,35.640,35.614,35.630,35.645,35.650,35.624,35.639,35.64575,
13,USD_THB,2023-06-30T06:00:00.000000000Z,599,35.618,35.652,35.504,35.514,35.628,35.661,35.514,35.524,35.639,35.670,35.523,35.534,35.633625,
14,USD_THB,2023-06-30T07:00:00.000000000Z,771,35.516,35.555,35.449,35.515,35.524,35.565,35.460,35.525,35.533,35.575,35.471,35.535,35.618125,
15,USD_THB,2023-06-30T08:00:00.000000000Z,656,35.512,35.548,35.485,35.486,35.522,35.558,35.496,35.496,35.532,35.569,35.505,35.505,35.599125,
16,USD_THB,2023-06-30T09:00:00.000000000Z,487,35.487,35.496,35.406,35.447,35.498,35.507,35.416,35.456,35.508,35.518,35.425,35.464,35.57225,
17,USD_THB,2023-06-30T10:00:00.000000000Z,233,35.448,35.453,35.406,35.412,35.457,35.463,35.416,35.421,35.466,35.473,35.425,35.430,35.542375,
18,USD_THB,2023-06-30T11:00:00.000000000Z,214,35.409,35.424,35.409,35.414,35.418,35.434,35.418,35.423,35.428,35.444,35.428,35.432,35.51375,
19,USD_THB,2023-06-30T12:00:00.000000000Z,417,35.414,35.422,35.338,35.345,35.424,35.434,35.349,35.353,35.434,35.466,35.360,35.361,35.478500000000004,
20,USD_THB,2023-06-30T13:00:00.000000000Z,526,35.347,35.360,35.291,35.291,35.355,35.368,35.314,35.314,35.363,35.379,35.326,35.336,35.439,
21,USD_THB,2023-06-30T14:00:00.000000000Z,718,35.290,35.347,35.241,35.320,35.314,35.357,35.252,35.330,35.337,35.367,35.263,35.340,35.41475,
22,USD_THB,2023-06-30T15:00:00.000000000Z,326,35.317,35.337,35.289,35.298,35.326,35.348,35.302,35.308,35.335,35.359,35.313,35.318,35.387625,
23,USD_THB,2023-06-30T16:00:00.000000000Z,123,35.298,35.300,35.282,35.293,35.308,35.312,35.296,35.304,35.319,35.325,35.309,35.314,35.363625,
24,USD_THB,2023-06-30T17:00:00.000000000Z,67,35.291,35.292,35.259,35.284,35.302,35.306,35.272,35.297,35.313,35.319,35.284,35.310,35.34375,
25,USD_THB,2023-06-30T18:00:00.000000000Z,16,35.284,35.289,35.276,35.288,35.296,35.302,35.293,35.302,35.309,35.317,35.309,35.317,35.328875,
26,USD_THB,2023-06-30T19:00:00.000000000Z,181,35.287,35.315,35.287,35.304,35.302,35.328,35.302,35.318,35.318,35.342,35.316,35.333,35.31575,
27,USD_THB,2023-06-30T20:00:00.000000000Z,80,35.304,35.317,35.253,35.256,35.319,35.336,35.282,35.284,35.334,35.382,35.303,35.313,35.307125,
28,USD_THB,2023-07-02T21:00:00.000000000Z,14,35.241,35.258,35.240,35.243,35.312,35.338,35.312,35.326,35.382,35.423,35.382,35.408,35.308625,
29,USD_THB,2023-07-02T22:00:00.000000000Z,60,35.240,35.273,35.226,35.262,35.329,35.329,35.281,35.288,35.418,35.418,35.313,35.313,35.303375,
30,USD_THB,2023-07-02T23:00:00.000000000Z,59,35.261,35.303,35.261,35.289,35.288,35.314,35.288,35.304,35.314,35.327,35.314,35.320,35.302875,
31,USD_THB,2023-07-03T00:00:00.000000000Z,306,35.289,35.303,35.244,35.299,35.302,35.313,35.255,35.310,35.314,35.323,35.266,35.321,35.303625,
32,USD_THB,2023-07-03T01:00:00.000000000Z,665,35.303,35.303,35.183,35.194,35.314,35.314,35.195,35.204,35.324,35.324,35.204,35.213,35.292,
33,USD_THB,2023-07-03T02:00:00.000000000Z,585,35.197,35.197,35.120,35.164,35.206,35.206,35.132,35.174,35.215,35.215,35.145,35.184,35.275999999999996,
34,USD_THB,2023-07-03T03:00:00.000000000Z,415,35.163,35.201,35.131,35.147,35.174,35.210,35.142,35.156,35.184,35.219,35.151,35.166,35.25575,
35,USD_THB,2023-07-03T04:00:00.000000000Z,359,35.149,35.159,35.132,35.135,35.158,35.168,35.142,35.144,35.168,35.177,35.152,35.154,35.23825,
36,USD_THB,2023-07-03T05:00:00.000000000Z,407,35.137,35.179,35.134,35.177,35.146,35.188,35.144,35.186,35.155,35.199,35.154,35.194,35.22075,
37,USD_THB,2023-07-03T06:00:00.000000000Z,580,35.174,35.228,35.162,35.175,35.184,35.237,35.173,35.185,35.193,35.246,35.184,35.195,35.207875,
38,USD_THB,2023-07-03T07:00:00.000000000Z,775,35.172,35.192,35.154,35.180,35.181,35.202,35.164,35.190,35.190,35.212,35.173,35.199,35.193625000000004,
39,USD_THB,2023-07-03T08:00:00.000000000Z,605,35.182,35.209,35.170,35.184,35.192,35.218,35.180,35.193,35.201,35.228,35.189,35.202,35.179,
