,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,USD_TRY,2023-06-29T16:00:00.000000000Z,432,26.05135,26.05307,26.00478,26.01400,26.06016,26.06290,26.03947,26.04122,26.06896,26.08375,26.06310,26.06845,,
1,USD_TRY,2023-06-29T17:00:00.000000000Z,117,26.01303,26.04070,26.01081,26.04040,26.04074,26.06272,26.03138,26.06258,26.06845,26.09947,26.04460,26.08475,,
2,USD_TRY,2023-06-29T18:00:00.000000000Z,176,26.04040,26.04040,26.00969,26.03935,26.06302,26.06940,26.05410,26.06910,26.08565,26.09947,26.08335,26.09884,,
3,USD_TRY,2023-06-29T19:00:00.000000000Z,458,26.01337,26.03985,26.01001,26.03350,26.05610,26.09519,26.04275,26.06200,26.09883,26.15688,26.05925,26.09050,,
4,USD_TRY,2023-06-29T20:00:00.000000000Z,405,26.03350,26.04550,25.90812,25.95425,26.06198,26.10319,26.03450,26.06730,26.09047,26.18155,26.06900,26.18035,,
5,USD_TRY,2023-06-29T21:00:00.000000000Z,10,26.04000,26.04050,25.92920,26.04050,26.06062,26.06145,26.04473,26.06145,26.08125,26.16026,26.08025,26.08240,,
6,USD_TRY,2023-06-29T22:00:00.000000000Z,627,26.04050,26.04050,26.00096,26.04050,26.06055,26.13712,26.05508,26.05900,26.08060,26.23373,26.06965,26.07750,,
7,USD_TRY,2023-06-29T23:00:00.000000000Z,206,26.00728,26.04050,26.00112,26.04000,26.04239,26.07304,26.03931,26.05875,26.07750,26.14049,26.07750,26.07750,26.060175,
8,USD_TRY,2023-06-30T00:00:00.000000000Z,457,25.94850,26.04000,25.94850,25.99450,26.01300,26.07450,26.01300,26.03600,26.07750,26.14181,26.07750,26.07750,26.0595225,
9,USD_TRY,2023-06-30T01:00:00.000000000Z,991,26.04000,26.04000,25.98020,25.98529,26.05875,26.07198,26.05875,26.06500,26.07750,26.15150,26.07750,26.14472,26.059825,
10,USD_TRY,2023-06-30T02:00:00.000000000Z,958,25.98529,26.04000,25.97936,26.00765,26.06502,26.07172,26.04728,26.04728,26.14474,26.15150,26.08690,26.08690,26.0570975,
11,USD_TRY,2023-06-30T03:00:00.000000000Z,553,25.98625,26.04000,25.97685,26.04000,26.06888,26.07246,26.04728,26.06345,26.15150,26.16017,26.08565,26.08690,26.05727875,
12,USD_TRY,2023-06-30T04:00:00.000000000Z,156,26.04000,26.04000,25.97623,25.98301,26.06300,26.06864,26.05958,26.06677,26.08600,26.15382,26.08600,26.15053,26.057212500000002,
13,USD_TRY,2023-06-30T05:00:00.000000000Z,245,25.98343,26.05350,25.97655,26.02091,26.06698,26.08044,26.05895,26.07549,26.15053,26.16036,26.07750,26.13007,26.0589675,
14,USD_TRY,2023-06-30T06:00:00.000000000Z,659,26.02094,26.05350,26.01473,26.01938,26.07684,26.07840,26.04534,26.04772,26.13273,26.13814,26.05215,26.07606,26.0575575,
15,USD_TRY,2023-06-30T07:00:00.000000000Z,597,26.01784,26.07350,26.01720,26.06085,26.04698,26.07744,26.04668,26.06562,26.07613,26.09137,26.06508,26.07038,26.05841625,
16,USD_TRY,2023-06-30T08:00:00.000000000Z,515,26.06016,26.06775,26.05384,26.06775,26.06527,26.07849,26.05918,26.07160,26.07038,26.09040,26.06441,26.07546,26.06286625,
