,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,WHEAT_USD,2023-06-21T14:00:00.000000000Z,1956,7.207,7.246,7.161,7.176,7.214,7.252,7.168,7.181,7.220,7.259,7.173,7.186,,
1,WHEAT_USD,2023-06-21T15:00:00.000000000Z,1111,7.175,7.254,7.173,7.222,7.182,7.260,7.178,7.227,7.188,7.267,7.183,7.232,,
2,WHEAT_USD,2023-06-21T16:00:00.000000000Z,1007,7.222,7.251,7.197,7.237,7.228,7.256,7.203,7.242,7.235,7.262,7.208,7.247,,
3,WHEAT_USD,2023-06-21T17:00:00.000000000Z,897,7.234,7.295,7.232,7.295,7.240,7.302,7.237,7.302,7.247,7.308,7.242,7.308,,
4,WHEAT_USD,2023-06-21T18:00:00.000000000Z,414,7.298,7.315,7.293,7.312,7.303,7.322,7.298,7.318,7.308,7.328,7.303,7.325,,
5,WHEAT_USD,2023-06-22T00:00:00.000000000Z,374,7.252,7.289,7.244,7.286,7.258,7.294,7.250,7.291,7.265,7.301,7.257,7.296,,
6,WHEAT_USD,2023-06-22T01:00:00.000000000Z,151,7.284,7.313,7.281,7.304,7.290,7.318,7.286,7.309,7.297,7.324,7.291,7.314,,
7,WHEAT_USD,2023-06-22T02:00:00.000000000Z,95,7.301,7.301,7.274,7.282,7.308,7.308,7.279,7.287,7.314,7.314,7.284,7.292,7.269625,
8,WHEAT_USD,2023-06-22T03:00:00.000000000Z,74,7.281,7.284,7.272,7.272,7.288,7.289,7.277,7.277,7.294,7.294,7.282,7.282,7.281625,
9,WHEAT_USD,2023-06-22T04:00:00.000000000Z,85,7.269,7.277,7.242,7.248,7.276,7.282,7.248,7.253,7.282,7.287,7.253,7.258,7.2848749999999995,
10,WHEAT_USD,2023-06-22T05:00:00.000000000Z,116,7.245,7.267,7.242,7.250,7.252,7.274,7.248,7.255,7.258,7.280,7.255,7.260,7.2865,
11,WHEAT_USD,2023-06-22T06:00:00.000000000Z,128,7.253,7.253,7.235,7.243,7.258,7.258,7.240,7.250,7.263,7.263,7.245,7.256,7.28,
12,WHEAT_USD,2023-06-22T07:00:00.000000000Z,245,7.243,7.275,7.243,7.272,7.248,7.280,7.248,7.277,7.253,7.285,7.253,7.282,7.274875,
13,WHEAT_USD,2023-06-22T08:00:00.000000000Z,250,7.270,7.307,7.260,7.294,7.276,7.312,7.266,7.299,7.283,7.319,7.272,7.304,7.275875,
14,WHEAT_USD,2023-06-22T09:00:00.000000000Z,316,7.292,7.307,7.243,7.265,7.298,7.312,7.248,7.270,7.305,7.319,7.253,7.275,7.271000000000001,
15,WHEAT_USD,2023-06-22T10:00:00.000000000Z,401,7.265,7.265,7.223,7.240,7.272,7.272,7.229,7.246,7.278,7.278,7.234,7.253,7.265874999999999,
16,WHEAT_USD,2023-06-22T11:00:00.000000000Z,356,7.238,7.260,7.231,7.245,7.244,7.265,7.236,7.252,7.251,7.271,7.241,7.258,7.2627500000000005,
17,WHEAT_USD,2023-06-22T12:00:00.000000000Z,440,7.246,7.260,7.226,7.248,7.251,7.265,7.234,7.256,7.256,7.271,7.239,7.263,7.2631250000000005,
18,WHEAT_USD,2023-06-22T13:00:00.000000000Z,1221,7.251,7.388,7.243,7.373,7.258,7.393,7.248,7.378,7.266,7.398,7.253,7.383,7.2785,
19,WHEAT_USD,2023-06-22T14:00:00.000000000Z,1726,7.373,7.437,7.275,7.287,7.380,7.442,7.280,7.292,7.386,7.447,7.285,7.297,7.28375,
20,WHEAT_USD,2023-06-22T15:00:00.000000000Z,1586,7.285,7.336,7.251,7.334,7.292,7.342,7.256,7.340,7.300,7.349,7.261,7.347,7.291625,
21,WHEAT_USD,2023-06-22T16:00:00.000000000Z,1111,7.336,7.376,7.314,7.351,7.341,7.382,7.320,7.356,7.346,7.388,7.327,7.361,7.29875,
22,WHEAT_USD,2023-06-22T17:00:00.000000000Z,824,7.348,7.388,7.329,7.339,7.354,7.393,7.336,7.344,7.361,7.398,7.342,7.349,7.308000000000001,
