,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,WTICO_USD,2023-04-20T17:00:00.000000000Z,6369,77.652,77.987,77.022,77.132,77.667,78.002,77.037,77.147,77.682,78.017,77.052,77.162,,
1,WTICO_USD,2023-04-20T21:00:00.000000000Z,766,77.152,77.232,77.057,77.212,77.167,77.247,77.072,77.227,77.182,77.262,77.087,77.242,,
2,WTICO_USD,2023-04-21T01:00:00.000000000Z,3414,77.222,77.467,77.067,77.302,77.237,77.482,77.082,77.317,77.252,77.497,77.097,77.332,,
3,WTICO_USD,2023-04-21T05:00:00.000000000Z,6991,77.307,77.547,76.722,77.347,77.322,77.562,76.737,77.362,77.337,77.577,76.752,77.377,,
4,WTICO_USD,2023-04-21T09:00:00.000000000Z,6816,77.352,77.937,77.162,77.697,77.367,77.952,77.177,77.712,77.382,77.967,77.192,77.727,,
5,WTICO_USD,2023-04-21T13:00:00.000000000Z,16153,77.702,78.377,77.297,77.662,77.717,78.392,77.312,77.677,77.732,78.407,77.327,77.692,,
6,WTICO_USD,2023-04-21T17:00:00.000000000Z,5145,77.657,77.987,77.507,77.952,77.672,78.002,77.522,77.967,77.687,78.017,77.537,77.982,,
7,WTICO_USD,2023-04-23T21:00:00.000000000Z,1392,77.896,77.896,77.346,77.416,77.911,77.911,77.361,77.431,77.926,77.926,77.376,77.446,77.48,
8,WTICO_USD,2023-04-24T01:00:00.000000000Z,3398,77.421,77.586,76.961,76.991,77.436,77.601,76.976,77.006,77.451,77.616,76.991,77.021,77.462375,
9,WTICO_USD,2023-04-24T05:00:00.000000000Z,6111,76.996,77.976,76.716,77.836,77.011,77.991,76.731,77.851,77.026,78.006,76.746,77.866,77.540375,
10,WTICO_USD,2023-04-24T09:00:00.000000000Z,5175,77.851,77.881,77.186,77.226,77.866,77.896,77.201,77.241,77.881,77.911,77.216,77.256,77.530875,
11,WTICO_USD,2023-04-24T13:00:00.000000000Z,17596,77.221,79.031,76.946,78.816,77.236,79.046,76.961,78.831,77.251,79.061,76.976,78.846,77.7145,
12,WTICO_USD,2023-04-24T17:00:00.000000000Z,5301,78.811,79.166,78.641,78.676,78.826,79.181,78.656,78.691,78.841,79.196,78.671,78.706,77.836875,
13,WTICO_USD,2023-04-24T21:00:00.000000000Z,775,78.691,78.836,78.566,78.826,78.706,78.851,78.581,78.841,78.721,78.866,78.596,78.856,77.982375,
14,WTICO_USD,2023-04-25T01:00:00.000000000Z,2800,78.821,79.046,78.636,78.731,78.836,79.061,78.651,78.746,78.851,79.076,78.666,78.761,78.07975,
15,WTICO_USD,2023-04-25T05:00:00.000000000Z,7242,78.726,79.056,78.486,78.871,78.741,79.071,78.501,78.886,78.756,79.086,78.516,78.901,78.261625,
16,WTICO_USD,2023-04-25T09:00:00.000000000Z,7341,78.876,78.876,77.851,77.941,78.891,78.891,77.866,77.956,78.906,78.906,77.881,77.971,78.380375,
17,WTICO_USD,2023-04-25T13:00:00.000000000Z,18762,77.956,78.106,76.511,77.221,77.971,78.121,76.526,77.236,77.986,78.136,76.541,77.251,78.3035,
18,WTICO_USD,2023-04-25T17:00:00.000000000Z,6855,77.211,77.316,76.716,77.111,77.226,77.331,76.731,77.126,77.241,77.346,76.746,77.141,78.289125,
19,WTICO_USD,2023-04-25T21:00:00.000000000Z,1137,77.131,77.416,77.101,77.416,77.146,77.431,77.121,77.431,77.161,77.446,77.141,77.446,78.114125,
20,WTICO_USD,2023-04-26T01:00:00.000000000Z,3729,77.401,77.616,76.996,77.576,77.416,77.631,77.011,77.591,77.431,77.646,77.026,77.606,77.976625,
21,WTICO_USD,2023-04-26T05:00:00.000000000Z,8058,77.581,77.916,77.101,77.731,77.596,77.931,77.116,77.746,77.611,77.946,77.131,77.761,77.83975,
22,WTICO_USD,2023-04-26T09:00:00.000000000Z,10653,77.746,77.831,76.351,76.386,77.761,77.846,76.366,76.401,77.776,77.861,76.381,76.416,77.54662499999999,
23,WTICO_USD,2023-04-26T13:00:00.000000000Z,20964,76.381,77.191,75.625,76.300,76.396,77.211,75.640,76.315,76.411,77.231,75.655,76.330,77.22525,
24,WTICO_USD,2023-04-26T17:00:00.000000000Z,10785,76.315,76.520,74.045,74.345,76.330,76.535,74.060,74.360,76.345,76.550,74.075,74.375,76.77575,
25,WTICO_USD,2023-04-26T21:00:00.000000000Z,1478,74.430,74.575,74.245,74.515,74.445,74.590,74.260,74.530,74.460,74.605,74.275,74.545,76.4375,
26,WTICO_USD,2023-04-27T01:00:00.000000000Z,3879,74.525,74.575,74.340,74.445,74.540,74.590,74.355,74.460,74.555,74.605,74.370,74.475,76.10425000000001,
27,WTICO_USD,2023-04-27T05:00:00.000000000Z,8433,74.450,74.825,74.320,74.615,74.465,74.840,74.335,74.630,74.480,74.855,74.350,74.645,75.75412499999999,
28,WTICO_USD,2023-04-27T09:00:00.000000000Z,9320,74.595,74.710,74.225,74.490,74.610,74.725,74.240,74.505,74.625,74.740,74.255,74.520,75.36837499999999,
29,WTICO_USD,2023-04-27T13:00:00.000000000Z,20023,74.505,75.265,74.025,74.855,74.520,75.280,74.040,74.870,74.535,75.295,74.055,74.885,75.00887499999999,
30,WTICO_USD,2023-04-27T17:00:00.000000000Z,7461,74.845,75.165,74.315,74.810,74.860,75.180,74.330,74.825,74.875,75.195,74.345,74.840,74.811875,
