,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAG_AUD,2023-04-20T17:00:00.000000000Z,3193,37.40132,37.54014,37.37512,37.49564,37.41382,37.55267,37.38762,37.50816,37.42631,37.56520,37.40011,37.52067,,
1,XAG_AUD,2023-04-20T21:00:00.000000000Z,1632,37.47369,37.49026,37.38006,37.44623,37.48676,37.50334,37.39258,37.45874,37.49983,37.51641,37.40510,37.47126,,
2,XAG_AUD,2023-04-21T01:00:00.000000000Z,3661,37.44994,37.60263,37.40517,37.48348,37.46246,37.61518,37.41796,37.49605,37.47497,37.62774,37.43075,37.50862,,
3,XAG_AUD,2023-04-21T05:00:00.000000000Z,5895,37.48765,37.58351,37.27885,37.57597,37.50022,37.59613,37.29146,37.58859,37.51279,37.60875,37.30406,37.60121,,
4,XAG_AUD,2023-04-21T09:00:00.000000000Z,5025,37.57372,37.67226,37.44668,37.62608,37.58634,37.68486,37.45930,37.63896,37.59896,37.69745,37.47191,37.65183,,
5,XAG_AUD,2023-04-21T13:00:00.000000000Z,14220,37.62693,37.84362,37.23458,37.29874,37.63952,37.85622,37.24719,37.31134,37.65212,37.86882,37.25980,37.32395,,
6,XAG_AUD,2023-04-21T17:00:00.000000000Z,3602,37.29523,37.47936,37.29069,37.46872,37.30784,37.49281,37.30330,37.48665,37.32044,37.52364,37.31590,37.50458,,
7,XAG_AUD,2023-04-23T21:00:00.000000000Z,2434,37.44188,37.56293,37.39167,37.43092,37.45505,37.57556,37.40432,37.44352,37.46822,37.58834,37.41694,37.45613,37.49150125,
8,XAG_AUD,2023-04-24T01:00:00.000000000Z,4643,37.42664,37.49445,37.20836,37.26766,37.43924,37.50706,37.22098,37.28030,37.45185,37.51967,37.23360,37.29293,37.46301875,
9,XAG_AUD,2023-04-24T05:00:00.000000000Z,5411,37.27050,37.45053,37.15178,37.44178,37.28314,37.46316,37.16442,37.45440,37.29577,37.47578,37.17706,37.46701,37.462476249999995,
10,XAG_AUD,2023-04-24T09:00:00.000000000Z,4027,37.44290,37.55684,37.41076,37.47289,37.45580,37.56947,37.42364,37.48551,37.46870,37.58210,37.43653,37.49813,37.46115875,
