,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAG_CAD,2023-07-11T01:00:00.000000000Z,2276,30.70124,30.91527,30.69229,30.72152,30.71188,30.92580,30.70282,30.73228,30.72253,30.93634,30.71335,30.74305,,
1,XAG_CAD,2023-07-11T02:00:00.000000000Z,1845,30.72129,30.79232,30.71614,30.78509,30.73217,30.80284,30.72702,30.79573,30.74305,30.81337,30.73790,30.80637,,
2,XAG_CAD,2023-07-11T03:00:00.000000000Z,895,30.78510,30.80892,30.75581,30.77679,30.79586,30.81944,30.76634,30.78756,30.80661,30.83020,30.77687,30.79832,,
3,XAG_CAD,2023-07-11T04:00:00.000000000Z,1630,30.77725,30.84052,30.77211,30.84052,30.78790,30.85117,30.78276,30.85105,30.79854,30.86182,30.79341,30.86158,,
4,XAG_CAD,2023-07-11T05:00:00.000000000Z,2901,30.83555,30.85981,30.81186,30.85019,30.84608,30.87058,30.82286,30.86072,30.85661,30.88134,30.83385,30.87126,,
5,XAG_CAD,2023-07-11T06:00:00.000000000Z,3092,30.84973,30.98158,30.81715,30.96525,30.86038,30.99210,30.82780,30.97577,30.87103,31.00263,30.83843,30.98629,,
6,XAG_CAD,2023-07-11T07:00:00.000000000Z,2463,30.96276,30.96622,30.72175,30.72175,30.97328,30.97674,30.73228,30.73228,30.98380,30.98726,30.74282,30.74282,,
7,XAG_CAD,2023-07-11T08:00:00.000000000Z,1911,30.71377,30.84181,30.71377,30.82325,30.72430,30.85235,30.72430,30.83379,30.73484,30.86289,30.73484,30.84433,30.8211475,
8,XAG_CAD,2023-07-11T09:00:00.000000000Z,1450,30.82581,30.84914,30.76266,30.79234,30.83635,30.85968,30.77331,30.80287,30.84689,30.87022,30.78384,30.81340,30.82997125,
9,XAG_CAD,2023-07-11T10:00:00.000000000Z,2610,30.79211,30.80690,30.70477,30.71725,30.80276,30.81778,30.71530,30.72790,30.81340,30.82866,30.72584,30.73856,30.8214925,
10,XAG_CAD,2023-07-11T11:00:00.000000000Z,2822,30.71459,30.75656,30.68398,30.73320,30.72524,30.76732,30.69464,30.74397,30.73590,30.77810,30.70529,30.75474,30.81604375,
11,XAG_CAD,2023-07-11T12:00:00.000000000Z,3152,30.73343,30.75032,30.57287,30.70428,30.74408,30.76086,30.58341,30.71482,30.75474,30.77148,30.59395,30.72537,30.799015,
12,XAG_CAD,2023-07-11T13:00:00.000000000Z,2757,30.70691,30.83162,30.62115,30.76153,30.71746,30.84216,30.63168,30.77218,30.72800,30.85271,30.64222,30.78284,30.787947499999998,
13,XAG_CAD,2023-07-11T14:00:00.000000000Z,3295,30.76061,30.79203,30.63982,30.64333,30.77138,30.80280,30.65040,30.65386,30.78215,30.81357,30.66093,30.66439,30.74770875,
14,XAG_CAD,2023-07-11T15:00:00.000000000Z,1802,30.63990,30.66469,30.57625,30.58106,30.65043,30.67522,30.58688,30.59158,30.66096,30.68575,30.59752,30.60209,30.73012125,
15,XAG_CAD,2023-07-11T16:00:00.000000000Z,1396,30.57795,30.61951,30.48486,30.59393,30.58846,30.63014,30.49549,30.60444,30.59898,30.64078,30.50612,30.61496,30.701452500000002,
16,XAG_CAD,2023-07-11T17:00:00.000000000Z,1046,30.59370,30.59819,30.54966,30.57852,30.60433,30.60870,30.56018,30.58904,30.61496,30.61934,30.57069,30.59955,30.67472375,
17,XAG_CAD,2023-07-11T18:00:00.000000000Z,870,30.57587,30.60162,30.56501,30.59735,30.58638,30.61226,30.57553,30.60786,30.59690,30.62289,30.58605,30.61838,30.65971875,
18,XAG_CAD,2023-07-11T19:00:00.000000000Z,390,30.59602,30.60189,30.57835,30.57984,30.60665,30.61252,30.58886,30.59034,30.61728,30.62315,30.59937,30.60085,30.640515,
19,XAG_CAD,2023-07-11T20:00:00.000000000Z,470,30.57996,30.59151,30.56533,30.58713,30.59058,30.60566,30.57595,30.59786,30.60121,30.62940,30.58657,30.60860,30.625895,
