,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAG_EUR,2023-06-28T22:00:00.000000000Z,210,20.80013,20.82051,20.79514,20.81733,20.80767,20.82805,20.80268,20.82487,20.81521,20.83559,20.81022,20.83241,,
1,XAG_EUR,2023-06-28T23:00:00.000000000Z,103,20.81367,20.82555,20.81219,20.81694,20.82121,20.83309,20.81973,20.82448,20.82875,20.84063,20.82727,20.83202,,
2,XAG_EUR,2023-06-29T00:00:00.000000000Z,169,20.81482,20.83906,20.79856,20.83906,20.82236,20.84661,20.80610,20.84661,20.82990,20.85416,20.81365,20.85416,,
3,XAG_EUR,2023-06-29T01:00:00.000000000Z,478,20.84125,20.95653,20.84125,20.90430,20.84880,20.96408,20.84880,20.91185,20.85635,20.97162,20.85635,20.91940,,
4,XAG_EUR,2023-06-29T02:00:00.000000000Z,213,20.90386,20.90616,20.83505,20.83800,20.91150,20.91380,20.84260,20.84556,20.91915,20.92145,20.85016,20.85311,,
5,XAG_EUR,2023-06-29T03:00:00.000000000Z,155,20.83544,20.87564,20.81534,20.87542,20.84300,20.88320,20.82290,20.88298,20.85055,20.89076,20.83045,20.89054,,
6,XAG_EUR,2023-06-29T04:00:00.000000000Z,112,20.87313,20.91384,20.86946,20.91003,20.88069,20.92140,20.87702,20.91760,20.88825,20.92896,20.88458,20.92516,,
7,XAG_EUR,2023-06-29T05:00:00.000000000Z,287,20.91238,20.91238,20.84166,20.84481,20.91994,20.91994,20.84922,20.85236,20.92751,20.92751,20.85677,20.85992,20.86328875,
8,XAG_EUR,2023-06-29T06:00:00.000000000Z,378,20.84792,20.87593,20.82048,20.84647,20.85548,20.88348,20.82804,20.85402,20.86303,20.89104,20.83559,20.86158,20.8669325,
9,XAG_EUR,2023-06-29T07:00:00.000000000Z,401,20.84105,20.89003,20.79485,20.88148,20.84860,20.89757,20.80240,20.88902,20.85616,20.90511,20.80995,20.89656,20.875,
10,XAG_EUR,2023-06-29T08:00:00.000000000Z,331,20.88470,20.89093,20.82741,20.84067,20.89224,20.89848,20.83495,20.84821,20.89979,20.90602,20.84249,20.85575,20.8752,
11,XAG_EUR,2023-06-29T09:00:00.000000000Z,166,20.84269,20.84459,20.77841,20.80174,20.85024,20.85214,20.78595,20.80928,20.85778,20.85968,20.79349,20.81682,20.862378749999998,
12,XAG_EUR,2023-06-29T10:00:00.000000000Z,219,20.80380,20.92169,20.79835,20.91465,20.81134,20.92923,20.80589,20.92218,20.81888,20.93677,20.81343,20.92972,20.87195625,
13,XAG_EUR,2023-06-29T11:00:00.000000000Z,245,20.91736,20.92678,20.84733,20.84733,20.92490,20.93432,20.85486,20.85486,20.93243,20.94185,20.86238,20.86238,20.86844125,
14,XAG_EUR,2023-06-29T12:00:00.000000000Z,2425,20.84267,20.88767,20.65449,20.68184,20.85020,20.89520,20.66204,20.68940,20.85772,20.90272,20.66958,20.69696,20.839916249999998,
15,XAG_EUR,2023-06-29T13:00:00.000000000Z,1693,20.68588,20.79749,20.49105,20.61041,20.69344,20.80506,20.49861,20.61798,20.70100,20.81263,20.50617,20.62554,20.81061875,
16,XAG_EUR,2023-06-29T14:00:00.000000000Z,1576,20.60839,20.82137,20.55168,20.79193,20.61596,20.82893,20.55924,20.79949,20.62352,20.83649,20.56681,20.80705,20.8038025,
17,XAG_EUR,2023-06-29T15:00:00.000000000Z,550,20.79443,20.80017,20.75187,20.77665,20.80199,20.80773,20.75943,20.78422,20.80955,20.81529,20.76699,20.79178,20.790702500000002,
18,XAG_EUR,2023-06-29T16:00:00.000000000Z,288,20.77369,20.81905,20.72997,20.80614,20.78126,20.82662,20.73754,20.81371,20.78882,20.83418,20.74510,20.82128,20.78639,
19,XAG_EUR,2023-06-29T17:00:00.000000000Z,248,20.80384,20.80406,20.74279,20.74672,20.81141,20.81164,20.75036,20.75429,20.81898,20.81921,20.75793,20.76186,20.77951625,
20,XAG_EUR,2023-06-29T18:00:00.000000000Z,172,20.74425,20.78095,20.74059,20.76199,20.75182,20.78852,20.74816,20.76956,20.75939,20.79609,20.75573,20.77714,20.760438750000002,
21,XAG_EUR,2023-06-29T19:00:00.000000000Z,135,20.76430,20.76940,20.73318,20.76581,20.77188,20.77698,20.74075,20.77338,20.77945,20.78455,20.74832,20.78095,20.75025375,
22,XAG_EUR,2023-06-29T20:00:00.000000000Z,101,20.76463,20.77999,20.76075,20.76817,20.77230,20.78756,20.76832,20.77574,20.77997,20.79514,20.77589,20.78332,20.76104625,
23,XAG_EUR,2023-06-29T22:00:00.000000000Z,554,20.77538,20.77538,20.76124,20.76124,20.78305,20.78305,20.76882,20.76882,20.79072,20.79092,20.77639,20.77639,20.77990125,
24,XAG_EUR,2023-06-29T23:00:00.000000000Z,73,20.76349,20.78089,20.75830,20.77382,20.77106,20.78846,20.76588,20.78140,20.77864,20.79604,20.77345,20.78897,20.777639999999998,
25,XAG_EUR,2023-06-30T00:00:00.000000000Z,125,20.77759,20.78097,20.76109,20.76477,20.78516,20.78854,20.76866,20.77234,20.79274,20.79612,20.77623,20.77991,20.776155,
26,XAG_EUR,2023-06-30T01:00:00.000000000Z,362,20.76380,20.80528,20.74399,20.78453,20.77146,20.81286,20.75156,20.79211,20.77913,20.82043,20.75913,20.79969,20.773455,
27,XAG_EUR,2023-06-30T02:00:00.000000000Z,203,20.78870,20.80897,20.77687,20.78816,20.79628,20.81654,20.78444,20.79574,20.80386,20.82411,20.79202,20.80331,20.77863625,
28,XAG_EUR,2023-06-30T03:00:00.000000000Z,128,20.78377,20.81153,20.77314,20.80411,20.79134,20.81910,20.78072,20.81168,20.79892,20.82667,20.78829,20.81925,20.78390125,
29,XAG_EUR,2023-06-30T04:00:00.000000000Z,63,20.80695,20.84820,20.80695,20.84803,20.81452,20.85578,20.81452,20.85560,20.82209,20.86335,20.82209,20.86318,20.79417875,
30,XAG_EUR,2023-06-30T05:00:00.000000000Z,218,20.84448,20.86757,20.77771,20.78085,20.85206,20.87514,20.78528,20.78842,20.85963,20.88271,20.79285,20.79599,20.79576375,
31,XAG_EUR,2023-06-30T06:00:00.000000000Z,353,20.77776,20.78083,20.71326,20.74542,20.78533,20.78840,20.72084,20.75300,20.79290,20.79598,20.72842,20.76057,20.79378625,
32,XAG_EUR,2023-06-30T07:00:00.000000000Z,411,20.74295,20.74295,20.63696,20.65067,20.75052,20.75052,20.64454,20.65824,20.75810,20.75810,20.65211,20.66582,20.77839125,
33,XAG_EUR,2023-06-30T08:00:00.000000000Z,395,20.64866,20.67543,20.60924,20.62203,20.65624,20.68301,20.61682,20.62962,20.66381,20.69059,20.62441,20.63721,20.76055125,
34,XAG_EUR,2023-06-30T09:00:00.000000000Z,374,20.62584,20.69226,20.61326,20.69226,20.63362,20.69984,20.62084,20.69984,20.64140,20.70743,20.62843,20.70743,20.7490175,
35,XAG_EUR,2023-06-30T10:00:00.000000000Z,256,20.68956,20.72304,20.67288,20.69033,20.69714,20.73062,20.68046,20.69791,20.70473,20.73821,20.68805,20.70549,20.73678875,
36,XAG_EUR,2023-06-30T11:00:00.000000000Z,278,20.68773,20.69421,20.62448,20.65004,20.69531,20.70179,20.63206,20.65762,20.70289,20.70937,20.63964,20.66520,20.71753125,
37,XAG_EUR,2023-06-30T12:00:00.000000000Z,1575,20.64792,20.70242,20.56003,20.58610,20.65550,20.70998,20.56758,20.59364,20.66308,20.71753,20.57513,20.60119,20.684786250000002,
38,XAG_EUR,2023-06-30T13:00:00.000000000Z,1343,20.58105,20.65227,20.53376,20.59788,20.58860,20.65981,20.54130,20.60782,20.59614,20.66735,20.54883,20.61775,20.662211250000002,
