,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAG_GBP,2023-07-11T01:00:00.000000000Z,573,17.97989,18.11023,17.97989,17.99278,17.98621,18.11656,17.98621,17.99910,17.99253,18.12288,17.99253,18.00542,,
1,XAG_GBP,2023-07-11T02:00:00.000000000Z,247,17.99047,18.04448,17.98989,18.03709,17.99679,18.05080,17.99628,18.04340,18.00311,18.05712,18.00260,18.04972,,
2,XAG_GBP,2023-07-11T03:00:00.000000000Z,188,18.03428,18.04864,18.00987,18.01864,18.04060,18.05496,18.01619,18.02496,18.04691,18.06127,18.02251,18.03127,,
3,XAG_GBP,2023-07-11T04:00:00.000000000Z,129,18.02176,18.05257,18.01499,18.05257,18.02808,18.05888,18.02130,18.05888,18.03439,18.06520,18.02762,18.06520,,
4,XAG_GBP,2023-07-11T05:00:00.000000000Z,366,18.05051,18.06931,18.03805,18.06667,18.05682,18.07563,18.04436,18.07299,18.06314,18.08195,18.05068,18.07931,,
5,XAG_GBP,2023-07-11T06:00:00.000000000Z,754,18.06428,18.13285,18.01421,18.13010,18.07060,18.13916,18.02051,18.13641,18.07692,18.14547,18.02681,18.14272,,
6,XAG_GBP,2023-07-11T07:00:00.000000000Z,431,18.12809,18.12863,17.98250,17.98250,18.13440,18.13494,17.98882,17.98882,18.14071,18.14125,17.99514,17.99514,,
7,XAG_GBP,2023-07-11T08:00:00.000000000Z,331,17.97779,18.02423,17.97753,18.01599,17.98411,18.03054,17.98384,18.02230,17.99043,18.03685,17.99015,18.02861,18.0433575,
8,XAG_GBP,2023-07-11T09:00:00.000000000Z,306,18.01805,18.02032,17.95808,17.97682,18.02436,18.02663,17.96438,17.98312,18.03067,18.03294,17.97068,17.98942,18.04136,
9,XAG_GBP,2023-07-11T10:00:00.000000000Z,208,17.97929,17.98382,17.90603,17.91978,17.98559,17.99012,17.91232,17.92608,17.99189,17.99642,17.91861,17.93237,18.026695,
10,XAG_GBP,2023-07-11T11:00:00.000000000Z,250,17.91760,17.94761,17.90237,17.92393,17.92390,17.95391,17.90867,17.93022,17.93019,17.96021,17.91497,17.93652,18.0148525,
11,XAG_GBP,2023-07-11T12:00:00.000000000Z,539,17.92141,17.94986,17.84402,17.92198,17.92770,17.95617,17.85032,17.92828,17.93400,17.96248,17.85662,17.93459,17.9985275,
12,XAG_GBP,2023-07-11T13:00:00.000000000Z,632,17.92403,18.00078,17.88603,17.96071,17.93034,18.00708,17.89233,17.96701,17.93664,18.01339,17.89863,17.97331,17.98528,
13,XAG_GBP,2023-07-11T14:00:00.000000000Z,418,17.96290,17.98088,17.90784,17.91182,17.96920,17.98718,17.91414,17.91812,17.97551,17.99349,17.92045,17.92443,17.95799375,
14,XAG_GBP,2023-07-11T15:00:00.000000000Z,301,17.90860,17.92876,17.88778,17.89340,17.91490,17.93506,17.89408,17.89970,17.92121,17.94137,17.90039,17.90600,17.94685375,
15,XAG_GBP,2023-07-11T16:00:00.000000000Z,200,17.89103,17.89905,17.83872,17.86908,17.89733,17.90535,17.84502,17.87537,17.90363,17.91165,17.85132,17.88166,17.9284875,
16,XAG_GBP,2023-07-11T17:00:00.000000000Z,166,17.86666,17.86957,17.84495,17.86180,17.87295,17.87586,17.85124,17.86809,17.87924,17.88216,17.85753,17.87438,17.91410875,
17,XAG_GBP,2023-07-11T18:00:00.000000000Z,88,17.85718,17.87197,17.85226,17.86890,17.86347,17.87826,17.85855,17.87518,17.86976,17.88455,17.86484,17.88147,17.90774625,
