,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAG_HKD,2023-06-28T22:00:00.000000000Z,819,177.82431,178.01542,177.77527,177.96200,177.88601,178.07508,177.84367,178.02256,177.94771,178.13473,177.91207,178.08313,,
1,XAG_HKD,2023-06-28T23:00:00.000000000Z,279,177.96018,178.09600,177.93277,177.98880,178.02177,178.15612,177.99436,178.04858,178.08336,178.21623,178.05595,178.10835,,
2,XAG_HKD,2023-06-29T00:00:00.000000000Z,544,178.00447,178.04545,177.70960,178.04545,178.06424,178.10511,177.76937,178.10511,178.12402,178.16477,177.82914,178.16477,,
3,XAG_HKD,2023-06-29T01:00:00.000000000Z,1564,178.06572,179.17949,178.05788,178.61499,178.12538,179.24054,178.11754,178.67500,178.18504,179.30158,178.17720,178.73501,,
4,XAG_HKD,2023-06-29T02:00:00.000000000Z,1685,178.61499,178.61499,177.77022,177.79293,178.67512,178.67512,177.83340,177.85474,178.73524,178.73524,177.89497,177.91655,,
5,XAG_HKD,2023-06-29T03:00:00.000000000Z,1360,177.79430,178.13591,177.57539,178.13591,177.85543,178.19580,177.63674,178.19580,177.91656,178.25568,177.69809,178.25568,,
6,XAG_HKD,2023-06-29T04:00:00.000000000Z,494,178.11946,178.42007,178.05378,178.30386,178.17934,178.48098,178.11446,178.36386,178.23923,178.54190,178.17514,178.42387,,
7,XAG_HKD,2023-06-29T05:00:00.000000000Z,1028,178.32305,178.32305,177.84841,177.89148,178.38306,178.38306,177.90909,177.95102,178.44306,178.44306,177.96977,178.01057,178.15208375,
8,XAG_HKD,2023-06-29T06:00:00.000000000Z,1290,177.91028,178.19191,177.65646,177.98529,177.96982,178.25168,177.71533,178.04474,178.02937,178.31146,177.77420,178.10418,178.15485624999997,
9,XAG_HKD,2023-06-29T07:00:00.000000000Z,1442,177.94886,178.71506,177.66953,178.62427,178.00830,178.77462,177.72874,178.68372,178.06775,178.83419,177.78796,178.74317,178.23424875,
10,XAG_HKD,2023-06-29T08:00:00.000000000Z,1482,178.62335,178.68999,178.19264,178.25269,178.68303,178.74887,178.25294,178.31214,178.74271,178.80775,178.31319,178.37160,178.2601275,
11,XAG_HKD,2023-06-29T09:00:00.000000000Z,980,178.25269,178.25269,177.68686,177.96690,178.31248,178.31248,177.74586,178.02749,178.37228,178.37228,177.80486,178.08808,178.17918875,
12,XAG_HKD,2023-06-29T10:00:00.000000000Z,2477,177.96667,179.13240,177.96146,179.10693,178.02738,179.19163,178.02239,179.16639,178.08808,179.25086,178.08289,179.22585,178.343145,
13,XAG_HKD,2023-06-29T11:00:00.000000000Z,1199,179.10379,179.21624,178.69739,178.69989,179.16325,179.27558,178.75708,178.75890,179.22271,179.33493,178.81676,178.81790,178.4135325,
14,XAG_HKD,2023-06-29T12:00:00.000000000Z,2954,178.70035,179.08329,176.18616,176.35925,178.75924,179.14310,176.24562,176.41870,178.81813,179.20290,176.30507,176.47816,178.1703875,
