,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAG_JPY,2023-04-20T17:00:00.000000000Z,2303,3387.0,3400.2,3386.3,3393.7,3388.1,3401.3,3387.4,3394.9,3389.2,3402.4,3388.6,3396.1,,
1,XAG_JPY,2023-04-20T21:00:00.000000000Z,1410,3391.4,3392.1,3378.8,3386.8,3392.6,3393.3,3379.9,3387.9,3393.8,3394.5,3381.0,3389.0,,
2,XAG_JPY,2023-04-21T01:00:00.000000000Z,3034,3387.1,3388.3,3368.2,3369.5,3388.2,3389.4,3369.4,3370.6,3389.4,3390.6,3370.5,3371.8,,
3,XAG_JPY,2023-04-21T05:00:00.000000000Z,5263,3369.5,3372.2,3338.9,3362.0,3370.6,3373.3,3340.0,3363.2,3371.7,3374.4,3341.2,3364.3,,
4,XAG_JPY,2023-04-21T09:00:00.000000000Z,5026,3362.7,3376.1,3351.8,3370.4,3363.8,3377.2,3353.0,3371.5,3365.0,3378.4,3354.1,3372.6,,
5,XAG_JPY,2023-04-21T13:00:00.000000000Z,10251,3370.7,3390.0,3343.4,3347.0,3371.8,3391.2,3344.5,3348.2,3372.9,3392.3,3345.6,3349.3,,
6,XAG_JPY,2023-04-21T17:00:00.000000000Z,1712,3346.7,3364.4,3346.6,3364.0,3347.8,3365.6,3347.7,3365.4,3349.0,3367.4,3348.8,3366.9,,
7,XAG_JPY,2023-04-23T21:00:00.000000000Z,1318,3358.0,3367.2,3352.7,3357.7,3359.3,3368.3,3353.8,3358.8,3360.6,3369.5,3355.0,3359.9,3370.0625,
8,XAG_JPY,2023-04-24T01:00:00.000000000Z,3609,3357.1,3363.5,3340.6,3342.7,3358.2,3364.6,3341.7,3343.8,3359.3,3365.8,3342.8,3344.9,3363.6749999999997,
9,XAG_JPY,2023-04-24T05:00:00.000000000Z,4620,3343.1,3363.2,3329.0,3363.0,3344.2,3364.3,3330.1,3364.1,3345.4,3365.4,3331.2,3365.2,3360.7000000000003,
10,XAG_JPY,2023-04-24T09:00:00.000000000Z,4204,3363.2,3378.4,3359.3,3369.9,3364.4,3379.5,3360.4,3371.0,3365.5,3380.6,3361.6,3372.2,3360.75,
11,XAG_JPY,2023-04-24T13:00:00.000000000Z,6012,3370.2,3386.8,3346.9,3378.9,3371.4,3387.9,3348.0,3380.0,3372.5,3389.0,3349.2,3381.2,3362.8500000000004,
12,XAG_JPY,2023-04-24T17:00:00.000000000Z,1694,3379.3,3389.6,3374.7,3377.2,3380.4,3390.7,3375.8,3378.4,3381.5,3391.8,3377.0,3379.7,3363.7125,
13,XAG_JPY,2023-04-24T21:00:00.000000000Z,1687,3375.3,3394.2,3367.4,3389.8,3376.5,3395.4,3368.6,3391.0,3377.7,3396.5,3369.7,3392.1,3369.0625,
14,XAG_JPY,2023-04-25T01:00:00.000000000Z,3869,3390.1,3405.6,3371.8,3372.2,3391.2,3406.7,3373.0,3373.4,3392.4,3407.8,3374.1,3374.5,3370.0625,
15,XAG_JPY,2023-04-25T05:00:00.000000000Z,5127,3372.4,3379.1,3350.1,3354.5,3373.5,3380.2,3351.2,3355.6,3374.6,3381.4,3352.3,3356.7,3369.6625,
16,XAG_JPY,2023-04-25T09:00:00.000000000Z,7055,3354.6,3359.2,3286.5,3330.5,3355.8,3360.4,3287.6,3331.6,3356.9,3361.5,3288.7,3332.8,3368.1375000000003,
17,XAG_JPY,2023-04-25T13:00:00.000000000Z,8011,3330.8,3346.6,3299.7,3315.9,3332.0,3347.8,3300.8,3317.0,3333.1,3348.9,3301.9,3318.1,3362.25,
18,XAG_JPY,2023-04-25T17:00:00.000000000Z,3600,3316.0,3344.1,3313.1,3344.0,3317.2,3345.3,3314.2,3345.2,3318.3,3346.5,3315.3,3346.4,3359.0249999999996,
19,XAG_JPY,2023-04-25T21:00:00.000000000Z,1856,3346.8,3356.8,3341.7,3342.7,3348.0,3358.0,3342.8,3343.8,3349.2,3359.1,3344.0,3344.9,3354.5,
20,XAG_JPY,2023-04-26T01:00:00.000000000Z,3581,3343.1,3351.0,3331.3,3340.0,3344.2,3352.2,3332.4,3341.2,3345.3,3353.3,3333.6,3342.3,3349.85,
21,XAG_JPY,2023-04-26T05:00:00.000000000Z,4339,3339.8,3352.7,3325.7,3331.7,3341.0,3353.8,3326.8,3332.8,3342.1,3354.9,3328.0,3333.9,3342.5750000000003,
22,XAG_JPY,2023-04-26T09:00:00.000000000Z,6309,3331.3,3349.6,3316.2,3329.9,3332.4,3350.8,3317.3,3331.0,3333.6,3351.9,3318.4,3332.2,3337.275,
23,XAG_JPY,2023-04-26T13:00:00.000000000Z,8450,3330.3,3358.1,3312.9,3314.9,3331.4,3359.2,3314.0,3316.0,3332.5,3360.3,3315.1,3317.1,3332.3250000000003,
24,XAG_JPY,2023-04-26T17:00:00.000000000Z,2965,3314.6,3327.3,3304.9,3324.6,3315.7,3328.4,3306.0,3325.8,3316.8,3329.5,3307.1,3327.1,3331.6,
25,XAG_JPY,2023-04-26T21:00:00.000000000Z,1418,3326.4,3333.2,3321.7,3331.7,3327.6,3334.4,3322.9,3332.8,3328.9,3335.5,3324.1,3334.0,3333.575,
26,XAG_JPY,2023-04-27T01:00:00.000000000Z,2951,3332.0,3353.7,3323.0,3353.2,3333.2,3354.8,3324.2,3354.3,3334.3,3355.9,3325.3,3355.4,3334.7125,
27,XAG_JPY,2023-04-27T05:00:00.000000000Z,4108,3352.9,3357.5,3342.7,3349.4,3354.0,3358.6,3343.8,3350.5,3355.2,3359.7,3345.0,3351.6,3335.5499999999997,
28,XAG_JPY,2023-04-27T09:00:00.000000000Z,7292,3349.7,3354.0,3323.7,3339.7,3350.8,3355.2,3324.8,3340.8,3352.0,3356.3,3326.0,3342.0,3335.5000000000005,
29,XAG_JPY,2023-04-27T13:00:00.000000000Z,9181,3340.1,3348.2,3288.1,3330.8,3341.2,3349.3,3289.2,3331.9,3342.4,3350.4,3290.3,3333.0,3335.3875,
30,XAG_JPY,2023-04-27T17:00:00.000000000Z,2179,3330.7,3341.9,3328.5,3338.7,3331.8,3343.0,3329.6,3340.0,3333.0,3344.1,3330.7,3341.2,3336.5125,
31,XAG_JPY,2023-04-27T21:00:00.000000000Z,1692,3335.4,3336.7,3326.9,3333.1,3336.6,3337.8,3328.0,3334.2,3337.8,3339.0,3329.1,3335.3,3338.7875,
32,XAG_JPY,2023-04-28T01:00:00.000000000Z,9133,3332.7,3365.9,3326.2,3363.7,3333.8,3367.0,3327.4,3364.8,3335.0,3368.2,3328.6,3366.0,3343.6625,
33,XAG_JPY,2023-04-28T05:00:00.000000000Z,7531,3363.9,3387.4,3358.5,3361.7,3365.0,3388.6,3359.6,3362.9,3366.2,3389.7,3360.8,3364.1,3347.425,
34,XAG_JPY,2023-04-28T09:00:00.000000000Z,5699,3362.0,3395.8,3361.5,3388.4,3363.2,3397.0,3362.6,3389.6,3364.4,3398.3,3363.8,3390.7,3351.8375,
35,XAG_JPY,2023-04-28T13:00:00.000000000Z,8014,3388.2,3412.0,3372.2,3403.0,3389.4,3413.2,3373.4,3404.2,3390.5,3414.3,3374.5,3405.3,3358.55,
36,XAG_JPY,2023-04-28T17:00:00.000000000Z,1509,3402.8,3414.0,3392.5,3413.7,3404.0,3415.2,3393.6,3415.2,3405.1,3416.7,3394.8,3416.6,3367.85,
37,XAG_JPY,2023-04-30T21:00:00.000000000Z,2393,3415.1,3419.5,3402.2,3408.0,3416.3,3420.7,3403.4,3409.2,3417.5,3421.9,3404.5,3410.3,3377.5125,
38,XAG_JPY,2023-05-01T01:00:00.000000000Z,2370,3408.3,3435.9,3404.6,3432.7,3409.4,3437.0,3405.8,3433.8,3410.6,3438.2,3406.9,3435.0,3389.2375,
39,XAG_JPY,2023-05-01T05:00:00.000000000Z,2623,3432.4,3447.9,3419.7,3419.7,3433.6,3449.0,3420.8,3420.8,3434.7,3450.2,3422.0,3422.0,3400.0625,
40,XAG_JPY,2023-05-01T09:00:00.000000000Z,4842,3420.1,3537.5,3418.7,3536.6,3421.2,3538.6,3419.9,3537.8,3422.4,3539.8,3421.1,3538.9,3421.6875,
41,XAG_JPY,2023-05-01T13:00:00.000000000Z,10407,3537.0,3542.9,3417.7,3424.1,3538.2,3544.0,3418.8,3425.2,3539.3,3545.2,3420.0,3426.4,3429.475,
42,XAG_JPY,2023-05-01T17:00:00.000000000Z,1888,3424.9,3445.2,3422.5,3434.7,3426.0,3446.4,3423.6,3436.0,3427.2,3447.5,3424.8,3437.2,3435.275,
43,XAG_JPY,2023-05-01T21:00:00.000000000Z,1201,3433.3,3436.4,3426.6,3428.1,3434.5,3437.6,3427.8,3429.3,3435.7,3438.7,3428.9,3430.5,3438.4125,
