,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAG_NZD,2023-07-11T01:00:00.000000000Z,1318,37.22406,37.45761,37.20603,37.25285,37.23912,37.47268,37.22108,37.26792,37.25418,37.48774,37.23614,37.28298,,
1,XAG_NZD,2023-07-11T02:00:00.000000000Z,758,37.25072,37.33166,37.25072,37.32229,37.26578,37.34672,37.26578,37.33734,37.28085,37.36179,37.28085,37.35240,,
2,XAG_NZD,2023-07-11T03:00:00.000000000Z,588,37.31602,37.34998,37.29120,37.31633,37.33108,37.36505,37.30626,37.33140,37.34613,37.38012,37.32133,37.34646,,
3,XAG_NZD,2023-07-11T04:00:00.000000000Z,480,37.31972,37.41421,37.30520,37.41421,37.33478,37.42930,37.32026,37.42930,37.34985,37.44438,37.33532,37.44438,,
4,XAG_NZD,2023-07-11T05:00:00.000000000Z,638,37.40818,37.46950,37.39785,37.46042,37.42326,37.48460,37.41292,37.47552,37.43835,37.49970,37.42800,37.49063,,
5,XAG_NZD,2023-07-11T06:00:00.000000000Z,1113,37.46536,37.64360,37.45922,37.62584,37.48046,37.65871,37.47432,37.64094,37.49557,37.67382,37.48943,37.65605,,
6,XAG_NZD,2023-07-11T07:00:00.000000000Z,1104,37.62091,37.62667,37.37780,37.37780,37.63602,37.64179,37.39293,37.39293,37.65112,37.65691,37.40806,37.40806,,
7,XAG_NZD,2023-07-11T08:00:00.000000000Z,686,37.37306,37.54613,37.36346,37.53267,37.38819,37.56129,37.37859,37.54784,37.40332,37.57645,37.39372,37.56300,37.42789875,
8,XAG_NZD,2023-07-11T09:00:00.000000000Z,549,37.53193,37.57239,37.47959,37.51484,37.54709,37.58756,37.49474,37.53000,37.56225,37.60273,37.50990,37.54515,37.46065875,
9,XAG_NZD,2023-07-11T10:00:00.000000000Z,517,37.51848,37.51848,37.37390,37.41662,37.53364,37.53364,37.38902,37.43178,37.54879,37.54879,37.40415,37.44693,37.47246375,
10,XAG_NZD,2023-07-11T11:00:00.000000000Z,618,37.41339,37.47885,37.39392,37.43137,37.42854,37.49403,37.40908,37.44653,37.44370,37.50921,37.42425,37.46169,37.486855,
11,XAG_NZD,2023-07-11T12:00:00.000000000Z,1329,37.42925,37.43791,37.25054,37.41754,37.44441,37.45308,37.26569,37.43272,37.45957,37.46824,37.28084,37.44789,37.487282500000006,
12,XAG_NZD,2023-07-11T13:00:00.000000000Z,1632,37.42220,37.58734,37.37679,37.54364,37.43738,37.60253,37.39197,37.55884,37.45255,37.61772,37.40715,37.57403,37.4976975,
13,XAG_NZD,2023-07-11T14:00:00.000000000Z,1346,37.54151,37.57155,37.35474,37.36392,37.55670,37.58674,37.36990,37.37908,37.57190,37.60193,37.38505,37.39424,37.464965,
14,XAG_NZD,2023-07-11T15:00:00.000000000Z,896,37.36018,37.41754,37.33897,37.35167,37.37534,37.43272,37.35414,37.36684,37.39049,37.44789,37.36930,37.38200,37.46170375,
15,XAG_NZD,2023-07-11T16:00:00.000000000Z,574,37.34727,37.35662,37.22201,37.31112,37.36243,37.37177,37.23716,37.32626,37.37759,37.38692,37.25230,37.34139,37.43400625,
16,XAG_NZD,2023-07-11T17:00:00.000000000Z,507,37.30870,37.30870,37.24491,37.28553,37.32384,37.32384,37.26004,37.30066,37.33897,37.33897,37.27516,37.31580,37.40533875,
17,XAG_NZD,2023-07-11T18:00:00.000000000Z,327,37.28252,37.31269,37.26231,37.28255,37.29765,37.32784,37.27744,37.29766,37.31278,37.34298,37.29256,37.31278,37.38857375,
18,XAG_NZD,2023-07-11T19:00:00.000000000Z,296,37.28034,37.29453,37.26989,37.28517,37.29546,37.30965,37.28500,37.30028,37.31057,37.32477,37.30011,37.31540,37.3702925,
19,XAG_NZD,2023-07-11T20:00:00.000000000Z,140,37.28306,37.30459,37.27018,37.29893,37.29818,37.32288,37.28530,37.31404,37.31329,37.35414,37.30041,37.32916,37.3554575,
20,XAG_NZD,2023-07-11T22:00:00.000000000Z,206,37.30111,37.34272,37.27577,37.34272,37.31622,37.35784,37.29088,37.35784,37.33134,37.37297,37.30599,37.37297,37.330332500000004,
21,XAG_NZD,2023-07-11T23:00:00.000000000Z,197,37.33949,37.33949,37.27029,37.30714,37.35462,37.35462,37.28538,37.32225,37.36974,37.36974,37.30047,37.33736,37.323228750000006,
22,XAG_NZD,2023-07-12T00:00:00.000000000Z,665,37.30924,37.33730,37.24801,37.26980,37.32436,37.35242,37.26307,37.28486,37.33947,37.36754,37.27813,37.29993,37.31298125,
23,XAG_NZD,2023-07-12T01:00:00.000000000Z,1119,37.27392,37.33112,37.24650,37.31117,37.28898,37.34618,37.26154,37.32653,37.30405,37.36123,37.27658,37.34189,37.313015,
24,XAG_NZD,2023-07-12T02:00:00.000000000Z,1323,37.31147,37.43998,37.24873,37.26595,37.32653,37.45510,37.26375,37.28097,37.34159,37.47021,37.27877,37.29599,37.310553750000004,
25,XAG_NZD,2023-07-12T03:00:00.000000000Z,591,37.26386,37.32917,37.24235,37.29530,37.27888,37.34422,37.25738,37.31034,37.29390,37.35926,37.27242,37.32539,37.31213875,
26,XAG_NZD,2023-07-12T04:00:00.000000000Z,387,37.29649,37.32056,37.26302,37.31057,37.31154,37.33560,37.27805,37.32561,37.32659,37.35064,37.29308,37.34065,37.315305,
27,XAG_NZD,2023-07-12T05:00:00.000000000Z,671,37.31551,37.40307,37.31345,37.36083,37.33055,37.41815,37.32849,37.37591,37.34559,37.43323,37.34353,37.39099,37.323038749999995,
28,XAG_NZD,2023-07-12T06:00:00.000000000Z,765,37.36304,37.38932,37.26866,37.32008,37.37812,37.40440,37.28372,37.33516,37.39320,37.41947,37.29877,37.35023,37.32020375,
29,XAG_NZD,2023-07-12T07:00:00.000000000Z,732,37.32617,37.33272,37.24867,37.28327,37.34124,37.34780,37.26376,37.29836,37.35632,37.36287,37.27885,37.31346,37.3172175,
30,XAG_NZD,2023-07-12T08:00:00.000000000Z,482,37.28035,37.38431,37.26610,37.35755,37.29544,37.39944,37.28120,37.37266,37.31054,37.41456,37.29629,37.38778,37.3281925,
31,XAG_NZD,2023-07-12T09:00:00.000000000Z,369,37.36076,37.40842,37.34683,37.38254,37.37588,37.42354,37.36194,37.39766,37.39099,37.43867,37.37706,37.41278,37.337083750000005,
32,XAG_NZD,2023-07-12T10:00:00.000000000Z,418,37.37736,37.42169,37.36097,37.41023,37.39248,37.43684,37.37610,37.42538,37.40760,37.45200,37.39122,37.44052,37.355135,
33,XAG_NZD,2023-07-12T11:00:00.000000000Z,602,37.40760,37.47162,37.37870,37.44209,37.42274,37.48677,37.39384,37.45724,37.43789,37.50192,37.40899,37.47240,37.3734975,
34,XAG_NZD,2023-07-12T12:00:00.000000000Z,5324,37.44736,37.95159,37.25236,37.82933,37.46252,37.96668,37.36056,37.84442,37.47767,37.98176,37.43494,37.85950,37.43834875,
35,XAG_NZD,2023-07-12T13:00:00.000000000Z,3866,37.82690,38.24178,37.73578,38.14969,37.84198,38.25678,37.75086,38.16469,37.85707,38.27179,37.76593,38.17969,37.53694625,
36,XAG_NZD,2023-07-12T14:00:00.000000000Z,2467,38.14331,38.22026,38.01162,38.14191,38.15831,38.23525,38.02658,38.15686,38.17331,38.25024,38.04153,38.17181,37.63965875,
37,XAG_NZD,2023-07-12T15:00:00.000000000Z,1456,38.14588,38.24583,38.01353,38.21678,38.16083,38.26080,38.02848,38.23174,38.17578,38.27576,38.04344,38.24670,37.75633125,
38,XAG_NZD,2023-07-12T16:00:00.000000000Z,925,38.21274,38.28002,38.20090,38.27776,38.22770,38.29496,38.21584,38.29270,38.24266,38.30991,38.23079,38.30765,37.87133625,
39,XAG_NZD,2023-07-12T17:00:00.000000000Z,653,38.28110,38.30651,38.19380,38.25175,38.29604,38.32146,38.20874,38.26669,38.31099,38.33640,38.22367,38.28163,37.97996500000001,
40,XAG_NZD,2023-07-12T18:00:00.000000000Z,356,38.24841,38.30015,38.22693,38.23798,38.26335,38.31510,38.24186,38.25290,38.27829,38.33004,38.25678,38.26783,38.083405,
41,XAG_NZD,2023-07-12T19:00:00.000000000Z,389,38.25212,38.32880,38.25212,38.32880,38.26705,38.34376,38.26705,38.34376,38.28198,38.35873,38.28198,38.35873,38.19422,
42,XAG_NZD,2023-07-12T20:00:00.000000000Z,159,38.33235,38.33754,38.27901,38.29995,38.34732,38.35250,38.29396,38.31490,38.36228,38.36747,38.30890,38.32986,38.253029999999995,
43,XAG_NZD,2023-07-12T22:00:00.000000000Z,223,38.30132,38.33589,38.29269,38.31545,38.31628,38.35086,38.30763,38.33040,38.33125,38.36582,38.32257,38.34536,38.27374375,
44,XAG_NZD,2023-07-12T23:00:00.000000000Z,187,38.31088,38.32794,38.24124,38.27433,38.32584,38.34290,38.25616,38.28926,38.34079,38.35786,38.27108,38.30420,38.29029375,
45,XAG_NZD,2023-07-13T00:00:00.000000000Z,646,38.28140,38.30825,38.20168,38.25193,38.29634,38.32320,38.21660,38.26686,38.31127,38.33814,38.23152,38.28179,38.29468375,
46,XAG_NZD,2023-07-13T01:00:00.000000000Z,1076,38.25405,38.32996,38.22302,38.31247,38.26898,38.34488,38.23795,38.32738,38.28391,38.35981,38.25288,38.34229,38.29901875,
47,XAG_NZD,2023-07-13T02:00:00.000000000Z,719,38.31035,38.31823,38.25647,38.28035,38.32526,38.33315,38.27136,38.29524,38.34017,38.34807,38.28625,38.31013,38.302587499999994,
48,XAG_NZD,2023-07-13T03:00:00.000000000Z,577,38.28398,38.31164,38.23047,38.24136,38.29887,38.32653,38.24534,38.25623,38.31376,38.34142,38.26021,38.27110,38.30300375,
49,XAG_NZD,2023-07-13T04:00:00.000000000Z,460,38.24256,38.25143,38.06051,38.11640,38.25744,38.26630,38.07536,38.13126,38.27231,38.28118,38.09021,38.14612,38.27644125,
50,XAG_NZD,2023-07-13T05:00:00.000000000Z,884,38.11899,38.24001,38.07544,38.16579,38.13385,38.25488,38.09030,38.18066,38.14871,38.26975,38.10516,38.19554,38.25966125,
