,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAG_SGD,2023-06-28T22:00:00.000000000Z,225,30.71220,30.74406,30.70483,30.73458,30.72508,30.75614,30.71770,30.74700,30.73795,30.76822,30.73058,30.75942,,
1,XAG_SGD,2023-06-28T23:00:00.000000000Z,799,30.73458,30.75271,30.72962,30.73865,30.74678,30.76388,30.74170,30.74914,30.75897,30.77528,30.75234,30.75963,,
2,XAG_SGD,2023-06-29T00:00:00.000000000Z,1205,30.73865,30.75562,30.70306,30.75562,30.74902,30.76634,30.71389,30.76634,30.75940,30.77706,30.72472,30.77706,,
3,XAG_SGD,2023-06-29T01:00:00.000000000Z,3570,30.75539,30.91036,30.75494,30.84514,30.76600,30.92062,30.76554,30.85586,30.77660,30.93087,30.77615,30.86658,,
4,XAG_SGD,2023-06-29T02:00:00.000000000Z,2507,30.84425,30.84561,30.73661,30.73895,30.85486,30.85644,30.74745,30.74956,30.86546,30.86728,30.75829,30.76018,,
5,XAG_SGD,2023-06-29T03:00:00.000000000Z,1913,30.73872,30.80406,30.71500,30.80406,30.74944,30.81479,30.72584,30.81479,30.76017,30.82552,30.73669,30.82552,,
6,XAG_SGD,2023-06-29T04:00:00.000000000Z,1050,30.80383,30.85041,30.78972,30.83057,30.81468,30.86114,30.80064,30.84108,30.82552,30.87187,30.81137,30.85158,,
7,XAG_SGD,2023-06-29T05:00:00.000000000Z,2152,30.83344,30.83344,30.74572,30.75220,30.84394,30.84394,30.75656,30.76292,30.85445,30.85445,30.76740,30.77365,30.78583625,
8,XAG_SGD,2023-06-29T06:00:00.000000000Z,2726,30.75545,30.80227,30.72181,30.76867,30.76618,30.81276,30.73254,30.77952,30.77690,30.82349,30.74327,30.79036,30.789901250000003,
9,XAG_SGD,2023-06-29T07:00:00.000000000Z,3792,30.76844,30.86482,30.71248,30.84845,30.77940,30.87566,30.72310,30.85940,30.79035,30.88649,30.73371,30.87035,30.80368375,
10,XAG_SGD,2023-06-29T08:00:00.000000000Z,2728,30.85195,30.85778,30.77527,30.78906,30.86290,30.86862,30.78599,30.79990,30.87385,30.87945,30.79671,30.81073,30.80787875,
11,XAG_SGD,2023-06-29T09:00:00.000000000Z,3054,30.78800,30.79454,30.70047,30.74526,30.79872,30.80538,30.71086,30.75587,30.80944,30.81622,30.72124,30.76648,30.79538,
12,XAG_SGD,2023-06-29T10:00:00.000000000Z,2376,30.74571,30.91132,30.73989,30.90601,30.75610,30.92204,30.75050,30.91650,30.76648,30.93275,30.76111,30.92698,30.816247500000003,
13,XAG_SGD,2023-06-29T11:00:00.000000000Z,2374,30.90547,30.92671,30.83066,30.83066,30.91607,30.93731,30.84138,30.84138,30.92667,30.94791,30.85209,30.85209,30.81957125,
14,XAG_SGD,2023-06-29T12:00:00.000000000Z,6153,30.82512,30.89544,30.48053,30.50495,30.83584,30.90616,30.49104,30.51580,30.84655,30.92238,30.50154,30.52664,30.77891125,
15,XAG_SGD,2023-06-29T13:00:00.000000000Z,7157,30.50428,30.66061,30.20940,30.39333,30.51524,30.67112,30.22024,30.40430,30.52619,30.68163,30.23092,30.41526,30.73408375,
16,XAG_SGD,2023-06-29T14:00:00.000000000Z,7244,30.39400,30.72607,30.31113,30.67851,30.40474,30.73658,30.32198,30.68913,30.41548,30.74708,30.33283,30.69975,30.722785,
17,XAG_SGD,2023-06-29T15:00:00.000000000Z,3570,30.67851,30.69635,30.60482,30.63502,30.68924,30.70662,30.61555,30.64575,30.69997,30.71690,30.62628,30.65648,30.696078749999998,
18,XAG_SGD,2023-06-29T16:00:00.000000000Z,2010,30.63524,30.69086,30.56552,30.65655,30.64574,30.70114,30.57624,30.66728,30.65625,30.71142,30.58675,30.67802,30.679501249999998,
19,XAG_SGD,2023-06-29T17:00:00.000000000Z,2526,30.65655,30.65678,30.56662,30.58325,30.66717,30.66750,30.57758,30.59432,30.67779,30.67824,30.58832,30.60540,30.6593075,
20,XAG_SGD,2023-06-29T18:00:00.000000000Z,1731,30.58325,30.62515,30.57317,30.59693,30.59421,30.63611,30.58424,30.60767,30.60517,30.64707,30.59532,30.61841,30.620703749999997,
21,XAG_SGD,2023-06-29T19:00:00.000000000Z,1417,30.59671,30.61406,30.55779,30.61406,30.60768,30.62480,30.56886,30.62468,30.61864,30.63554,30.57994,30.63531,30.59361625,
22,XAG_SGD,2023-06-29T20:00:00.000000000Z,412,30.61270,30.62288,30.60344,30.60863,30.62344,30.63407,30.61440,30.62050,30.63418,30.64526,30.62537,30.63237,30.606703749999998,
23,XAG_SGD,2023-06-29T22:00:00.000000000Z,328,30.61587,30.61744,30.59350,30.59350,30.62819,30.62819,30.60492,30.60536,30.64051,30.64051,30.61633,30.61723,30.631836250000003,
