,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAG_USD,2023-07-11T01:00:00.000000000Z,1407,23.14300,23.30950,23.13750,23.15400,23.15050,23.31700,23.14500,23.16350,23.15800,23.32450,23.15250,23.17300,,
1,XAG_USD,2023-07-11T02:00:00.000000000Z,801,23.15400,23.23140,23.14300,23.22690,23.16280,23.24050,23.15240,23.23540,23.17160,23.24960,23.16100,23.24390,,
2,XAG_USD,2023-07-11T03:00:00.000000000Z,634,23.22600,23.24400,23.18600,23.20400,23.23535,23.25250,23.19375,23.21250,23.24470,23.26100,23.20150,23.22100,,
3,XAG_USD,2023-07-11T04:00:00.000000000Z,381,23.20590,23.25100,23.19658,23.25100,23.21340,23.25950,23.20510,23.25950,23.22090,23.26800,23.21280,23.26800,,
4,XAG_USD,2023-07-11T05:00:00.000000000Z,501,23.24800,23.26900,23.22600,23.24900,23.25575,23.27650,23.23450,23.25750,23.26350,23.28400,23.24200,23.26600,,
5,XAG_USD,2023-07-11T06:00:00.000000000Z,841,23.25300,23.38150,23.24600,23.37750,23.26150,23.38900,23.25400,23.38500,23.27000,23.39650,23.26200,23.39250,,
6,XAG_USD,2023-07-11T07:00:00.000000000Z,766,23.37500,23.37850,23.15050,23.15050,23.38250,23.38600,23.15800,23.15800,23.39000,23.39350,23.16550,23.16550,,
7,XAG_USD,2023-07-11T08:00:00.000000000Z,547,23.14850,23.22910,23.14050,23.21630,23.15600,23.23700,23.14800,23.22390,23.16350,23.24500,23.15550,23.23150,23.2369125,
8,XAG_USD,2023-07-11T09:00:00.000000000Z,554,23.21700,23.24050,23.18850,23.21500,23.22550,23.24800,23.19600,23.22300,23.23400,23.25550,23.20350,23.23100,23.24435,
9,XAG_USD,2023-07-11T10:00:00.000000000Z,432,23.21100,23.22350,23.13300,23.13800,23.21900,23.23100,23.14100,23.14650,23.22700,23.23850,23.14900,23.15500,23.2332375,
10,XAG_USD,2023-07-11T11:00:00.000000000Z,482,23.13700,23.17550,23.11100,23.14700,23.14450,23.18300,23.11900,23.15450,23.15200,23.19100,23.12700,23.16200,23.2259875,
11,XAG_USD,2023-07-11T12:00:00.000000000Z,1398,23.14500,23.16550,23.02400,23.11550,23.15300,23.17300,23.03150,23.12350,23.16100,23.18050,23.03900,23.13150,23.2089875,
12,XAG_USD,2023-07-11T13:00:00.000000000Z,1622,23.11850,23.21300,23.07090,23.17550,23.12600,23.22050,23.07895,23.18300,23.13350,23.22800,23.08700,23.19050,23.199675,
13,XAG_USD,2023-07-11T14:00:00.000000000Z,1215,23.17800,23.20300,23.09600,23.09950,23.18550,23.21050,23.10400,23.10700,23.19300,23.21900,23.11200,23.11450,23.164925,
14,XAG_USD,2023-07-11T15:00:00.000000000Z,889,23.09700,23.12060,23.06650,23.08240,23.10450,23.12880,23.07400,23.08990,23.11200,23.13700,23.08150,23.09740,23.1564125,
15,XAG_USD,2023-07-11T16:00:00.000000000Z,519,23.08005,23.10750,23.01150,23.09070,23.08755,23.11500,23.01900,23.09935,23.09505,23.12300,23.02650,23.10800,23.140843750000002,
16,XAG_USD,2023-07-11T17:00:00.000000000Z,380,23.09100,23.09550,23.06000,23.07900,23.09900,23.10310,23.06750,23.08650,23.10700,23.11100,23.07500,23.09400,23.12378125,
