,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAU_AUD,2023-06-28T22:00:00.000000000Z,1162,2893.460,2894.113,2892.298,2893.870,2893.962,2894.422,2892.624,2894.170,2894.464,2894.743,2892.951,2894.469,,
1,XAU_AUD,2023-06-28T23:00:00.000000000Z,1063,2893.961,2894.143,2891.416,2893.737,2894.260,2894.442,2891.715,2894.058,2894.560,2894.742,2892.014,2894.380,,
2,XAU_AUD,2023-06-29T00:00:00.000000000Z,2179,2893.738,2894.231,2890.095,2893.110,2894.038,2894.530,2890.437,2893.409,2894.337,2894.830,2890.736,2893.708,,
3,XAU_AUD,2023-06-29T01:00:00.000000000Z,4601,2893.208,2893.502,2884.126,2885.650,2893.507,2893.801,2884.424,2885.948,2893.806,2894.106,2884.721,2886.246,,
4,XAU_AUD,2023-06-29T02:00:00.000000000Z,3739,2885.718,2887.722,2880.345,2882.523,2886.016,2888.020,2880.643,2882.822,2886.314,2888.319,2880.941,2883.120,,
5,XAU_AUD,2023-06-29T03:00:00.000000000Z,2715,2882.447,2883.320,2878.635,2882.855,2882.746,2883.618,2878.934,2883.154,2883.044,2883.932,2879.232,2883.452,,
6,XAU_AUD,2023-06-29T04:00:00.000000000Z,1917,2882.920,2883.509,2881.056,2882.345,2883.218,2883.812,2881.354,2882.644,2883.517,2884.133,2881.652,2882.942,,
7,XAU_AUD,2023-06-29T05:00:00.000000000Z,2467,2882.273,2882.998,2878.125,2879.311,2882.572,2883.296,2878.423,2879.609,2882.870,2883.595,2878.721,2879.907,2886.97675,
8,XAU_AUD,2023-06-29T06:00:00.000000000Z,3446,2879.224,2881.922,2877.514,2880.648,2879.522,2882.221,2877.856,2880.946,2879.820,2882.563,2878.154,2881.245,2885.32375,
9,XAU_AUD,2023-06-29T07:00:00.000000000Z,3731,2880.713,2881.642,2876.145,2876.575,2881.012,2881.940,2876.442,2876.872,2881.310,2882.238,2876.740,2877.170,2883.1755000000003,
10,XAU_AUD,2023-06-29T08:00:00.000000000Z,3232,2876.840,2881.325,2874.746,2879.167,2877.138,2881.623,2875.044,2879.465,2877.435,2881.921,2875.341,2879.763,2881.4325,
11,XAU_AUD,2023-06-29T09:00:00.000000000Z,2189,2879.204,2881.089,2877.510,2879.671,2879.502,2881.387,2877.808,2879.969,2879.800,2881.685,2878.106,2880.267,2880.685125,
12,XAU_AUD,2023-06-29T10:00:00.000000000Z,1875,2879.732,2880.590,2875.813,2879.221,2880.030,2880.888,2876.110,2879.518,2880.328,2881.185,2876.407,2879.815,2880.272125,
13,XAU_AUD,2023-06-29T11:00:00.000000000Z,1616,2879.308,2879.747,2875.799,2878.427,2879.605,2880.044,2876.096,2878.724,2879.902,2880.341,2876.393,2879.021,2879.718375,
14,XAU_AUD,2023-06-29T12:00:00.000000000Z,11024,2878.216,2881.550,2868.039,2868.039,2878.513,2881.847,2868.348,2868.358,2878.810,2882.144,2868.646,2868.678,2877.9326250000004,
