,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAU_CAD,2023-04-20T17:00:00.000000000Z,14018,2700.228,2704.004,2698.464,2701.331,2700.456,2704.233,2698.703,2701.586,2700.685,2704.488,2698.935,2701.842,,
1,XAU_CAD,2023-04-20T21:00:00.000000000Z,5950,2700.346,2703.628,2698.686,2700.990,2700.676,2703.857,2698.945,2701.279,2701.007,2704.086,2699.184,2701.568,,
2,XAU_CAD,2023-04-21T01:00:00.000000000Z,12941,2700.990,2704.383,2698.847,2701.082,2701.269,2704.632,2699.106,2701.321,2701.548,2704.887,2699.345,2701.560,,
3,XAU_CAD,2023-04-21T05:00:00.000000000Z,25802,2701.042,2701.303,2679.681,2687.611,2701.281,2701.552,2679.934,2687.840,2701.520,2701.801,2680.183,2688.069,,
4,XAU_CAD,2023-04-21T09:00:00.000000000Z,21689,2687.551,2693.578,2681.497,2690.816,2687.790,2693.797,2681.746,2691.065,2688.029,2694.016,2681.994,2691.314,,
5,XAU_CAD,2023-04-21T13:00:00.000000000Z,43519,2690.816,2703.612,2672.024,2677.742,2691.055,2703.862,2672.292,2678.000,2691.294,2704.111,2672.560,2678.259,,
6,XAU_CAD,2023-04-21T17:00:00.000000000Z,13679,2677.762,2685.766,2677.656,2684.379,2678.010,2686.005,2677.924,2684.844,2678.259,2686.404,2678.193,2685.309,,
7,XAU_CAD,2023-04-23T21:00:00.000000000Z,5228,2684.138,2688.109,2683.307,2686.104,2684.456,2688.328,2683.546,2686.353,2684.774,2688.567,2683.785,2686.602,2691.536,
8,XAU_CAD,2023-04-24T01:00:00.000000000Z,13941,2686.065,2686.943,2680.739,2683.421,2686.314,2687.192,2680.978,2683.640,2686.563,2687.441,2681.217,2683.859,2689.29275,
9,XAU_CAD,2023-04-24T05:00:00.000000000Z,20418,2683.523,2686.293,2679.585,2685.838,2683.742,2686.542,2679.844,2686.096,2683.961,2686.791,2680.095,2686.355,2687.3948750000004,
10,XAU_CAD,2023-04-24T09:00:00.000000000Z,17947,2685.845,2688.443,2683.465,2685.120,2686.094,2688.672,2683.684,2685.369,2686.343,2688.921,2683.903,2685.618,2685.4008750000003,
11,XAU_CAD,2023-04-24T13:00:00.000000000Z,28754,2685.100,2691.733,2675.324,2690.041,2685.358,2691.972,2675.602,2690.280,2685.617,2692.231,2675.860,2690.519,2685.7058749999997,
12,XAU_CAD,2023-04-24T17:00:00.000000000Z,10959,2690.001,2695.583,2689.900,2693.044,2690.240,2695.842,2690.139,2693.422,2690.479,2696.101,2690.378,2693.801,2686.0005,
13,XAU_CAD,2023-04-24T21:00:00.000000000Z,6257,2697.401,2706.837,2695.664,2702.090,2697.680,2707.096,2695.923,2702.340,2697.959,2707.356,2696.182,2702.589,2689.043,
14,XAU_CAD,2023-04-25T01:00:00.000000000Z,14673,2702.259,2706.135,2697.225,2697.388,2702.508,2706.362,2697.504,2697.637,2702.758,2706.621,2697.783,2697.886,2690.642125,
15,XAU_CAD,2023-04-25T05:00:00.000000000Z,23573,2697.320,2709.860,2696.872,2697.737,2697.569,2710.110,2697.122,2697.976,2697.818,2710.380,2697.351,2698.216,2692.0950000000003,
16,XAU_CAD,2023-04-25T09:00:00.000000000Z,25682,2697.717,2708.901,2686.612,2707.728,2697.986,2709.161,2686.832,2707.958,2698.256,2709.421,2687.051,2708.188,2695.13475,
17,XAU_CAD,2023-04-25T13:00:00.000000000Z,33734,2707.585,2714.938,2700.926,2713.722,2707.815,2715.178,2701.166,2713.972,2708.045,2715.419,2701.406,2714.223,2698.6192499999997,
18,XAU_CAD,2023-04-25T17:00:00.000000000Z,18043,2713.783,2733.342,2712.663,2720.837,2714.034,2733.583,2712.914,2721.088,2714.284,2733.824,2713.145,2721.338,2703.0841250000003,
19,XAU_CAD,2023-04-25T21:00:00.000000000Z,9177,2721.131,2726.989,2719.691,2721.555,2721.459,2727.230,2719.962,2721.806,2721.787,2727.470,2720.212,2722.056,2707.024875,
20,XAU_CAD,2023-04-26T01:00:00.000000000Z,16553,2721.507,2727.255,2717.837,2720.350,2721.758,2727.516,2718.094,2720.610,2722.008,2727.776,2718.345,2720.871,2710.423375,
21,XAU_CAD,2023-04-26T05:00:00.000000000Z,24805,2720.282,2724.347,2717.301,2721.465,2720.542,2724.588,2717.562,2721.726,2720.803,2724.832,2717.822,2721.986,2712.846625,
22,XAU_CAD,2023-04-26T09:00:00.000000000Z,30553,2721.465,2727.508,2712.368,2722.439,2721.706,2727.738,2712.588,2722.660,2721.946,2727.969,2712.808,2722.880,2715.9745000000003,
23,XAU_CAD,2023-04-26T13:00:00.000000000Z,47394,2722.473,2736.402,2702.184,2704.411,2722.694,2736.663,2702.414,2704.651,2722.914,2736.924,2702.644,2704.891,2716.8088749999997,
