,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAU_CHF,2023-07-11T01:00:00.000000000Z,1930,1704.845,1705.541,1703.458,1703.690,1705.004,1705.700,1703.617,1703.858,1705.163,1705.859,1703.776,1704.027,,
1,XAU_CHF,2023-07-11T02:00:00.000000000Z,1466,1703.632,1704.945,1703.085,1704.370,1703.791,1705.104,1703.244,1704.529,1703.950,1705.263,1703.403,1704.688,,
2,XAU_CHF,2023-07-11T03:00:00.000000000Z,1177,1704.334,1705.652,1703.339,1703.676,1704.493,1705.811,1703.498,1703.844,1704.652,1705.970,1703.657,1704.013,,
3,XAU_CHF,2023-07-11T04:00:00.000000000Z,984,1703.640,1706.124,1703.618,1706.084,1703.808,1706.283,1703.786,1706.243,1703.977,1706.442,1703.955,1706.402,,
4,XAU_CHF,2023-07-11T05:00:00.000000000Z,1408,1706.052,1706.894,1705.181,1706.726,1706.211,1707.062,1705.340,1706.894,1706.370,1707.231,1705.499,1707.063,,
5,XAU_CHF,2023-07-11T06:00:00.000000000Z,2919,1706.591,1710.808,1703.298,1709.184,1706.750,1710.967,1703.457,1709.343,1706.909,1711.126,1703.616,1709.502,,
6,XAU_CHF,2023-07-11T07:00:00.000000000Z,2931,1709.223,1709.223,1702.988,1704.954,1709.382,1709.382,1703.149,1705.113,1709.541,1709.541,1703.308,1705.272,,
7,XAU_CHF,2023-07-11T08:00:00.000000000Z,1782,1705.007,1707.780,1703.493,1707.600,1705.166,1707.939,1703.652,1707.759,1705.325,1708.098,1703.811,1707.918,1705.947875,
8,XAU_CHF,2023-07-11T09:00:00.000000000Z,1927,1707.706,1710.871,1706.953,1710.733,1707.865,1711.030,1707.112,1710.892,1708.024,1711.189,1707.271,1711.051,1706.827125,
9,XAU_CHF,2023-07-11T10:00:00.000000000Z,1239,1710.698,1710.698,1705.776,1706.042,1710.857,1710.857,1705.935,1706.201,1711.016,1711.016,1706.094,1706.360,1707.0361249999999,
10,XAU_CHF,2023-07-11T11:00:00.000000000Z,1352,1706.011,1708.379,1705.735,1707.637,1706.170,1708.538,1705.894,1707.796,1706.329,1708.697,1706.053,1707.955,1707.530125,
11,XAU_CHF,2023-07-11T12:00:00.000000000Z,3150,1707.602,1707.996,1704.704,1706.564,1707.761,1708.155,1704.863,1706.723,1707.920,1708.314,1705.022,1706.882,1707.590125,
12,XAU_CHF,2023-07-11T13:00:00.000000000Z,3702,1706.489,1707.574,1703.614,1705.797,1706.648,1707.733,1703.773,1705.956,1706.807,1707.892,1703.932,1706.115,1707.472875,
13,XAU_CHF,2023-07-11T14:00:00.000000000Z,2590,1705.735,1706.697,1703.050,1703.973,1705.894,1706.856,1703.208,1704.132,1706.053,1707.015,1703.367,1704.291,1706.8215,
