,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAU_EUR,2023-06-28T22:00:00.000000000Z,877,1749.574,1750.045,1749.037,1749.821,1749.814,1750.216,1749.230,1749.992,1750.055,1750.387,1749.422,1750.163,,
1,XAU_EUR,2023-06-28T23:00:00.000000000Z,455,1749.878,1750.177,1748.983,1749.476,1750.049,1750.348,1749.154,1749.647,1750.220,1750.519,1749.325,1749.818,,
2,XAU_EUR,2023-06-29T00:00:00.000000000Z,997,1749.405,1751.217,1748.403,1751.040,1749.576,1751.388,1748.574,1751.211,1749.747,1751.559,1748.745,1751.382,,
3,XAU_EUR,2023-06-29T01:00:00.000000000Z,2007,1751.092,1752.688,1750.198,1751.010,1751.263,1752.859,1750.369,1751.181,1751.434,1753.030,1750.540,1751.352,,
4,XAU_EUR,2023-06-29T02:00:00.000000000Z,1856,1751.060,1751.121,1748.041,1748.293,1751.231,1751.300,1748.212,1748.464,1751.402,1751.479,1748.383,1748.635,,
5,XAU_EUR,2023-06-29T03:00:00.000000000Z,1219,1748.239,1749.259,1746.581,1749.114,1748.410,1749.430,1746.752,1749.285,1748.581,1749.601,1746.923,1749.456,,
6,XAU_EUR,2023-06-29T04:00:00.000000000Z,798,1749.014,1750.660,1748.443,1750.211,1749.185,1750.832,1748.614,1750.382,1749.356,1751.003,1748.785,1750.554,,
7,XAU_EUR,2023-06-29T05:00:00.000000000Z,1801,1750.248,1750.280,1747.484,1748.034,1750.420,1750.452,1747.655,1748.205,1750.591,1750.623,1747.826,1748.376,1749.795875,
8,XAU_EUR,2023-06-29T06:00:00.000000000Z,2238,1748.067,1748.437,1746.851,1747.651,1748.238,1748.608,1747.022,1747.822,1748.409,1748.779,1747.193,1747.993,1749.524625,
9,XAU_EUR,2023-06-29T07:00:00.000000000Z,3006,1747.587,1747.587,1743.903,1745.560,1747.758,1747.758,1744.074,1745.730,1747.929,1747.929,1744.244,1745.901,1749.035,
10,XAU_EUR,2023-06-29T08:00:00.000000000Z,2318,1745.640,1747.926,1743.892,1746.355,1745.810,1748.097,1744.062,1746.526,1745.981,1748.268,1744.233,1746.697,1748.449375,
11,XAU_EUR,2023-06-29T09:00:00.000000000Z,1430,1746.275,1746.614,1744.120,1745.059,1746.446,1746.785,1744.290,1745.230,1746.617,1746.956,1744.461,1745.400,1747.7055,
