,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAU_GBP,2023-06-28T22:00:00.000000000Z,1362,1510.575,1511.162,1510.189,1510.985,1510.854,1511.321,1510.357,1511.138,1511.133,1511.480,1510.518,1511.291,,
1,XAU_GBP,2023-06-28T23:00:00.000000000Z,1596,1510.989,1511.292,1510.177,1510.524,1511.148,1511.451,1510.336,1510.665,1511.307,1511.610,1510.495,1510.806,,
2,XAU_GBP,2023-06-29T00:00:00.000000000Z,2605,1510.476,1511.841,1509.830,1511.591,1510.617,1511.988,1509.971,1511.732,1510.758,1512.135,1510.112,1511.873,,
3,XAU_GBP,2023-06-29T01:00:00.000000000Z,4164,1511.642,1512.669,1510.732,1511.188,1511.783,1512.816,1510.879,1511.329,1511.924,1512.963,1511.022,1511.470,,
4,XAU_GBP,2023-06-29T02:00:00.000000000Z,3937,1511.224,1511.224,1508.021,1508.319,1511.365,1511.365,1508.162,1508.460,1511.506,1511.506,1508.303,1508.601,,
5,XAU_GBP,2023-06-29T03:00:00.000000000Z,3567,1508.280,1509.195,1506.913,1509.074,1508.421,1509.336,1507.072,1509.215,1508.562,1509.489,1507.219,1509.356,,
6,XAU_GBP,2023-06-29T04:00:00.000000000Z,2260,1509.007,1509.845,1508.491,1509.611,1509.148,1509.992,1508.644,1509.758,1509.289,1510.139,1508.787,1509.905,,
7,XAU_GBP,2023-06-29T05:00:00.000000000Z,3462,1509.609,1509.821,1508.001,1508.332,1509.750,1509.962,1508.142,1508.485,1509.891,1510.103,1508.283,1508.638,1510.09775,
8,XAU_GBP,2023-06-29T06:00:00.000000000Z,5423,1508.368,1508.979,1507.047,1507.269,1508.509,1509.122,1507.188,1507.410,1508.650,1509.269,1507.329,1507.551,1509.63175,
9,XAU_GBP,2023-06-29T07:00:00.000000000Z,5884,1507.112,1508.637,1505.640,1506.855,1507.253,1508.790,1505.781,1506.996,1507.394,1508.955,1505.922,1507.137,1509.173125,
