,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAU_HKD,2023-04-20T17:00:00.000000000Z,5248,15745.688,15764.645,15716.427,15734.377,15746.750,15765.707,15717.538,15735.728,15747.811,15766.769,15718.650,15737.080,,
1,XAU_HKD,2023-04-20T21:00:00.000000000Z,4093,15727.930,15741.782,15711.742,15730.304,15729.050,15742.894,15712.874,15731.386,15730.169,15744.006,15714.005,15732.467,,
2,XAU_HKD,2023-04-21T01:00:00.000000000Z,6789,15730.932,15736.688,15698.248,15700.653,15732.014,15737.770,15699.310,15701.704,15733.095,15738.851,15700.371,15702.756,,
3,XAU_HKD,2023-04-21T05:00:00.000000000Z,16032,15701.556,15704.298,15551.633,15604.388,15702.608,15705.340,15552.744,15605.449,15703.659,15706.422,15553.824,15606.510,,
4,XAU_HKD,2023-04-21T09:00:00.000000000Z,12237,15603.995,15637.242,15555.432,15609.373,15605.056,15638.293,15556.542,15610.444,15606.117,15639.344,15557.652,15611.515,,
5,XAU_HKD,2023-04-21T13:00:00.000000000Z,24325,15609.294,15680.243,15473.542,15517.418,15610.384,15681.324,15474.612,15518.558,15611.475,15682.405,15475.682,15519.697,,
6,XAU_HKD,2023-04-21T17:00:00.000000000Z,10507,15517.065,15563.696,15517.065,15556.484,15518.204,15565.634,15518.204,15561.684,15519.344,15570.261,15519.324,15566.885,,
7,XAU_HKD,2023-04-23T21:00:00.000000000Z,4259,15550.051,15579.810,15546.888,15567.146,15553.014,15581.456,15547.988,15568.216,15555.977,15583.103,15549.088,15569.287,15629.146125,
8,XAU_HKD,2023-04-24T01:00:00.000000000Z,9143,15567.656,15573.645,15523.896,15534.417,15568.726,15574.824,15524.946,15535.488,15569.797,15576.004,15525.997,15536.558,15604.116125,
9,XAU_HKD,2023-04-24T05:00:00.000000000Z,12670,15535.124,15580.870,15509.295,15579.497,15536.194,15581.930,15510.395,15580.508,15537.265,15582.991,15511.495,15581.519,15585.256374999999,
10,XAU_HKD,2023-04-24T09:00:00.000000000Z,11855,15578.437,15594.276,15546.681,15570.041,15579.448,15595.327,15547.742,15571.112,15580.459,15596.378,15548.802,15572.182,15568.932375,
11,XAU_HKD,2023-04-24T13:00:00.000000000Z,13279,15570.041,15600.922,15493.934,15593.233,15571.122,15602.012,15495.034,15594.344,15572.202,15603.103,15496.134,15595.454,15567.54425,
12,XAU_HKD,2023-04-24T17:00:00.000000000Z,4654,15593.037,15625.689,15592.684,15611.122,15594.148,15626.770,15593.794,15612.501,15595.258,15627.851,15594.905,15613.880,15567.801375000001,
13,XAU_HKD,2023-04-24T21:00:00.000000000Z,4103,15638.878,15704.818,15629.179,15673.086,15639.989,15705.880,15630.708,15674.138,15641.100,15706.941,15632.237,15675.189,15587.248875,
14,XAU_HKD,2023-04-25T01:00:00.000000000Z,9385,15674.067,15700.654,15627.139,15628.339,15675.118,15701.716,15628.180,15629.370,15676.170,15702.777,15629.221,15630.401,15595.709625000001,
15,XAU_HKD,2023-04-25T05:00:00.000000000Z,12203,15628.182,15677.412,15596.729,15608.984,15629.213,15678.444,15597.798,15609.996,15630.244,15679.475,15598.866,15611.007,15600.932125000001,
16,XAU_HKD,2023-04-25T09:00:00.000000000Z,17530,15609.141,15656.162,15511.646,15644.328,15610.152,15657.204,15512.657,15645.379,15611.164,15658.245,15513.668,15646.430,15614.668500000002,
17,XAU_HKD,2023-04-25T13:00:00.000000000Z,17593,15643.504,15649.447,15569.008,15625.155,15644.555,15650.498,15570.069,15626.206,15645.606,15651.550,15571.130,15627.257,15620.38075,
18,XAU_HKD,2023-04-25T17:00:00.000000000Z,9436,15625.508,15729.106,15620.190,15675.413,15626.559,15730.168,15621.251,15676.514,15627.610,15731.229,15622.312,15677.616,15633.556,
19,XAU_HKD,2023-04-25T21:00:00.000000000Z,6112,15680.147,15718.565,15674.255,15681.308,15681.543,15719.596,15675.666,15682.360,15682.939,15720.628,15677.077,15683.411,15644.558,
