,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAU_NZD,2023-06-28T22:00:00.000000000Z,1210,3144.911,3146.011,3143.624,3145.403,3145.502,3146.476,3144.118,3145.868,3146.092,3146.942,3144.613,3146.333,,
1,XAU_NZD,2023-06-28T23:00:00.000000000Z,1058,3145.437,3145.777,3141.749,3143.845,3145.902,3146.242,3142.214,3144.310,3146.367,3146.707,3142.678,3144.775,,
2,XAU_NZD,2023-06-29T00:00:00.000000000Z,2654,3143.948,3144.543,3141.040,3143.193,3144.413,3145.008,3141.504,3143.658,3144.878,3145.473,3141.969,3144.122,,
3,XAU_NZD,2023-06-29T01:00:00.000000000Z,4829,3143.064,3143.727,3135.600,3139.096,3143.528,3144.192,3136.062,3139.560,3143.993,3144.656,3136.525,3140.023,,
4,XAU_NZD,2023-06-29T02:00:00.000000000Z,4167,3139.169,3142.013,3133.009,3135.225,3139.632,3142.478,3133.472,3135.689,3140.096,3142.942,3133.936,3136.153,,
5,XAU_NZD,2023-06-29T03:00:00.000000000Z,3402,3135.354,3136.809,3131.789,3133.926,3135.818,3137.274,3132.252,3134.390,3136.282,3137.738,3132.716,3134.853,,
6,XAU_NZD,2023-06-29T04:00:00.000000000Z,1742,3133.761,3135.608,3132.720,3134.091,3134.224,3136.072,3133.184,3134.554,3134.688,3136.536,3133.647,3135.018,,
7,XAU_NZD,2023-06-29T05:00:00.000000000Z,2758,3134.046,3134.521,3129.999,3132.296,3134.510,3134.985,3130.462,3132.760,3134.973,3135.449,3130.925,3133.223,3138.848625,
8,XAU_NZD,2023-06-29T06:00:00.000000000Z,3653,3132.240,3135.315,3130.989,3134.347,3132.704,3135.779,3131.452,3134.811,3133.167,3136.243,3131.915,3135.275,3137.4665,
9,XAU_NZD,2023-06-29T07:00:00.000000000Z,3959,3134.451,3134.462,3129.467,3132.019,3134.915,3134.926,3129.930,3132.482,3135.379,3135.389,3130.393,3132.945,3135.988,
10,XAU_NZD,2023-06-29T08:00:00.000000000Z,3574,3132.356,3136.722,3129.880,3134.715,3132.819,3137.186,3130.343,3135.178,3133.282,3137.650,3130.806,3135.642,3134.928,
11,XAU_NZD,2023-06-29T09:00:00.000000000Z,2259,3134.612,3137.986,3133.819,3134.815,3135.076,3138.450,3134.283,3135.279,3135.539,3138.915,3134.747,3135.743,3134.392875,
12,XAU_NZD,2023-06-29T10:00:00.000000000Z,1987,3134.881,3135.901,3129.333,3134.259,3135.345,3136.364,3129.795,3134.722,3135.809,3136.827,3130.257,3135.184,3134.272,
13,XAU_NZD,2023-06-29T11:00:00.000000000Z,1950,3134.128,3134.952,3129.696,3132.630,3134.590,3135.415,3130.158,3133.092,3135.053,3135.878,3130.619,3133.554,3134.10975,
14,XAU_NZD,2023-06-29T12:00:00.000000000Z,10886,3132.400,3135.760,3123.709,3124.274,3132.862,3136.232,3124.172,3124.738,3133.324,3136.945,3124.636,3125.201,3132.88275,
15,XAU_NZD,2023-06-29T13:00:00.000000000Z,9683,3124.222,3137.594,3123.808,3136.853,3124.686,3138.060,3124.272,3137.318,3125.149,3138.526,3124.735,3137.784,3133.4525,
16,XAU_NZD,2023-06-29T14:00:00.000000000Z,12247,3136.690,3152.908,3134.520,3145.514,3137.156,3153.374,3134.985,3145.979,3137.621,3153.840,3135.450,3146.444,3134.8485,
17,XAU_NZD,2023-06-29T15:00:00.000000000Z,5193,3145.618,3147.982,3142.648,3143.409,3146.083,3148.447,3143.112,3143.874,3146.548,3148.912,3143.577,3144.339,3136.2725,
18,XAU_NZD,2023-06-29T16:00:00.000000000Z,3241,3143.261,3147.717,3142.578,3147.583,3143.726,3148.182,3143.043,3148.048,3144.191,3148.648,3143.508,3148.514,3137.8812500000004,
19,XAU_NZD,2023-06-29T17:00:00.000000000Z,2859,3147.500,3148.589,3144.254,3147.101,3147.966,3149.054,3144.720,3147.567,3148.431,3149.520,3145.185,3148.033,3139.41725,
20,XAU_NZD,2023-06-29T18:00:00.000000000Z,1803,3146.969,3148.178,3144.116,3144.404,3147.435,3148.644,3144.582,3144.870,3147.901,3149.111,3145.047,3145.335,3140.68575,
21,XAU_NZD,2023-06-29T19:00:00.000000000Z,1570,3143.836,3147.233,3142.711,3143.350,3144.302,3147.699,3143.176,3143.816,3144.767,3148.165,3143.642,3144.281,3142.02625,
22,XAU_NZD,2023-06-29T20:00:00.000000000Z,761,3143.479,3143.942,3141.042,3142.772,3143.944,3144.407,3141.506,3143.237,3144.410,3144.872,3141.971,3143.702,3144.338625,
23,XAU_NZD,2023-06-29T22:00:00.000000000Z,1175,3145.647,3145.861,3143.632,3144.495,3146.112,3146.369,3144.100,3144.960,3146.578,3146.918,3144.569,3145.426,3145.293875,
24,XAU_NZD,2023-06-29T23:00:00.000000000Z,1040,3144.528,3147.049,3142.703,3146.920,3144.994,3147.515,3143.168,3147.386,3145.459,3147.981,3143.633,3147.852,3145.46975,
25,XAU_NZD,2023-06-30T00:00:00.000000000Z,2329,3146.994,3148.620,3144.054,3145.322,3147.460,3149.086,3144.519,3145.788,3147.926,3149.552,3144.984,3146.253,3145.709,
26,XAU_NZD,2023-06-30T01:00:00.000000000Z,3106,3145.421,3145.987,3140.085,3140.645,3145.886,3146.452,3140.550,3141.110,3146.352,3146.918,3141.014,3141.574,3144.8417499999996,
27,XAU_NZD,2023-06-30T02:00:00.000000000Z,3005,3140.596,3140.596,3133.726,3136.335,3141.060,3141.060,3134.188,3136.798,3141.525,3141.525,3134.651,3137.262,3143.495625,
28,XAU_NZD,2023-06-30T03:00:00.000000000Z,2263,3136.302,3137.659,3133.248,3134.455,3136.766,3138.123,3133.711,3134.918,3137.229,3138.587,3134.174,3135.381,3142.251625,
29,XAU_NZD,2023-06-30T04:00:00.000000000Z,1617,3134.558,3135.095,3130.675,3132.362,3135.021,3135.558,3131.138,3132.824,3135.484,3136.021,3131.600,3133.287,3140.877625,
30,XAU_NZD,2023-06-30T05:00:00.000000000Z,2286,3132.551,3133.247,3128.652,3130.412,3133.014,3133.710,3129.114,3130.874,3133.476,3134.172,3129.575,3131.337,3139.33225,
