,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAU_SGD,2023-04-20T17:00:00.000000000Z,9034,2671.826,2675.136,2668.345,2670.281,2672.093,2675.403,2668.632,2670.715,2672.360,2675.677,2668.919,2671.149,,
1,XAU_SGD,2023-04-20T21:00:00.000000000Z,4509,2669.127,2672.015,2667.423,2670.582,2669.586,2672.282,2667.795,2670.829,2670.044,2672.549,2668.092,2671.076,,
2,XAU_SGD,2023-04-21T01:00:00.000000000Z,7800,2670.675,2671.321,2666.146,2667.573,2670.922,2671.558,2666.413,2667.810,2671.169,2671.795,2666.673,2668.047,,
3,XAU_SGD,2023-04-21T05:00:00.000000000Z,19355,2667.686,2668.146,2645.474,2654.069,2667.923,2668.403,2645.726,2654.316,2668.160,2668.660,2645.972,2654.562,,
4,XAU_SGD,2023-04-21T09:00:00.000000000Z,16969,2654.069,2659.548,2644.967,2652.569,2654.306,2659.824,2645.214,2652.796,2654.542,2660.108,2645.460,2653.022,,
5,XAU_SGD,2023-04-21T13:00:00.000000000Z,32019,2652.549,2663.254,2634.328,2639.796,2652.786,2663.511,2634.544,2640.062,2653.022,2663.768,2634.761,2640.328,,
6,XAU_SGD,2023-04-21T17:00:00.000000000Z,9947,2639.736,2646.402,2639.696,2644.419,2640.002,2646.718,2639.952,2645.789,2640.268,2647.881,2640.169,2647.159,,
7,XAU_SGD,2023-04-23T21:00:00.000000000Z,4391,2643.015,2647.842,2643.015,2645.853,2644.064,2648.168,2643.789,2646.110,2645.113,2648.494,2644.055,2646.366,2656.053375,
8,XAU_SGD,2023-04-24T01:00:00.000000000Z,11475,2645.814,2648.054,2642.074,2644.366,2646.050,2648.302,2642.320,2644.672,2646.287,2648.558,2642.567,2644.978,2652.798,
9,XAU_SGD,2023-04-24T05:00:00.000000000Z,15981,2644.487,2649.293,2641.024,2648.976,2644.793,2649.540,2641.260,2649.232,2645.099,2649.786,2641.484,2649.489,2650.0983749999996,
10,XAU_SGD,2023-04-24T09:00:00.000000000Z,16241,2648.796,2650.291,2644.438,2646.118,2649.052,2650.508,2644.674,2646.434,2649.309,2650.724,2644.911,2646.750,2647.426375,
11,XAU_SGD,2023-04-24T13:00:00.000000000Z,19855,2646.178,2652.141,2634.303,2651.210,2646.474,2652.388,2634.569,2651.456,2646.770,2652.654,2634.835,2651.703,2647.0688750000004,
12,XAU_SGD,2023-04-24T17:00:00.000000000Z,5472,2651.183,2655.760,2650.880,2652.013,2651.420,2656.006,2651.156,2652.418,2651.656,2656.253,2651.433,2652.824,2647.021625,
