,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XAU_XAG,2023-06-28T22:00:00.000000000Z,862,84.045,84.060,83.970,83.991,84.094,84.106,84.016,84.032,84.144,84.159,84.061,84.074,,
1,XAU_XAG,2023-06-28T23:00:00.000000000Z,418,83.992,84.010,83.948,83.981,84.033,84.050,83.988,84.018,84.074,84.089,84.027,84.055,,
2,XAU_XAG,2023-06-29T00:00:00.000000000Z,1174,83.970,84.070,83.957,83.966,84.011,84.109,83.999,84.005,84.052,84.151,84.040,84.044,,
3,XAU_XAG,2023-06-29T01:00:00.000000000Z,3487,83.958,83.963,83.540,83.698,83.995,84.002,83.579,83.736,84.032,84.041,83.618,83.773,,
4,XAU_XAG,2023-06-29T02:00:00.000000000Z,3110,83.702,83.909,83.688,83.838,83.740,83.946,83.728,83.878,83.777,83.983,83.767,83.917,,
5,XAU_XAG,2023-06-29T03:00:00.000000000Z,2018,83.835,83.879,83.713,83.722,83.875,83.916,83.752,83.760,83.915,83.953,83.788,83.798,,
6,XAU_XAG,2023-06-29T04:00:00.000000000Z,872,83.718,83.728,83.595,83.642,83.756,83.768,83.636,83.680,83.794,83.809,83.676,83.719,,
7,XAU_XAG,2023-06-29T05:00:00.000000000Z,2053,83.634,83.818,83.625,83.798,83.672,83.858,83.663,83.836,83.710,83.899,83.701,83.874,83.868125,
8,XAU_XAG,2023-06-29T06:00:00.000000000Z,2757,83.795,83.876,83.672,83.777,83.834,83.914,83.710,83.814,83.872,83.951,83.747,83.850,83.840875,
9,XAU_XAG,2023-06-29T07:00:00.000000000Z,2501,83.767,83.856,83.500,83.529,83.804,83.893,83.537,83.570,83.841,83.930,83.574,83.610,83.784875,
10,XAU_XAG,2023-06-29T08:00:00.000000000Z,2638,83.537,83.735,83.526,83.731,83.578,83.772,83.564,83.768,83.619,83.809,83.603,83.805,83.75525,
11,XAU_XAG,2023-06-29T09:00:00.000000000Z,1327,83.732,83.934,83.707,83.822,83.768,83.972,83.744,83.859,83.805,84.010,83.782,83.896,83.77062500000001,
12,XAU_XAG,2023-06-29T10:00:00.000000000Z,1175,83.826,83.828,83.480,83.496,83.863,83.865,83.518,83.535,83.900,83.903,83.555,83.574,83.72775,
13,XAU_XAG,2023-06-29T11:00:00.000000000Z,933,83.502,83.698,83.445,83.698,83.538,83.734,83.482,83.734,83.575,83.771,83.518,83.771,83.7245,
14,XAU_XAG,2023-06-29T12:00:00.000000000Z,9484,83.713,84.273,83.568,84.198,83.750,84.310,83.616,84.235,83.786,84.348,83.656,84.272,83.79387499999999,
15,XAU_XAG,2023-06-29T13:00:00.000000000Z,8410,84.193,84.979,83.802,84.740,84.230,85.018,83.840,84.778,84.267,85.057,83.877,84.817,83.91162499999999,
16,XAU_XAG,2023-06-29T14:00:00.000000000Z,10346,84.742,84.988,84.279,84.341,84.780,85.026,84.317,84.378,84.818,85.064,84.354,84.415,83.982125,
17,XAU_XAG,2023-06-29T15:00:00.000000000Z,3739,84.344,84.538,84.292,84.381,84.381,84.575,84.329,84.418,84.418,84.612,84.366,84.455,84.088125,
18,XAU_XAG,2023-06-29T16:00:00.000000000Z,1982,84.377,84.562,84.254,84.397,84.416,84.600,84.291,84.434,84.454,84.637,84.328,84.472,84.171375,
19,XAU_XAG,2023-06-29T17:00:00.000000000Z,1906,84.403,84.577,84.386,84.520,84.440,84.614,84.423,84.558,84.477,84.652,84.460,84.595,84.25874999999999,
20,XAU_XAG,2023-06-29T18:00:00.000000000Z,1055,84.517,84.530,84.401,84.456,84.554,84.568,84.438,84.493,84.592,84.605,84.475,84.530,84.3785,
21,XAU_XAG,2023-06-29T19:00:00.000000000Z,640,84.447,84.554,84.440,84.454,84.484,84.592,84.477,84.491,84.521,84.629,84.514,84.528,84.473125,
22,XAU_XAG,2023-06-29T20:00:00.000000000Z,280,84.451,84.494,84.442,84.488,84.488,84.534,84.480,84.534,84.525,84.581,84.517,84.581,84.5105,
23,XAU_XAG,2023-06-29T22:00:00.000000000Z,909,84.498,84.525,84.451,84.518,84.542,84.565,84.497,84.560,84.585,84.611,84.542,84.603,84.48325000000001,
24,XAU_XAG,2023-06-29T23:00:00.000000000Z,703,84.519,84.519,84.448,84.474,84.561,84.561,84.490,84.517,84.603,84.603,84.531,84.560,84.500625,
25,XAU_XAG,2023-06-30T00:00:00.000000000Z,1307,84.477,84.519,84.448,84.480,84.519,84.564,84.490,84.522,84.561,84.608,84.531,84.563,84.513625,
26,XAU_XAG,2023-06-30T01:00:00.000000000Z,2077,84.483,84.553,84.348,84.446,84.520,84.590,84.387,84.484,84.558,84.631,84.426,84.521,84.519875,
27,XAU_XAG,2023-06-30T02:00:00.000000000Z,1777,84.443,84.472,84.348,84.390,84.483,84.512,84.385,84.428,84.523,84.552,84.422,84.465,84.503625,
28,XAU_XAG,2023-06-30T03:00:00.000000000Z,1080,84.389,84.452,84.288,84.310,84.426,84.490,84.330,84.347,84.463,84.529,84.371,84.384,84.485375,
29,XAU_XAG,2023-06-30T04:00:00.000000000Z,628,84.311,84.314,84.137,84.143,84.349,84.351,84.176,84.180,84.387,84.388,84.214,84.217,84.4465,
30,XAU_XAG,2023-06-30T05:00:00.000000000Z,1215,84.146,84.376,84.097,84.366,84.184,84.413,84.134,84.403,84.221,84.450,84.171,84.440,84.430125,
31,XAU_XAG,2023-06-30T06:00:00.000000000Z,2457,84.365,84.599,84.363,84.535,84.405,84.636,84.402,84.574,84.445,84.674,84.439,84.612,84.43187499999999,
32,XAU_XAG,2023-06-30T07:00:00.000000000Z,1943,84.532,84.931,84.532,84.922,84.570,84.970,84.570,84.960,84.609,85.008,84.609,84.997,84.48725,
33,XAU_XAG,2023-06-30T08:00:00.000000000Z,2017,84.922,85.044,84.790,85.022,84.961,85.082,84.830,85.060,85.000,85.123,84.869,85.098,84.55449999999999,
34,XAU_XAG,2023-06-30T09:00:00.000000000Z,2517,85.008,85.052,84.787,84.829,85.046,85.092,84.827,84.869,85.084,85.132,84.866,84.909,84.602625,
35,XAU_XAG,2023-06-30T10:00:00.000000000Z,1879,84.826,84.920,84.717,84.821,84.866,84.959,84.758,84.858,84.906,84.998,84.798,84.896,84.65637500000001,
36,XAU_XAG,2023-06-30T11:00:00.000000000Z,1465,84.834,85.017,84.811,84.948,84.872,85.056,84.848,84.986,84.909,85.095,84.886,85.023,84.73625,
37,XAU_XAG,2023-06-30T12:00:00.000000000Z,8337,84.939,85.182,84.742,85.117,84.976,85.220,84.788,85.158,85.014,85.258,84.833,85.198,84.8585,
