,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XCU_USD,2023-06-28T22:00:00.000000000Z,194,3.71637,3.72086,3.71538,3.71588,3.71712,3.72186,3.71613,3.71663,3.71787,3.72286,3.71688,3.71738,,
1,XCU_USD,2023-06-28T23:00:00.000000000Z,215,3.71538,3.71937,3.71439,3.71489,3.71613,3.72037,3.71514,3.71564,3.71688,3.72137,3.71589,3.71639,,
2,XCU_USD,2023-06-29T00:00:00.000000000Z,678,3.71489,3.72187,3.71439,3.72137,3.71589,3.72262,3.71539,3.72237,3.71689,3.72337,3.71639,3.72337,,
3,XCU_USD,2023-06-29T01:00:00.000000000Z,2157,3.72137,3.73982,3.72137,3.72587,3.72212,3.74057,3.72212,3.72687,3.72287,3.74132,3.72287,3.72787,,
4,XCU_USD,2023-06-29T02:00:00.000000000Z,1295,3.72587,3.72687,3.71988,3.72188,3.72662,3.72786,3.72088,3.72263,3.72737,3.72886,3.72188,3.72338,,
5,XCU_USD,2023-06-29T03:00:00.000000000Z,971,3.72138,3.72388,3.71391,3.71890,3.72238,3.72463,3.71491,3.71990,3.72338,3.72538,3.71591,3.72090,,
6,XCU_USD,2023-06-29T04:00:00.000000000Z,398,3.71890,3.72388,3.71491,3.71641,3.71965,3.72463,3.71591,3.71741,3.72040,3.72538,3.71691,3.71841,,
7,XCU_USD,2023-06-29T05:00:00.000000000Z,1044,3.71641,3.72389,3.71442,3.71741,3.71716,3.72489,3.71542,3.71816,3.71791,3.72589,3.71641,3.71891,3.7199512500000003,
8,XCU_USD,2023-06-29T06:00:00.000000000Z,1493,3.71691,3.71941,3.70694,3.71692,3.71791,3.72016,3.70794,3.71767,3.71891,3.72091,3.70894,3.71842,3.7200812500000002,
9,XCU_USD,2023-06-29T07:00:00.000000000Z,1438,3.71642,3.73038,3.71193,3.72141,3.71742,3.73113,3.71268,3.72241,3.71842,3.73188,3.71343,3.72341,3.7209275,
10,XCU_USD,2023-06-29T08:00:00.000000000Z,1882,3.72191,3.72241,3.69050,3.69599,3.72266,3.72341,3.69125,3.69674,3.72341,3.72441,3.69200,3.69749,3.71772375,
11,XCU_USD,2023-06-29T09:00:00.000000000Z,1080,3.69649,3.69798,3.68104,3.68403,3.69724,3.69898,3.68179,3.68503,3.69799,3.69998,3.68254,3.68603,3.71249375,
12,XCU_USD,2023-06-29T10:00:00.000000000Z,1028,3.68403,3.68952,3.68154,3.68653,3.68478,3.69052,3.68229,3.68728,3.68553,3.69201,3.68304,3.68803,3.708075,
13,XCU_USD,2023-06-29T11:00:00.000000000Z,1094,3.68603,3.69052,3.67657,3.68005,3.68703,3.69127,3.67781,3.68105,3.68803,3.69202,3.67856,3.68205,3.70321875,
14,XCU_USD,2023-06-29T12:00:00.000000000Z,2392,3.67955,3.68255,3.67158,3.68006,3.68055,3.68330,3.67233,3.68106,3.68155,3.68405,3.67308,3.68206,3.6986749999999997,
15,XCU_USD,2023-06-29T13:00:00.000000000Z,3263,3.68056,3.68704,3.67109,3.67607,3.68156,3.68779,3.67184,3.67707,3.68256,3.68854,3.67259,3.67807,3.69353875,
16,XCU_USD,2023-06-29T14:00:00.000000000Z,3493,3.67608,3.70150,3.67508,3.68655,3.67683,3.70225,3.67608,3.68730,3.67758,3.70300,3.67708,3.68805,3.6897425,
17,XCU_USD,2023-06-29T15:00:00.000000000Z,1840,3.68605,3.69054,3.68057,3.68905,3.68705,3.69129,3.68132,3.68980,3.68805,3.69204,3.68207,3.69055,3.68566625,
18,XCU_USD,2023-06-29T16:00:00.000000000Z,1038,3.68855,3.68905,3.68357,3.68656,3.68955,3.69005,3.68432,3.68756,3.69055,3.69105,3.68507,3.68856,3.6845187499999996,
19,XCU_USD,2023-06-29T17:00:00.000000000Z,643,3.68606,3.69055,3.68307,3.68357,3.68681,3.69130,3.68382,3.68432,3.68756,3.69205,3.68457,3.68507,3.68443,
20,XCU_USD,2023-06-29T18:00:00.000000000Z,470,3.68307,3.68906,3.68108,3.68458,3.68407,3.68981,3.68208,3.68533,3.68507,3.69056,3.68308,3.68608,3.6841862499999998,
21,XCU_USD,2023-06-29T19:00:00.000000000Z,369,3.68507,3.68707,3.68358,3.68508,3.68582,3.68782,3.68458,3.68583,3.68657,3.68857,3.68558,3.68658,3.6847837500000002,
22,XCU_USD,2023-06-29T20:00:00.000000000Z,173,3.68458,3.68907,3.68408,3.68658,3.68558,3.68982,3.68483,3.68733,3.68658,3.69057,3.68558,3.68808,3.6855675000000003,
23,XCU_USD,2023-06-29T22:00:00.000000000Z,115,3.68659,3.68908,3.68658,3.68858,3.68834,3.68983,3.68734,3.68933,3.69008,3.69058,3.68809,3.69008,3.6871,
24,XCU_USD,2023-06-29T23:00:00.000000000Z,178,3.68808,3.68908,3.68659,3.68809,3.68908,3.68983,3.68734,3.68884,3.69008,3.69059,3.68809,3.68959,3.6872925,
25,XCU_USD,2023-06-30T00:00:00.000000000Z,534,3.68759,3.68959,3.68361,3.68461,3.68859,3.69034,3.68461,3.68536,3.68959,3.69109,3.68561,3.68611,3.6867375,
26,XCU_USD,2023-06-30T01:00:00.000000000Z,2495,3.68510,3.70355,3.68261,3.70206,3.68585,3.70430,3.68336,3.70306,3.68660,3.70506,3.68411,3.70406,3.688675,
27,XCU_USD,2023-06-30T02:00:00.000000000Z,1991,3.70206,3.72450,3.69957,3.71901,3.70281,3.72525,3.70032,3.71976,3.70356,3.72600,3.70107,3.72051,3.693105,
28,XCU_USD,2023-06-30T03:00:00.000000000Z,937,3.71901,3.72749,3.71652,3.72201,3.72001,3.72849,3.71727,3.72276,3.72101,3.72949,3.71802,3.72351,3.69778375,
29,XCU_USD,2023-06-30T04:00:00.000000000Z,358,3.72201,3.72251,3.71553,3.71703,3.72301,3.72351,3.71628,3.71778,3.72401,3.72451,3.71703,3.71853,3.7017775,
30,XCU_USD,2023-06-30T05:00:00.000000000Z,1220,3.71753,3.72003,3.71354,3.71903,3.71828,3.72078,3.71429,3.71978,3.71903,3.72153,3.71504,3.72053,3.70583375,
31,XCU_USD,2023-06-30T06:00:00.000000000Z,1567,3.71903,3.72003,3.70507,3.71156,3.72003,3.72078,3.70582,3.71231,3.72103,3.72153,3.70657,3.71306,3.70870625,
32,XCU_USD,2023-06-30T07:00:00.000000000Z,1451,3.71206,3.71355,3.70109,3.71007,3.71281,3.71430,3.70184,3.71082,3.71356,3.71505,3.70259,3.71157,3.7114537499999996,
33,XCU_USD,2023-06-30T08:00:00.000000000Z,1430,3.71007,3.71755,3.70109,3.71207,3.71107,3.71830,3.70184,3.71282,3.71207,3.71905,3.70259,3.71357,3.7148862499999997,
34,XCU_USD,2023-06-30T09:00:00.000000000Z,1173,3.71206,3.72154,3.71057,3.71357,3.71306,3.72229,3.71132,3.71457,3.71406,3.72304,3.71207,3.71557,3.7163250000000003,
35,XCU_USD,2023-06-30T10:00:00.000000000Z,922,3.71406,3.71456,3.70559,3.70659,3.71481,3.71556,3.70634,3.70734,3.71556,3.71656,3.70709,3.70809,3.7147725,
36,XCU_USD,2023-06-30T11:00:00.000000000Z,1152,3.70609,3.70759,3.69662,3.69962,3.70709,3.70859,3.69738,3.70062,3.70809,3.70959,3.69813,3.70162,3.712005,
37,XCU_USD,2023-06-30T12:00:00.000000000Z,2421,3.70012,3.72704,3.69712,3.72006,3.70087,3.72779,3.69812,3.72081,3.70162,3.72854,3.69912,3.72156,3.71238375,
38,XCU_USD,2023-06-30T13:00:00.000000000Z,3411,3.71956,3.74001,3.71857,3.73054,3.72056,3.74076,3.71932,3.73179,3.72156,3.74151,3.72007,3.73304,3.713885,
39,XCU_USD,2023-06-30T14:00:00.000000000Z,3051,3.73054,3.75447,3.72904,3.73353,3.73154,3.75522,3.73004,3.73428,3.73254,3.75647,3.73104,3.73503,3.71663125,
40,XCU_USD,2023-06-30T15:00:00.000000000Z,1876,3.73403,3.75248,3.73254,3.74600,3.73503,3.75348,3.73354,3.74675,3.73603,3.75448,3.73453,3.74750,3.7211225000000003,
41,XCU_USD,2023-06-30T16:00:00.000000000Z,1180,3.74600,3.75049,3.74201,3.74700,3.74700,3.75124,3.74276,3.74775,3.74800,3.75199,3.74351,3.74850,3.7254887500000002,
42,XCU_USD,2023-06-30T17:00:00.000000000Z,714,3.74750,3.75847,3.74700,3.75199,3.74825,3.75922,3.74775,3.75299,3.74900,3.75997,3.74850,3.75399,3.73029125,
43,XCU_USD,2023-06-30T18:00:00.000000000Z,364,3.75249,3.75599,3.74900,3.75300,3.75324,3.75674,3.74976,3.75400,3.75399,3.75749,3.75051,3.75500,3.73612375,
44,XCU_USD,2023-06-30T19:00:00.000000000Z,383,3.75300,3.75350,3.75050,3.75101,3.75375,3.75425,3.75125,3.75201,3.75450,3.75500,3.75200,3.75301,3.7425475,
45,XCU_USD,2023-06-30T20:00:00.000000000Z,305,3.75151,3.75350,3.75001,3.75251,3.75226,3.75425,3.75101,3.75351,3.75301,3.75501,3.75201,3.75451,3.746635,
46,XCU_USD,2023-07-02T22:00:00.000000000Z,214,3.75276,3.75625,3.75126,3.75326,3.75401,3.75700,3.75201,3.75426,3.75526,3.75775,3.75276,3.75526,3.7494437499999997,
47,XCU_USD,2023-07-02T23:00:00.000000000Z,165,3.75376,3.75427,3.75077,3.75427,3.75451,3.75502,3.75152,3.75502,3.75526,3.75577,3.75227,3.75577,3.75203625,
48,XCU_USD,2023-07-03T00:00:00.000000000Z,523,3.75377,3.76274,3.74978,3.75078,3.75477,3.76349,3.75053,3.75178,3.75577,3.76424,3.75128,3.75278,3.752665,
49,XCU_USD,2023-07-03T01:00:00.000000000Z,2660,3.75078,3.78967,3.74829,3.78170,3.75153,3.79042,3.74904,3.78245,3.75228,3.79117,3.74979,3.78320,3.7570025,
50,XCU_USD,2023-07-03T02:00:00.000000000Z,1224,3.78170,3.78269,3.77322,3.77921,3.78270,3.78344,3.77422,3.78021,3.78370,3.78469,3.77522,3.78121,3.7604049999999996,
51,XCU_USD,2023-07-03T03:00:00.000000000Z,680,3.77971,3.78719,3.77672,3.78520,3.78046,3.78794,3.77747,3.78620,3.78121,3.78869,3.77822,3.78720,3.76443,
52,XCU_USD,2023-07-03T04:00:00.000000000Z,360,3.78570,3.78969,3.78171,3.78670,3.78645,3.79044,3.78246,3.78745,3.78720,3.79119,3.78321,3.78820,3.7688599999999997,
