,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XPD_USD,2023-04-20T17:00:00.000000000Z,1420,1584.246,1600.716,1575.263,1586.748,1585.744,1602.464,1576.512,1588.496,1587.243,1604.213,1577.761,1590.244,,
1,XPD_USD,2023-04-20T21:00:00.000000000Z,712,1589.245,1591.244,1585.257,1588.253,1593.488,1593.490,1587.754,1590.500,1597.732,1597.732,1588.754,1592.747,,
2,XPD_USD,2023-04-21T01:00:00.000000000Z,1029,1587.754,1600.233,1586.756,1592.252,1590.250,1602.479,1589.003,1594.250,1592.747,1604.726,1591.250,1596.247,,
3,XPD_USD,2023-04-21T05:00:00.000000000Z,1488,1592.253,1595.751,1574.289,1590.264,1594.999,1597.998,1575.788,1592.760,1597.745,1600.246,1577.286,1595.257,,
4,XPD_USD,2023-04-21T09:00:00.000000000Z,1781,1590.763,1627.201,1583.776,1621.212,1593.010,1628.200,1585.774,1623.958,1595.257,1630.198,1587.771,1626.705,,
5,XPD_USD,2023-04-21T13:00:00.000000000Z,3432,1621.213,1625.705,1591.773,1601.757,1623.710,1627.453,1593.024,1603.256,1626.206,1629.201,1594.273,1604.754,,
6,XPD_USD,2023-04-21T17:00:00.000000000Z,1104,1601.257,1604.754,1596.268,1598.270,1602.256,1606.252,1598.764,1599.519,1603.256,1607.754,1600.263,1600.768,,
7,XPD_USD,2023-04-23T21:00:00.000000000Z,829,1595.864,1605.350,1582.893,1584.390,1599.858,1606.350,1584.392,1588.134,1603.852,1607.848,1585.391,1591.879,1597.609125,
8,XPD_USD,2023-04-24T01:00:00.000000000Z,1811,1584.390,1585.389,1571.920,1576.412,1588.384,1589.134,1574.666,1579.658,1592.378,1592.878,1577.413,1582.903,1596.5043750000002,
9,XPD_USD,2023-04-24T05:00:00.000000000Z,2691,1576.911,1587.897,1563.439,1585.902,1579.658,1589.896,1565.686,1588.399,1582.404,1592.892,1567.934,1590.896,1596.24175,
10,XPD_USD,2023-04-24T09:00:00.000000000Z,4471,1586.401,1587.899,1536.498,1536.498,1588.648,1590.395,1537.996,1538.746,1590.896,1592.893,1539.495,1540.993,1589.30375,
11,XPD_USD,2023-04-24T13:00:00.000000000Z,3107,1536.997,1553.967,1507.554,1528.519,1538.995,1554.966,1508.554,1530.267,1540.993,1555.966,1509.554,1532.015,1581.4921250000002,
12,XPD_USD,2023-04-24T17:00:00.000000000Z,1295,1528.519,1536.012,1517.042,1532.020,1530.517,1537.261,1519.539,1533.518,1532.515,1540.007,1521.537,1535.017,1570.187125,
13,XPD_USD,2023-04-24T21:00:00.000000000Z,943,1531.523,1536.018,1527.530,1533.524,1534.768,1537.766,1529.778,1537.019,1538.014,1541.011,1531.027,1540.514,1561.9074999999998,
14,XPD_USD,2023-04-25T01:00:00.000000000Z,2251,1533.524,1534.024,1522.546,1524.048,1536.270,1537.768,1524.046,1527.792,1539.017,1541.514,1525.544,1531.537,1552.9416250000002,
15,XPD_USD,2023-04-25T05:00:00.000000000Z,2293,1524.048,1531.039,1486.621,1502.094,1528.042,1532.038,1489.866,1504.840,1532.037,1533.038,1492.114,1507.587,1542.5298750000002,
16,XPD_USD,2023-04-25T09:00:00.000000000Z,4185,1502.094,1507.085,1474.647,1487.127,1505.090,1509.332,1477.892,1489.125,1508.086,1514.075,1481.138,1491.123,1531.2132499999998,
17,XPD_USD,2023-04-25T13:00:00.000000000Z,3448,1487.127,1500.104,1462.174,1477.651,1489.874,1502.850,1464.671,1479.150,1492.620,1505.597,1467.168,1480.648,1517.557125,
18,XPD_USD,2023-04-25T17:00:00.000000000Z,1326,1477.651,1483.143,1473.162,1481.650,1479.399,1485.390,1474.912,1483.398,1481.147,1487.637,1476.161,1485.146,1510.638625,
19,XPD_USD,2023-04-25T21:00:00.000000000Z,1162,1477.659,1493.635,1477.160,1488.645,1480.655,1494.884,1478.908,1490.892,1483.651,1496.133,1480.656,1493.140,1505.71675,
20,XPD_USD,2023-04-26T01:00:00.000000000Z,1265,1489.144,1492.642,1482.656,1488.652,1491.890,1493.642,1485.902,1491.898,1494.637,1496.137,1488.149,1495.143,1500.5142500000002,
21,XPD_USD,2023-04-26T05:00:00.000000000Z,2530,1488.153,1511.117,1486.657,1502.634,1491.149,1514.612,1489.404,1504.382,1494.145,1518.107,1492.150,1506.131,1496.434625,
22,XPD_USD,2023-04-26T09:00:00.000000000Z,1766,1502.634,1523.599,1492.159,1496.651,1505.380,1524.598,1494.906,1497.900,1508.127,1526.597,1497.652,1499.149,1492.698125,
23,XPD_USD,2023-04-26T13:00:00.000000000Z,2265,1497.150,1509.634,1481.179,1506.142,1498.150,1512.131,1482.428,1507.142,1499.149,1514.628,1483.677,1508.141,1492.9858749999999,
24,XPD_USD,2023-04-26T17:00:00.000000000Z,1509,1506.641,1520.617,1495.667,1496.166,1507.890,1522.366,1497.914,1498.164,1509.139,1524.114,1500.162,1500.162,1494.11575,
25,XPD_USD,2023-04-26T21:00:00.000000000Z,679,1494.670,1504.155,1493.173,1499.667,1498.914,1505.904,1495.420,1502.164,1503.158,1508.153,1497.668,1504.661,1496.9924999999998,
26,XPD_USD,2023-04-27T01:00:00.000000000Z,812,1499.168,1509.656,1495.175,1509.656,1501.914,1512.153,1498.171,1512.153,1504.661,1514.650,1500.668,1514.650,1500.586875,
27,XPD_USD,2023-04-27T05:00:00.000000000Z,1218,1509.157,1523.135,1502.675,1502.675,1511.654,1524.884,1505.172,1505.422,1514.151,1526.632,1507.170,1508.168,1502.403125,
28,XPD_USD,2023-04-27T09:00:00.000000000Z,2579,1502.675,1513.660,1487.208,1495.694,1505.172,1515.659,1488.208,1498.191,1507.669,1518.156,1489.207,1500.688,1503.18975,
29,XPD_USD,2023-04-27T13:00:00.000000000Z,3246,1495.195,1505.680,1454.765,1490.709,1497.942,1506.929,1457.012,1491.958,1500.688,1508.179,1459.260,1493.207,1501.6367500000001,
30,XPD_USD,2023-04-27T17:00:00.000000000Z,1068,1489.711,1496.700,1483.724,1487.222,1491.460,1498.198,1485.974,1488.720,1493.208,1499.697,1487.719,1490.219,1500.48925,
31,XPD_USD,2023-04-27T21:00:00.000000000Z,622,1483.730,1489.724,1482.237,1484.234,1486.227,1491.222,1484.482,1487.979,1488.724,1492.722,1486.231,1491.724,1498.093875,
