,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,XPT_USD,2023-04-20T17:00:00.000000000Z,3206,1102.002,1104.990,1100.509,1103.802,1102.802,1105.890,1101.360,1104.702,1103.602,1106.789,1102.209,1105.601,,
1,XPT_USD,2023-04-20T21:00:00.000000000Z,1380,1103.606,1105.205,1102.317,1105.205,1104.605,1106.204,1103.267,1106.204,1105.604,1107.203,1104.216,1107.203,,
2,XPT_USD,2023-04-21T01:00:00.000000000Z,2561,1105.105,1106.302,1102.618,1103.920,1106.054,1107.102,1103.518,1104.820,1107.003,1108.002,1104.417,1105.719,,
3,XPT_USD,2023-04-21T05:00:00.000000000Z,5058,1104.020,1104.916,1095.863,1102.834,1104.870,1105.814,1097.110,1103.833,1105.719,1106.722,1098.059,1104.832,,
4,XPT_USD,2023-04-21T09:00:00.000000000Z,6118,1103.034,1136.382,1100.347,1134.890,1103.983,1137.282,1101.346,1135.839,1104.932,1138.280,1102.146,1136.788,,
5,XPT_USD,2023-04-21T13:00:00.000000000Z,13008,1134.591,1142.355,1125.437,1130.719,1135.690,1143.254,1126.286,1131.668,1136.788,1144.154,1127.136,1132.617,,
6,XPT_USD,2023-04-21T17:00:00.000000000Z,3152,1130.719,1136.201,1130.719,1135.107,1131.618,1137.050,1131.618,1136.454,1132.518,1138.001,1132.518,1137.801,,
7,XPT_USD,2023-04-23T21:00:00.000000000Z,1714,1134.326,1134.923,1116.018,1119.303,1135.524,1135.872,1116.868,1120.152,1136.722,1137.120,1117.717,1121.002,1117.959,
8,XPT_USD,2023-04-24T01:00:00.000000000Z,2586,1119.005,1119.404,1109.060,1111.051,1119.954,1120.204,1109.910,1112.000,1120.903,1121.102,1110.759,1112.949,1118.87125,
9,XPT_USD,2023-04-24T05:00:00.000000000Z,4362,1111.150,1114.444,1105.980,1113.847,1112.050,1115.244,1106.879,1114.896,1112.949,1116.044,1107.679,1115.944,1119.95775,
10,XPT_USD,2023-04-24T09:00:00.000000000Z,4561,1113.747,1116.937,1094.347,1097.433,1114.846,1117.737,1095.844,1098.332,1115.944,1118.539,1096.842,1099.232,1119.14675,
11,XPT_USD,2023-04-24T13:00:00.000000000Z,8816,1097.433,1103.209,1089.078,1093.858,1098.282,1104.158,1089.928,1094.758,1099.132,1105.108,1090.777,1095.657,1118.012375,
12,XPT_USD,2023-04-24T17:00:00.000000000Z,2410,1093.859,1095.558,1091.171,1094.067,1094.708,1096.401,1092.070,1095.016,1095.558,1097.350,1092.970,1095.965,1112.9095,
13,XPT_USD,2023-04-24T21:00:00.000000000Z,1501,1093.770,1099.251,1093.770,1098.157,1095.167,1100.200,1094.670,1099.006,1096.564,1101.249,1095.569,1099.856,1108.82675,
14,XPT_USD,2023-04-25T01:00:00.000000000Z,2750,1097.958,1099.053,1092.586,1094.980,1098.907,1100.002,1093.535,1095.880,1099.856,1101.050,1094.385,1096.779,1103.755,
15,XPT_USD,2023-04-25T05:00:00.000000000Z,4887,1095.080,1097.673,1081.750,1085.533,1095.930,1098.522,1082.749,1086.432,1096.779,1099.372,1083.748,1087.332,1099.54,
16,XPT_USD,2023-04-25T09:00:00.000000000Z,6580,1085.533,1091.514,1071.305,1086.537,1086.382,1092.364,1072.105,1087.536,1087.232,1093.213,1072.905,1088.535,1096.482,
17,XPT_USD,2023-04-25T13:00:00.000000000Z,8905,1086.538,1096.494,1080.765,1090.130,1087.586,1097.344,1081.764,1090.930,1088.635,1098.193,1082.763,1091.730,1093.48625,
18,XPT_USD,2023-04-25T17:00:00.000000000Z,4660,1090.030,1100.386,1090.030,1097.803,1090.930,1101.284,1090.930,1098.702,1091.829,1102.184,1091.829,1099.602,1093.5325,
19,XPT_USD,2023-04-25T21:00:00.000000000Z,1677,1098.105,1104.083,1097.507,1102.591,1099.352,1104.883,1098.606,1103.590,1100.600,1105.683,1099.605,1104.589,1094.6365,
20,XPT_USD,2023-04-26T01:00:00.000000000Z,2733,1102.690,1105.780,1100.401,1104.491,1103.590,1106.580,1101.201,1105.440,1104.489,1107.380,1102.001,1106.389,1095.9395,
21,XPT_USD,2023-04-26T05:00:00.000000000Z,4033,1104.391,1112.762,1104.292,1112.364,1105.390,1113.662,1105.092,1113.164,1106.389,1114.661,1105.892,1113.964,1097.7092499999999,
22,XPT_USD,2023-04-26T09:00:00.000000000Z,5932,1111.767,1117.943,1099.631,1100.926,1112.866,1118.792,1100.530,1101.875,1113.964,1119.642,1101.430,1102.824,1098.458625,
23,XPT_USD,2023-04-26T13:00:00.000000000Z,10143,1100.826,1110.184,1096.454,1098.844,1101.775,1111.084,1097.304,1099.744,1102.724,1112.082,1098.153,1100.643,1100.122625,
24,XPT_USD,2023-04-26T17:00:00.000000000Z,4439,1098.844,1101.632,1094.566,1096.464,1099.793,1102.482,1095.416,1097.463,1100.742,1103.431,1096.266,1098.462,1101.3635,
25,XPT_USD,2023-04-26T21:00:00.000000000Z,1286,1096.765,1099.059,1096.169,1098.364,1098.012,1100.008,1096.969,1099.363,1099.260,1100.957,1097.769,1100.362,1102.417625,
26,XPT_USD,2023-04-27T01:00:00.000000000Z,2699,1098.464,1104.745,1096.871,1104.247,1099.413,1105.594,1097.820,1105.196,1100.362,1106.543,1098.769,1106.145,1103.2293750000001,
27,XPT_USD,2023-04-27T05:00:00.000000000Z,3948,1104.346,1107.541,1099.672,1106.944,1105.246,1108.490,1100.622,1107.844,1106.145,1109.439,1101.471,1108.743,1103.761125,
