,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,ZAR_JPY,2023-07-11T18:00:00.000000000Z,438,7.563,7.582,7.562,7.582,7.570,7.588,7.568,7.588,7.576,7.593,7.574,7.593,,
1,ZAR_JPY,2023-07-11T19:00:00.000000000Z,443,7.582,7.587,7.579,7.583,7.588,7.593,7.584,7.589,7.594,7.599,7.590,7.595,,
2,ZAR_JPY,2023-07-11T20:00:00.000000000Z,305,7.584,7.589,7.583,7.584,7.590,7.596,7.590,7.590,7.597,7.602,7.595,7.597,,
3,ZAR_JPY,2023-07-11T21:00:00.000000000Z,197,7.559,7.571,7.554,7.565,7.578,7.585,7.578,7.584,7.598,7.605,7.596,7.603,,
4,ZAR_JPY,2023-07-11T22:00:00.000000000Z,208,7.554,7.585,7.554,7.577,7.579,7.591,7.572,7.584,7.604,7.604,7.583,7.592,,
5,ZAR_JPY,2023-07-11T23:00:00.000000000Z,313,7.578,7.583,7.572,7.577,7.585,7.590,7.580,7.583,7.592,7.598,7.585,7.589,,
6,ZAR_JPY,2023-07-12T00:00:00.000000000Z,997,7.575,7.579,7.561,7.568,7.582,7.585,7.567,7.574,7.589,7.591,7.573,7.580,,
7,ZAR_JPY,2023-07-12T01:00:00.000000000Z,907,7.568,7.568,7.551,7.565,7.574,7.574,7.558,7.572,7.579,7.581,7.565,7.578,7.583,
8,ZAR_JPY,2023-07-12T02:00:00.000000000Z,709,7.565,7.583,7.563,7.574,7.571,7.590,7.570,7.580,7.577,7.596,7.576,7.587,7.582,
9,ZAR_JPY,2023-07-12T03:00:00.000000000Z,481,7.575,7.575,7.563,7.569,7.581,7.582,7.570,7.576,7.587,7.588,7.576,7.582,7.580375,
10,ZAR_JPY,2023-07-12T04:00:00.000000000Z,478,7.570,7.572,7.563,7.565,7.576,7.578,7.570,7.572,7.582,7.585,7.576,7.578,7.578125,
