,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,MA_8,MA_64
0,TRY_JPY,2023-04-10T21:00:00.000000000Z,1795,6.926,6.932,6.913,6.921,6.936,6.940,6.916,6.922,6.945,6.950,6.918,6.924,,
1,TRY_JPY,2023-04-11T01:00:00.000000000Z,1304,6.923,6.932,6.914,6.922,6.925,6.936,6.917,6.924,6.927,6.940,6.920,6.926,,
2,TRY_JPY,2023-04-11T05:00:00.000000000Z,1008,6.919,6.926,6.893,6.898,6.921,6.928,6.894,6.900,6.923,6.929,6.896,6.901,,
3,TRY_JPY,2023-04-11T09:00:00.000000000Z,1198,6.900,6.910,6.893,6.900,6.902,6.911,6.894,6.901,6.903,6.912,6.895,6.902,,
4,TRY_JPY,2023-04-11T13:00:00.000000000Z,902,6.901,6.932,6.899,6.931,6.902,6.933,6.900,6.932,6.904,6.934,6.901,6.934,,
5,TRY_JPY,2023-04-11T17:00:00.000000000Z,676,6.932,6.937,6.918,6.919,6.933,6.940,6.924,6.928,6.934,6.945,6.926,6.937,,
6,TRY_JPY,2023-04-11T21:00:00.000000000Z,648,6.907,6.926,6.886,6.923,6.924,6.930,6.915,6.927,6.941,6.944,6.923,6.931,,
7,TRY_JPY,2023-04-12T01:00:00.000000000Z,843,6.920,6.944,6.919,6.926,6.924,6.946,6.922,6.929,6.928,6.949,6.925,6.932,6.920375,
8,TRY_JPY,2023-04-12T05:00:00.000000000Z,1795,6.927,6.936,6.915,6.928,6.930,6.937,6.916,6.930,6.934,6.939,6.918,6.931,6.921375,
9,TRY_JPY,2023-04-12T09:00:00.000000000Z,1848,6.929,6.930,6.870,6.885,6.930,6.932,6.871,6.886,6.931,6.934,6.872,6.887,6.916625000000001,
10,TRY_JPY,2023-04-12T13:00:00.000000000Z,1624,6.887,6.902,6.875,6.896,6.888,6.903,6.876,6.898,6.889,6.904,6.877,6.899,6.9163749999999995,
11,TRY_JPY,2023-04-12T17:00:00.000000000Z,588,6.895,6.905,6.887,6.892,6.897,6.907,6.888,6.894,6.899,6.910,6.890,6.896,6.9155,
12,TRY_JPY,2023-04-12T21:00:00.000000000Z,759,6.886,6.895,6.825,6.890,6.890,6.898,6.858,6.892,6.895,6.921,6.884,6.894,6.9105,
13,TRY_JPY,2023-04-13T01:00:00.000000000Z,757,6.892,6.898,6.836,6.896,6.894,6.900,6.864,6.899,6.896,6.920,6.888,6.902,6.906875,
14,TRY_JPY,2023-04-13T05:00:00.000000000Z,1438,6.895,6.900,6.874,6.887,6.898,6.902,6.876,6.888,6.902,6.904,6.877,6.890,6.902,
15,TRY_JPY,2023-04-13T09:00:00.000000000Z,1418,6.888,6.898,6.853,6.853,6.889,6.899,6.854,6.854,6.890,6.900,6.855,6.855,6.892625,
16,TRY_JPY,2023-04-13T13:00:00.000000000Z,1027,6.850,6.854,6.723,6.844,6.851,6.855,6.782,6.846,6.852,6.903,6.832,6.847,6.882125,
17,TRY_JPY,2023-04-13T17:00:00.000000000Z,212,6.843,6.866,6.843,6.854,6.845,6.868,6.845,6.858,6.847,6.870,6.847,6.861,6.8786249999999995,
18,TRY_JPY,2023-04-13T21:00:00.000000000Z,921,6.852,6.855,6.845,6.850,6.856,6.858,6.848,6.854,6.861,6.866,6.851,6.858,6.873125,
19,TRY_JPY,2023-04-14T01:00:00.000000000Z,1104,6.851,6.854,6.835,6.844,6.854,6.856,6.838,6.848,6.858,6.859,6.842,6.851,6.867374999999999,
20,TRY_JPY,2023-04-14T05:00:00.000000000Z,2362,6.844,6.851,6.812,6.836,6.847,6.854,6.821,6.837,6.850,6.860,6.822,6.838,6.8605,
21,TRY_JPY,2023-04-14T09:00:00.000000000Z,2329,6.835,6.876,6.821,6.868,6.836,6.877,6.824,6.869,6.838,6.878,6.827,6.870,6.85675,
22,TRY_JPY,2023-04-14T13:00:00.000000000Z,1990,6.867,6.909,6.864,6.907,6.868,6.910,6.865,6.908,6.870,6.912,6.866,6.909,6.85925,
23,TRY_JPY,2023-04-14T17:00:00.000000000Z,329,6.904,6.908,6.900,6.901,6.905,6.910,6.902,6.907,6.906,6.914,6.903,6.913,6.865875,
24,TRY_JPY,2023-04-16T21:00:00.000000000Z,1049,6.884,6.910,6.881,6.902,6.900,6.912,6.898,6.904,6.917,6.921,6.901,6.907,6.873125,
25,TRY_JPY,2023-04-17T01:00:00.000000000Z,1319,6.905,6.916,6.803,6.809,6.907,6.918,6.865,6.870,6.909,6.954,6.907,6.930,6.874625,
26,TRY_JPY,2023-04-17T05:00:00.000000000Z,2482,6.813,6.925,6.781,6.912,6.866,6.928,6.852,6.914,6.918,6.993,6.907,6.915,6.882125,
27,TRY_JPY,2023-04-17T09:00:00.000000000Z,1694,6.913,6.922,6.898,6.916,6.914,6.924,6.900,6.918,6.915,6.925,6.901,6.919,6.890875,
28,TRY_JPY,2023-04-17T13:00:00.000000000Z,869,6.919,6.940,6.883,6.934,6.920,6.941,6.906,6.935,6.921,6.943,6.917,6.936,6.903125,
29,TRY_JPY,2023-04-17T17:00:00.000000000Z,311,6.934,6.935,6.925,6.928,6.936,6.938,6.932,6.934,6.937,6.942,6.933,6.941,6.91125,
30,TRY_JPY,2023-04-17T21:00:00.000000000Z,932,6.922,6.934,6.911,6.926,6.932,6.938,6.926,6.928,6.942,6.948,6.927,6.930,6.91375,
31,TRY_JPY,2023-04-18T01:00:00.000000000Z,1227,6.929,6.942,6.920,6.931,6.930,6.944,6.928,6.932,6.932,6.946,6.930,6.934,6.916875,
32,TRY_JPY,2023-04-18T05:00:00.000000000Z,1350,6.930,6.931,6.780,6.912,6.932,6.932,6.844,6.914,6.934,6.978,6.906,6.915,6.918125,
33,TRY_JPY,2023-04-18T09:00:00.000000000Z,1224,6.911,6.916,6.899,6.914,6.913,6.917,6.900,6.915,6.915,6.918,6.901,6.916,6.92375,
34,TRY_JPY,2023-04-18T13:00:00.000000000Z,611,6.917,6.922,6.901,6.911,6.918,6.923,6.902,6.912,6.919,6.924,6.903,6.914,6.9235,
35,TRY_JPY,2023-04-18T17:00:00.000000000Z,283,6.908,6.914,6.896,6.907,6.910,6.916,6.906,6.912,6.911,6.918,6.908,6.917,6.92275,
36,TRY_JPY,2023-04-18T21:00:00.000000000Z,1337,6.904,6.913,6.891,6.905,6.914,6.914,6.902,6.908,6.925,6.925,6.907,6.911,6.919375,
37,TRY_JPY,2023-04-19T01:00:00.000000000Z,959,6.906,6.924,6.904,6.921,6.908,6.926,6.906,6.922,6.910,6.929,6.909,6.924,6.917875,
38,TRY_JPY,2023-04-19T05:00:00.000000000Z,1265,6.924,6.952,6.921,6.950,6.926,6.953,6.922,6.951,6.927,6.954,6.924,6.952,6.92075,
39,TRY_JPY,2023-04-19T09:00:00.000000000Z,2435,6.950,6.955,6.812,6.926,6.952,6.956,6.880,6.927,6.953,7.011,6.928,6.928,6.9201250000000005,
40,TRY_JPY,2023-04-19T13:00:00.000000000Z,1148,6.923,6.949,6.922,6.942,6.924,6.950,6.923,6.943,6.925,6.951,6.924,6.944,6.92375,
41,TRY_JPY,2023-04-19T17:00:00.000000000Z,282,6.941,6.948,6.940,6.942,6.942,6.950,6.942,6.944,6.944,6.951,6.943,6.947,6.927375,
42,TRY_JPY,2023-04-19T21:00:00.000000000Z,1913,6.939,6.945,6.883,6.945,6.944,6.948,6.910,6.948,6.950,6.954,6.932,6.951,6.931875,
43,TRY_JPY,2023-04-20T01:00:00.000000000Z,546,6.944,6.953,6.937,6.945,6.948,6.955,6.940,6.948,6.951,6.959,6.943,6.950,6.936375,
44,TRY_JPY,2023-04-20T05:00:00.000000000Z,1313,6.942,6.948,6.924,6.938,6.944,6.949,6.925,6.940,6.947,6.950,6.926,6.941,6.940375,
45,TRY_JPY,2023-04-20T09:00:00.000000000Z,1486,6.939,6.948,6.914,6.921,6.940,6.949,6.916,6.922,6.941,6.950,6.917,6.923,6.9403749999999995,
46,TRY_JPY,2023-04-20T13:00:00.000000000Z,606,6.924,6.924,6.906,6.913,6.925,6.925,6.907,6.914,6.926,6.926,6.908,6.915,6.9357500000000005,
47,TRY_JPY,2023-04-20T17:00:00.000000000Z,450,6.912,6.923,6.912,6.917,6.914,6.924,6.914,6.918,6.915,6.925,6.915,6.920,6.934625,
48,TRY_JPY,2023-04-20T21:00:00.000000000Z,1568,6.913,6.918,6.901,6.911,6.930,6.931,6.902,6.912,6.948,6.949,6.904,6.914,6.93075,
49,TRY_JPY,2023-04-21T01:00:00.000000000Z,440,6.911,6.912,6.892,6.898,6.913,6.914,6.894,6.900,6.915,6.915,6.895,6.901,6.92525,
50,TRY_JPY,2023-04-21T05:00:00.000000000Z,668,6.900,6.909,6.889,6.894,6.902,6.910,6.890,6.895,6.903,6.912,6.892,6.896,6.9186250000000005,
51,TRY_JPY,2023-04-21T09:00:00.000000000Z,409,6.896,6.902,6.885,6.888,6.897,6.903,6.886,6.889,6.898,6.904,6.887,6.890,6.911250000000001,
52,TRY_JPY,2023-04-21T13:00:00.000000000Z,641,6.889,6.931,6.883,6.912,6.890,6.932,6.884,6.914,6.890,6.933,6.886,6.916,6.9079999999999995,
53,TRY_JPY,2023-04-21T17:00:00.000000000Z,341,6.912,6.917,6.903,6.903,6.914,6.919,6.910,6.910,6.915,6.921,6.911,6.918,6.9065,
54,TRY_JPY,2023-04-23T21:00:00.000000000Z,600,6.885,6.910,6.881,6.904,6.900,6.912,6.895,6.906,6.915,6.923,6.902,6.907,6.9055,
55,TRY_JPY,2023-04-24T01:00:00.000000000Z,367,6.903,6.927,6.897,6.921,6.905,6.929,6.902,6.922,6.907,6.931,6.905,6.924,6.906,
56,TRY_JPY,2023-04-24T05:00:00.000000000Z,769,6.920,6.926,6.884,6.917,6.922,6.928,6.902,6.918,6.924,6.941,6.912,6.919,6.90675,
57,TRY_JPY,2023-04-24T09:00:00.000000000Z,1237,6.917,6.941,6.915,6.930,6.918,6.942,6.916,6.931,6.920,6.944,6.917,6.932,6.9106250000000005,
58,TRY_JPY,2023-04-24T13:00:00.000000000Z,255,6.933,6.937,6.923,6.926,6.934,6.938,6.924,6.927,6.935,6.939,6.925,6.928,6.914625,
59,TRY_JPY,2023-04-24T17:00:00.000000000Z,384,6.923,6.925,6.917,6.918,6.924,6.926,6.918,6.920,6.925,6.927,6.920,6.922,6.9185,
60,TRY_JPY,2023-04-24T21:00:00.000000000Z,1842,6.912,6.918,6.897,6.917,6.926,6.926,6.902,6.920,6.939,6.939,6.905,6.922,6.91925,
61,TRY_JPY,2023-04-25T01:00:00.000000000Z,761,6.916,6.922,6.909,6.913,6.918,6.924,6.912,6.916,6.920,6.928,6.914,6.918,6.92,
62,TRY_JPY,2023-04-25T05:00:00.000000000Z,2161,6.914,6.927,6.886,6.903,6.917,6.928,6.896,6.904,6.920,6.929,6.901,6.906,6.91975,
63,TRY_JPY,2023-04-25T09:00:00.000000000Z,1756,6.904,6.911,6.888,6.896,6.905,6.912,6.889,6.897,6.906,6.913,6.890,6.898,6.916625,6.909140625
64,TRY_JPY,2023-04-25T13:00:00.000000000Z,1881,6.897,6.899,6.884,6.887,6.898,6.900,6.885,6.888,6.900,6.901,6.886,6.890,6.9128750000000005,6.908609374999999
65,TRY_JPY,2023-04-25T17:00:00.000000000Z,947,6.888,6.888,6.864,6.874,6.889,6.890,6.865,6.880,6.890,6.892,6.866,6.885,6.906499999999999,6.9079218749999995
66,TRY_JPY,2023-04-25T21:00:00.000000000Z,1198,6.876,6.885,6.838,6.877,6.886,6.892,6.868,6.880,6.895,6.908,6.874,6.882,6.900625,6.907609375
67,TRY_JPY,2023-04-26T01:00:00.000000000Z,909,6.876,6.882,6.865,6.869,6.878,6.884,6.869,6.874,6.880,6.888,6.872,6.878,6.894875,6.9071875
68,TRY_JPY,2023-04-26T05:00:00.000000000Z,1884,6.870,6.886,6.865,6.873,6.874,6.887,6.866,6.874,6.878,6.888,6.867,6.875,6.889125,6.90628125
69,TRY_JPY,2023-04-26T09:00:00.000000000Z,3429,6.871,6.892,6.859,6.877,6.872,6.894,6.860,6.878,6.873,6.896,6.862,6.879,6.8843749999999995,6.9055
70,TRY_JPY,2023-04-26T13:00:00.000000000Z,929,6.877,6.890,6.847,6.889,6.878,6.891,6.848,6.890,6.880,6.892,6.850,6.892,6.882625,6.904921874999999
71,TRY_JPY,2023-04-26T17:00:00.000000000Z,285,6.887,6.892,6.871,6.881,6.888,6.892,6.872,6.882,6.890,6.893,6.874,6.884,6.88075,6.9041875
72,TRY_JPY,2023-04-26T21:00:00.000000000Z,828,6.864,6.879,6.858,6.873,6.885,6.886,6.866,6.875,6.906,6.906,6.867,6.877,6.879124999999999,6.903328125
73,TRY_JPY,2023-04-27T01:00:00.000000000Z,880,6.871,6.881,6.868,6.879,6.874,6.882,6.869,6.881,6.876,6.884,6.870,6.883,6.87925,6.903250000000001
74,TRY_JPY,2023-04-27T05:00:00.000000000Z,1407,6.882,6.892,6.873,6.887,6.884,6.893,6.874,6.888,6.885,6.894,6.876,6.889,6.88025,6.90309375
75,TRY_JPY,2023-04-27T09:00:00.000000000Z,1870,6.888,6.895,6.847,6.889,6.888,6.896,6.854,6.890,6.889,6.897,6.861,6.891,6.882249999999999,6.90303125
76,TRY_JPY,2023-04-27T13:00:00.000000000Z,1628,6.887,6.903,6.755,6.892,6.888,6.904,6.819,6.894,6.889,6.929,6.883,6.895,6.88475,6.9030625
